source,target
Rv0023,Rv1456c
Rv0023,Rv1457c
Rv0023,Rv1470
Rv0023,Rv1471
Rv0023,Rv1486c
Rv0023,Rv1487
Rv0023,Rv1488
Rv0023,Rv1489
Rv0023,Rv1489A
Rv0023,Rv1490
Rv0023,Rv1495
Rv0023,Rv1496
Rv0023,Rv1497
Rv0023,Rv1498A
Rv0023,Rv1498c
Rv0023,Rv1508c
Rv0023,Rv1509
Rv0023,Rv1511
Rv0023,Rv1512
Rv0023,Rv1513
Rv0023,Rv1514c
Rv0023,Rv1522c
Rv0023,Rv1523
Rv0023,Rv1524
Rv0023,Rv1527c
Rv0023,Rv1528c
Rv0023,Rv1529
Rv0023,Rv1534
Rv0023,Rv1535
Rv0023,Rv1536
Rv0023,Rv1544
Rv0023,Rv1545
Rv0023,Rv1547
Rv0023,Rv1548c
Rv0023,Rv1550
Rv0023,Rv1576c
Rv0023,Rv1577c
Rv0023,Rv1579c
Rv0023,Rv1580c
Rv0023,Rv1581c
Rv0023,Rv1582c
Rv0023,Rv1611
Rv0023,Rv1612
Rv0023,Rv1613
Rv0023,Rv1614
Rv0023,Rv1616
Rv0023,Rv1624c
Rv0023,Rv1625c
Rv0023,Rv1626
Rv0023,Rv1631
Rv0023,Rv1632c
Rv0023,Rv1633
Rv0023,Rv1634
Rv0023,Rv1638A
Rv0023,Rv1639c
Rv0023,Rv1640c
Rv0023,Rv1641
Rv0023,Rv1642
Rv0023,Rv1643
Rv0023,Rv1644
Rv0023,Rv1645c
Rv0023,Rv1646
Rv0023,Rv1663
Rv0023,Rv1664
Rv0023,Rv1666c
Rv0023,Rv1667c
Rv0023,Rv1668c
Rv0023,Rv1669
Rv0023,Rv1670
Rv0023,Rv1671
Rv0023,Rv1689
Rv0023,Rv1692
Rv0023,Rv1693
Rv0023,Rv1700
Rv0023,Rv1701
Rv0023,Rv1702c
Rv0023,Rv1703c
Rv0023,Rv1706c
Rv0023,Rv1723
Rv0023,Rv1724c
Rv0023,Rv1729c
Rv0023,Rv1730c
Rv0023,Rv1731
Rv0023,Rv1734c
Rv0023,Rv1735c
Rv0023,Rv1741
Rv0023,Rv1742
Rv0023,Rv1749c
Rv0023,Rv1750c
Rv0023,Rv1751
Rv0023,Rv1753c
Rv0023,Rv1754c
Rv0023,Rv1755c
Rv0023,Rv1756c
Rv0023,Rv1759c
Rv0023,Rv1760
Rv0023,Rv1771
Rv0023,Rv1783
Rv0023,Rv1784
Rv0023,Rv1785c
Rv0023,Rv1786
Rv0023,Rv1798
Rv0023,Rv1799
Rv0023,Rv1800
Rv0023,Rv1801
Rv0023,Rv1804c
Rv0023,Rv1805c
Rv0023,Rv1806
Rv0023,Rv1807
Rv0023,Rv1820
Rv0023,Rv1821
Rv0023,Rv1823
Rv0023,Rv1825
Rv0023,Rv1826
Rv0023,Rv1827
Rv0023,Rv1840c
Rv0023,Rv1841c
Rv0023,Rv1842c
Rv0023,Rv1843c
Rv0023,Rv1844c
Rv0023,Rv1845c
Rv0023,Rv1846c
Rv0023,Rv1847
Rv0023,Rv1859
Rv0023,Rv1860
Rv0023,Rv1861
Rv0023,Rv1869c
Rv0023,Rv1870c
Rv0023,Rv1871c
Rv0023,Rv1872c
Rv0023,Rv1873
Rv0023,Rv1874
Rv0023,Rv1875
Rv0023,Rv1876
Rv0023,Rv1877
Rv0023,Rv1878
Rv0023,Rv1880c
Rv0023,Rv1881c
Rv0023,Rv1882c
Rv0023,Rv1883c
Rv0023,Rv1884c
Rv0023,Rv1885c
Rv0023,Rv1886c
Rv0023,Rv1887
Rv0023,Rv1894c
Rv0023,Rv1895
Rv0023,Rv1896c
Rv0023,Rv1897c
Rv0023,Rv1899c
Rv0023,Rv1900c
Rv0023,Rv1901
Rv0023,Rv1902c
Rv0023,Rv1907c
Rv0023,Rv1908c
Rv0023,Rv1909c
Rv0023,Rv1910c
Rv0023,Rv1911c
Rv0023,Rv1912c
Rv0023,Rv1917c
Rv0023,Rv1918c
Rv0023,Rv1922
Rv0023,Rv1928c
Rv0023,Rv1929c
Rv0023,Rv1931c
Rv0023,Rv1932
Rv0023,Rv1934c
Rv0023,Rv1935c
Rv0023,Rv1936
Rv0023,Rv1937
Rv0023,Rv1938
Rv0023,Rv1940
Rv0023,Rv1947
Rv0023,Rv1948c
Rv0023,Rv1949c
Rv0023,Rv1950c
Rv0023,Rv1953
Rv0023,Rv1954c
Rv0023,Rv1955
Rv0023,Rv1956
Rv0023,Rv1957
Rv0023,Rv1958c
Rv0023,Rv1961
Rv0023,Rv1966
Rv0023,Rv1968
Rv0023,Rv1969
Rv0023,Rv1970
Rv0023,Rv1971
Rv0023,Rv1972
Rv0023,Rv1973
Rv0023,Rv1974
Rv0023,Rv1975
Rv0023,Rv1976c
Rv0023,Rv1977
Rv0023,Rv1978
Rv0023,Rv1979c
Rv0023,Rv1980c
Rv0023,Rv1981c
Rv0023,Rv1982c
Rv0023,Rv1983
Rv0023,Rv1984c
Rv0023,Rv1986
Rv0023,Rv1987
Rv0023,Rv1988
Rv0023,Rv1992c
Rv0023,Rv1993c
Rv0023,Rv1994c
Rv0023,Rv1995
Rv0023,Rv1998c
Rv0023,Rv1999c
Rv0023,Rv2000
Rv0023,Rv2001
Rv0023,Rv2002
Rv0023,Rv2006
Rv0023,Rv2008c
Rv0023,Rv2009
Rv0023,Rv2010
Rv0023,Rv2015c
Rv0023,Rv2016
Rv0023,Rv2017
Rv0023,Rv2018
Rv0023,Rv2020c
Rv0023,Rv2021c
Rv0023,Rv2022c
Rv0023,Rv2023A
Rv0023,Rv2023c
Rv0023,Rv2027c
Rv0023,Rv2033c
Rv0023,Rv2034
Rv0023,Rv2035
Rv0023,Rv2036
Rv0023,Rv2039c
Rv0023,Rv2040c
Rv0023,Rv2044c
Rv0023,Rv2045c
Rv0023,Rv2066
Rv0023,Rv2067c
Rv0023,Rv2068c
Rv0023,Rv2081c
Rv0023,Rv2082
Rv0023,Rv2083
Rv0023,Rv2084
Rv0023,Rv2106
Rv0023,Rv2107
Rv0023,Rv2109c
Rv0023,Rv2110c
Rv0023,Rv2113
Rv0023,Rv2114
Rv0023,Rv2124c
Rv0023,Rv2125
Rv0023,Rv2126c
Rv0023,Rv2127
Rv0023,Rv2128
Rv0023,Rv2140c
Rv0023,Rv2142c
Rv0023,Rv2143
Rv0023,Rv2162c
Rv0023,Rv2167c
Rv0023,Rv2168c
Rv0023,Rv2169c
Rv0023,Rv2177c
Rv0023,Rv2178c
Rv0023,Rv2182c
Rv0023,Rv2184c
Rv0023,Rv2185c
Rv0023,Rv2190c
Rv0023,Rv2191
Rv0023,Rv2195
Rv0023,Rv2196
Rv0023,Rv2197c
Rv0023,Rv2202c
Rv0023,Rv2203
Rv0023,Rv2204c
Rv0023,Rv2214c
Rv0023,Rv2215
Rv0023,Rv2219A
Rv0023,Rv2220
Rv0023,Rv2221c
Rv0023,Rv2228c
Rv0023,Rv2241
Rv0023,Rv2242
Rv0023,Rv2243
Rv0023,Rv2244
Rv0023,Rv2245
Rv0023,Rv2246
Rv0023,Rv2247
Rv0023,Rv2253
Rv0023,Rv2254c
Rv0023,Rv2255c
Rv0023,Rv2266
Rv0023,Rv2267c
Rv0023,Rv2268c
Rv0023,Rv2269c
Rv0023,Rv2270
Rv0023,Rv2271
Rv0023,Rv2272
Rv0023,Rv2273
Rv0023,Rv2274c
Rv0023,Rv2275
Rv0023,Rv2276
Rv0023,Rv2280
Rv0023,Rv2281
Rv0023,Rv2293c
Rv0023,Rv2294
Rv0023,Rv2299c
Rv0023,Rv2300c
Rv0023,Rv2301
Rv0023,Rv2302
Rv0023,Rv2303c
Rv0023,Rv2304c
Rv0023,Rv2307D
Rv0023,Rv2308
Rv0023,Rv2309A
Rv0023,Rv2309c
Rv0023,Rv2310
Rv0023,Rv2312
Rv0023,Rv2313c
Rv0023,Rv2314c
Rv0023,Rv2320c
Rv0023,Rv2321c
Rv0023,Rv2322c
Rv0023,Rv2323c
Rv0023,Rv2324
Rv0023,Rv2329c
Rv0023,Rv2332
Rv0023,Rv2348c
Rv0023,Rv2349c
Rv0023,Rv2353c
Rv0023,Rv2354
Rv0023,Rv2355
Rv0023,Rv2356c
Rv0023,Rv2357c
Rv0023,Rv2358
Rv0023,Rv2359
Rv0023,Rv2365c
Rv0023,Rv2366c
Rv0023,Rv2367c
Rv0023,Rv2368c
Rv0023,Rv2369c
Rv0023,Rv2370c
Rv0023,Rv2386c
Rv0023,Rv2387
Rv0023,Rv2388c
Rv0023,Rv2389c
Rv0023,Rv2390c
Rv0023,Rv2391
Rv0023,Rv2392
Rv0023,Rv2393
Rv0023,Rv2394
Rv0023,Rv2409c
Rv0023,Rv2410c
Rv0023,Rv2411c
Rv0023,Rv2412
Rv0023,Rv2423
Rv0023,Rv2424c
Rv0023,Rv2425c
Rv0023,Rv2426c
Rv0023,Rv2430c
Rv0023,Rv2431c
Rv0023,Rv2434c
Rv0023,Rv2435c
Rv0023,Rv2438c
Rv0023,Rv2443
Rv0023,Rv2444c
Rv0023,Rv2457c
Rv0023,Rv2458
Rv0023,Rv2460c
Rv0023,Rv2461c
Rv0023,Rv2462c
Rv0023,Rv2463
Rv0023,Rv2474c
Rv0023,Rv2475c
Rv0023,Rv2476c
Rv0023,Rv2481c
Rv0023,Rv2482c
Rv0023,Rv2483c
Rv0023,Rv2484c
Rv0023,Rv2485c
Rv0023,Rv2488c
Rv0023,Rv2489c
Rv0023,Rv2498c
Rv0023,Rv2500c
Rv0023,Rv2501c
Rv0023,Rv2512c
Rv0023,Rv2513
Rv0023,Rv2515c
Rv0023,Rv2516c
Rv0023,Rv2517c
Rv0023,Rv2518c
Rv0023,Rv2519
Rv0023,Rv2524c
Rv0023,Rv2530A
Rv0023,Rv2530c
Rv0023,Rv2531c
Rv0023,Rv2532c
Rv0023,Rv2544
Rv0023,Rv2545
Rv0023,Rv2546
Rv0023,Rv2547
Rv0023,Rv2548
Rv0023,Rv2549c
Rv0023,Rv2550c
Rv0023,Rv2551c
Rv0023,Rv2556c
Rv0023,Rv2557
Rv0023,Rv2558
Rv0023,Rv2562
Rv0023,Rv2563
Rv0023,Rv2564
Rv0023,Rv2568c
Rv0023,Rv2569c
Rv0023,Rv2584c
Rv0023,Rv2585c
Rv0023,Rv2586c
Rv0023,Rv2587c
Rv0023,Rv2588c
Rv0023,Rv2589
Rv0023,Rv2590
Rv0023,Rv2597
Rv0023,Rv2598
Rv0023,Rv2599
Rv0023,Rv2600
Rv0023,Rv2601
Rv0023,Rv2602
Rv0023,Rv2603c
Rv0023,Rv2607
Rv0023,Rv2608
Rv0023,Rv2609c
Rv0023,Rv2628
Rv0023,Rv2629
Rv0023,Rv2630
Rv0023,Rv2632c
Rv0023,Rv2633c
Rv0023,Rv2634c
Rv0023,Rv2635
Rv0023,Rv2636
Rv0023,Rv2640c
Rv0023,Rv2641
Rv0023,Rv2642
Rv0023,Rv2643
Rv0023,Rv2644c
Rv0023,Rv2645
Rv0023,Rv2653c
Rv0023,Rv2655c
Rv0023,Rv2682c
Rv0023,Rv2683
Rv0023,Rv2684
Rv0023,Rv2685
Rv0023,Rv2686c
Rv0023,Rv2693c
Rv0023,Rv2694c
Rv0023,Rv2695
Rv0023,Rv2699c
