target,source
SP_0637,SP_1999
SP_0638,SP_1999
SP_0641,SP_1638
SP_0645,SP_1999
SP_0646,SP_1999
SP_0647,SP_1999
SP_0668,SP_1999
SP_0709,SP_0927
SP_0709,SP_1584
SP_0710,SP_1584
SP_0710,SP_0927
SP_0711,SP_1584
SP_0711,SP_0927
SP_0715,SP_1999
SP_0727,SP_0727
SP_0728,SP_0727
SP_0729,SP_0727
SP_0746,SP_2195
SP_0749,SP_1999
SP_0749,SP_1584
SP_0750,SP_1584
SP_0750,SP_1999
SP_0751,SP_1584
SP_0751,SP_1999
SP_0752,SP_1584
SP_0752,SP_1999
SP_0753,SP_1999
SP_0753,SP_1584
SP_0754,SP_1584
SP_0754,SP_1999
SP_0758,SP_1999
SP_0758,SP_2112
SP_0759,SP_1999
SP_0760,SP_1999
SP_0783,SP_1900
SP_0785,SP_1714
SP_0786,SP_1714
SP_0787,SP_1714
SP_0820,SP_2195
SP_0823,SP_2077
SP_0823,SP_1203
SP_0823,SP_0893
SP_0824,SP_1203
SP_0824,SP_0893
SP_0824,SP_2077
SP_0825,SP_0676
SP_0828,SP_1999
SP_0829,SP_1999
SP_0830,SP_1999
SP_0831,SP_1999
SP_0839,SP_1999
SP_0856,SP_1584
SP_0875,SP_0875
SP_0876,SP_0875
SP_0877,SP_0875
SP_0896,SP_1999
SP_0897,SP_1999
SP_1001,SP_1203
SP_1001,SP_0893
SP_1001,SP_2077
SP_1002,SP_2172
SP_1003,SP_2172
SP_1004,SP_2172
SP_1009,SP_1090
SP_1013,SP_1584
SP_1014,SP_1584
SP_1089,SP_1090
SP_1090,SP_1090
SP_1096,SP_1999
SP_1097,SP_1999
SP_1098,SP_1999
SP_1099,SP_1999
SP_1119,SP_1584
SP_1119,SP_1090
SP_1121,SP_1999
SP_1122,SP_1999
SP_1123,SP_1999
SP_1124,SP_1999
SP_1127,SP_1999
SP_1128,SP_1999
SP_1174,SP_2172
SP_1175,SP_2172
SP_1178,SP_1713
SP_1179,SP_1713
SP_1180,SP_1713
SP_1182,SP_1182
SP_1184,SP_1999
SP_1185,SP_1999
SP_1186,SP_1999
SP_1187,SP_1999
SP_1190,SP_1182
SP_1191,SP_1182
SP_1192,SP_1182
SP_1193,SP_1182
SP_1215,SP_1999
SP_1215,SP_1090
SP_1220,SP_1999
SP_1229,SP_0676
SP_1229,SP_1979
