source,target
SP_1468,SP_1467
SP_2275,SP_2284
SP_2275,SP_2263
SP_2275,SP_2266
SP_2275,SP_2251
SP_2275,SP_2278
SP_2268,SP_2280
SP_0236,SP_1961
SP_0236,SP_1960
SP_0236,SP_1737
SP_2021,SP_0265
SP_1161,SP_1588
SP_2254,SP_2292
SP_1081,SP_1966
SP_1867,SP_1828
SP_0283,SP_0284
SP_0283,SP_0061
SP_0283,SP_0282
SP_0283,SP_0064
SP_0369,SP_2099
SP_0369,SP_0872
SP_0369,SP_0336
SP_0369,SP_1673
SP_0581,SP_0579
SP_2270,SP_2282
SP_2270,SP_2243
SP_2270,SP_2295
SP_1179,SP_1180
SP_1617,SP_1619
SP_2010,SP_0369
SP_2010,SP_2099
SP_2010,SP_0336
SP_2010,SP_1673
SP_2260,SP_2257
SP_2260,SP_2259
SP_1816,SP_0665
SP_1887,SP_1891
SP_1887,SP_1888
SP_1887,SP_1527
SP_2250,SP_2274
SP_0865,SP_1156
SP_0865,SP_0936
SP_0865,SP_0765
SP_1097,SP_1645
SP_0358,SP_0360
SP_1510,SP_1508
SP_1163,SP_1164
SP_1163,SP_0445
SP_2024,SP_2022
SP_2024,SP_0248
SP_2024,SP_0305
SP_2024,SP_2023
SP_2290,SP_2260
SP_2290,SP_2257
SP_2290,SP_2259
SP_1960,SP_1737
SP_0474,SP_0310
SP_0474,SP_0249
SP_0474,SP_2024
SP_0474,SP_2022
SP_0474,SP_0248
SP_0474,SP_0305
SP_0474,SP_2023
SP_0249,SP_2024
SP_0249,SP_2022
SP_0249,SP_0248
SP_0249,SP_0305
SP_0249,SP_2023
SP_2251,SP_2278
SP_2108,SP_2110
SP_1329,SP_1676
SP_0308,SP_0474
SP_0308,SP_0310
SP_0308,SP_0249
SP_0308,SP_2024
SP_0308,SP_2022
SP_0308,SP_0248
SP_0308,SP_0305
SP_0308,SP_2023
SP_2042,SP_1825
SP_2042,SP_2043
SP_2042,SP_1824
SP_2042,SP_1826
SP_2022,SP_0248
SP_2022,SP_0305
SP_2022,SP_2023
SP_1156,SP_0936
SP_1156,SP_0765
SP_2257,SP_2259
SP_0359,SP_0358
SP_0359,SP_0360
SP_2267,SP_2279
SP_0396,SP_0730
SP_0394,SP_0730
SP_0396,SP_0446
SP_0396,SP_1163
SP_0396,SP_1164
SP_0396,SP_0445
SP_0394,SP_0446
SP_0394,SP_1163
SP_0394,SP_1164
SP_0394,SP_0445
SP_0396,SP_1014
SP_0394,SP_1014
SP_0396,SP_0351
SP_0396,SP_0355
SP_0396,SP_0352
SP_0396,SP_0353
SP_0394,SP_0351
SP_0394,SP_0355
SP_0394,SP_0352
SP_0394,SP_0353
SP_1745,SP_0897
SP_1817,SP_0897
SP_1816,SP_0897
SP_1220,SP_0897
SP_0665,SP_0897
SP_2163,SP_0730
SP_0062,SP_0730
SP_2162,SP_0730
SP_2164,SP_0730
SP_2161,SP_0730
SP_0063,SP_0730
SP_0283,SP_0730
SP_0284,SP_0730
SP_0061,SP_0730
SP_0282,SP_0730
SP_0064,SP_0730
SP_2163,SP_0446
SP_2163,SP_1163
SP_2163,SP_1164
SP_2163,SP_0445
SP_0062,SP_0446
SP_0062,SP_1163
SP_0062,SP_1164
SP_0062,SP_0445
SP_2162,SP_0446
SP_2162,SP_1163
SP_2162,SP_1164
SP_2162,SP_0445
SP_2164,SP_0446
SP_2164,SP_1163
SP_2164,SP_1164
SP_2164,SP_0445
SP_2161,SP_0446
SP_2161,SP_1163
SP_2161,SP_1164
SP_2161,SP_0445
SP_0063,SP_0446
SP_0063,SP_1163
SP_0063,SP_1164
SP_0063,SP_0445
SP_0283,SP_0446
SP_0283,SP_1163
SP_0283,SP_1164
SP_0283,SP_0445
SP_0284,SP_0446
SP_0284,SP_1163
SP_0284,SP_1164
SP_0284,SP_0445
SP_0061,SP_0446
SP_0061,SP_1163
SP_0061,SP_1164
SP_0061,SP_0445
SP_0282,SP_0446
SP_0282,SP_1163
SP_0282,SP_1164
SP_0282,SP_0445
SP_0064,SP_0446
SP_0064,SP_1163
SP_0064,SP_1164
SP_0064,SP_0445
SP_2163,SP_1014
SP_0062,SP_1014
SP_2162,SP_1014
SP_2164,SP_1014
SP_2161,SP_1014
SP_0063,SP_1014
SP_0283,SP_1014
SP_0284,SP_1014
SP_0061,SP_1014
SP_0282,SP_1014
SP_0064,SP_1014
SP_2163,SP_0351
SP_2163,SP_0355
SP_2163,SP_0352
SP_2163,SP_0353
SP_0062,SP_0351
SP_0062,SP_0355
SP_0062,SP_0352
SP_0062,SP_0353
SP_2162,SP_0351
SP_2162,SP_0355
SP_2162,SP_0352
SP_2162,SP_0353
SP_2164,SP_0351
SP_2164,SP_0355
SP_2164,SP_0352
SP_2164,SP_0353
SP_2161,SP_0351
SP_2161,SP_0355
SP_2161,SP_0352
SP_2161,SP_0353
SP_0063,SP_0351
SP_0063,SP_0355
SP_0063,SP_0352
SP_0063,SP_0353
SP_0283,SP_0351
SP_0283,SP_0355
SP_0283,SP_0352
SP_0283,SP_0353
SP_0284,SP_0351
SP_0284,SP_0355
SP_0284,SP_0352
SP_0284,SP_0353
SP_0061,SP_0351
SP_0061,SP_0355
SP_0061,SP_0352
SP_0061,SP_0353
SP_0282,SP_0351
SP_0282,SP_0355
SP_0282,SP_0352
SP_0282,SP_0353
SP_0064,SP_0351
SP_0064,SP_0355
SP_0064,SP_0352
SP_0064,SP_0353
SP_0106,SP_0730
SP_0106,SP_0446
SP_0106,SP_1163
SP_0106,SP_1164
SP_0106,SP_0445
SP_0106,SP_1014
SP_0106,SP_0351
SP_0106,SP_0355
SP_0106,SP_0352
SP_0106,SP_0353
SP_1745,SP_0396
SP_1745,SP_0394
SP_1745,SP_2163
SP_1745,SP_0062
SP_1745,SP_2162
SP_1745,SP_2164
SP_1745,SP_2161
SP_1745,SP_0063
SP_1745,SP_0283
SP_1745,SP_0284
SP_1745,SP_0061
SP_1745,SP_0282
SP_1745,SP_0064
SP_1745,SP_0106
SP_1745,SP_1176
SP_1745,SP_1220
SP_1745,SP_0730
SP_1745,SP_0758
SP_1745,SP_1722
SP_1745,SP_1329
SP_1745,SP_1676
SP_1745,SP_0446
SP_1745,SP_0445
SP_1745,SP_1884
SP_1745,SP_1885
SP_1745,SP_0251
SP_1745,SP_0245
SP_1745,SP_0459
SP_1745,SP_1163
SP_1745,SP_1164
SP_1745,SP_0250
SP_1745,SP_0308
SP_1745,SP_0474
SP_1745,SP_0310
SP_1745,SP_0249
SP_1745,SP_2024
SP_1745,SP_2022
SP_1745,SP_0248
SP_1745,SP_0305
SP_1745,SP_2023
SP_1745,SP_1014
SP_1745,SP_0317
SP_1745,SP_1185
SP_1745,SP_1186
SP_1745,SP_0476
SP_1745,SP_0478
SP_1745,SP_1173
SP_1745,SP_0877
SP_1745,SP_1618
SP_1745,SP_1617
SP_1745,SP_1619
SP_1745,SP_1684
SP_1745,SP_0351
SP_1745,SP_0355
SP_1745,SP_0352
SP_1745,SP_0353
SP_1176,SP_0730
SP_1176,SP_0446
SP_1176,SP_1163
SP_1176,SP_1164
SP_1176,SP_0445
SP_1176,SP_1014
SP_1176,SP_0351
SP_1176,SP_0355
SP_1176,SP_0352
SP_1176,SP_0353
SP_1220,SP_0730
SP_1220,SP_0446
SP_1220,SP_1163
SP_1220,SP_1164
SP_1220,SP_0445
SP_1220,SP_1014
SP_1220,SP_0351
SP_1220,SP_0355
SP_1220,SP_0352
SP_1220,SP_0353
SP_1817,SP_0396
SP_1817,SP_0394
SP_1816,SP_0396
SP_1816,SP_0394
SP_1817,SP_2163
SP_1817,SP_0062
SP_1817,SP_2162
SP_1817,SP_2164
SP_1817,SP_2161
SP_1817,SP_0063
SP_1817,SP_0283
SP_1817,SP_0284
SP_1817,SP_0061
SP_1817,SP_0282
SP_1817,SP_0064
SP_1816,SP_2163
SP_1816,SP_0062
SP_1816,SP_2162
SP_1816,SP_2164
SP_1816,SP_2161
SP_1816,SP_0063
SP_1816,SP_0283
SP_1816,SP_0284
SP_1816,SP_0061
SP_1816,SP_0282
SP_1816,SP_0064
SP_1817,SP_0106
SP_1816,SP_0106
SP_1817,SP_1176
SP_1816,SP_1176
SP_1817,SP_1220
SP_1816,SP_1220
SP_1817,SP_0730
SP_1816,SP_0730
SP_1817,SP_0758
SP_1816,SP_0758
SP_1817,SP_1722
SP_1816,SP_1722
SP_1817,SP_1329
SP_1817,SP_1676
SP_1816,SP_1329
SP_1816,SP_1676
SP_1817,SP_0446
SP_1817,SP_0445
SP_1816,SP_0446
SP_1816,SP_0445
SP_1817,SP_1884
SP_1817,SP_1885
SP_1816,SP_1884
SP_1816,SP_1885
SP_1817,SP_0251
SP_1817,SP_0245
SP_1817,SP_0459
SP_1816,SP_0251
SP_1816,SP_0245
SP_1816,SP_0459
SP_1817,SP_1163
SP_1817,SP_1164
SP_1816,SP_1163
SP_1816,SP_1164
SP_1817,SP_0250
SP_1817,SP_0308
SP_1817,SP_0474
SP_1817,SP_0310
SP_1817,SP_0249
SP_1817,SP_2024
SP_1817,SP_2022
SP_1817,SP_0248
SP_1817,SP_0305
SP_1817,SP_2023
SP_1816,SP_0250
SP_1816,SP_0308
SP_1816,SP_0474
SP_1816,SP_0310
SP_1816,SP_0249
SP_1816,SP_2024
SP_1816,SP_2022
SP_1816,SP_0248
SP_1816,SP_0305
SP_1816,SP_2023
SP_1817,SP_1014
SP_1816,SP_1014
SP_1817,SP_0317
SP_1816,SP_0317
SP_1817,SP_1185
SP_1817,SP_1186
SP_1817,SP_0476
SP_1817,SP_0478
SP_1816,SP_1185
SP_1816,SP_1186
SP_1816,SP_0476
SP_1816,SP_0478
SP_1817,SP_1173
SP_1816,SP_1173
SP_1817,SP_0877
SP_1817,SP_1618
SP_1817,SP_1617
SP_1817,SP_1619
SP_1816,SP_0877
SP_1816,SP_1618
SP_1816,SP_1617
SP_1816,SP_1619
SP_1817,SP_1684
SP_1816,SP_1684
SP_1817,SP_0351
SP_1817,SP_0355
SP_1817,SP_0352
SP_1817,SP_0353
SP_1816,SP_0351
SP_1816,SP_0355
SP_1816,SP_0352
