source,target
SPT_1857,SPT_1163
SPT_1857,SPT_1211
SPT_1857,SPT_0070
SPT_2116,SPT_2118
SPT_2116,SPT_2117
SPT_1264,SPT_0441
SPT_1264,SPT_1478
SPT_1264,SPT_1857
SPT_1264,SPT_0319
SPT_1264,SPT_1183
SPT_1264,SPT_0002
SPT_1264,SPT_1336
SPT_1264,SPT_1304
SPT_1264,SPT_2221
SPT_1264,SPT_1115
SPT_1264,SPT_1163
SPT_1264,SPT_1211
SPT_1264,SPT_0070
SPT_0441,SPT_1478
SPT_0441,SPT_1857
SPT_0441,SPT_0319
SPT_0441,SPT_1183
SPT_0441,SPT_0002
SPT_0441,SPT_1336
SPT_0441,SPT_1304
SPT_0441,SPT_2221
SPT_0441,SPT_1115
SPT_0441,SPT_1163
SPT_0441,SPT_1211
SPT_0441,SPT_0070
SPT_0099,SPT_0329
SPT_0099,SPT_0327
SPT_0099,SPT_2176
SPT_0099,SPT_2177
SPT_0099,SPT_0328
SPT_0099,SPT_0100
SPT_0099,SPT_0101
SPT_0319,SPT_1183
SPT_0319,SPT_0002
SPT_0319,SPT_1336
SPT_0319,SPT_1304
SPT_0319,SPT_2221
SPT_0319,SPT_1115
SPT_0319,SPT_1163
SPT_0319,SPT_1211
SPT_0319,SPT_0070
SPT_0002,SPT_1336
SPT_0002,SPT_1304
SPT_0002,SPT_2221
SPT_0002,SPT_1115
SPT_0002,SPT_1163
SPT_0002,SPT_1211
SPT_0002,SPT_0070
SPT_1304,SPT_2221
SPT_1304,SPT_1115
SPT_1304,SPT_1163
SPT_1304,SPT_1211
SPT_1304,SPT_0070
SPT_1115,SPT_1163
SPT_1115,SPT_1211
SPT_1115,SPT_0070
SPT_1211,SPT_0070
SPT_2155,SPT_1614
SPT_0517,SPT_1038
SPT_1393,SPT_1010
SPT_0907,SPT_0908
SPT_1349,SPT_1351
SPT_0532,SPT_1938
SPT_0532,SPT_1937
SPT_1898,SPT_2245
SPT_1898,SPT_0074
SPT_1898,SPT_1611
SPT_0282,SPT_0532
SPT_0282,SPT_1938
SPT_0282,SPT_1937
SPT_1938,SPT_1937
SPT_1675,SPT_0282
SPT_1675,SPT_0532
SPT_1675,SPT_1938
SPT_1675,SPT_1937
SPT_1994,SPT_1838
SPT_1066,SPT_1836
SPT_1635,SPT_0306
SPT_0239,SPT_1130
SPT_1187,SPT_1526
SPT_2118,SPT_2117
SPT_1371,SPT_1361
SPT_0734,SPT_0741
SPT_1034,SPT_1033
SPT_1826,SPT_1835
SPT_1826,SPT_1991
SPT_1040,SPT_0518
SPT_0766,SPT_0767
SPT_0766,SPT_0763
SPT_0766,SPT_0764
SPT_0766,SPT_0765
SPT_1835,SPT_1991
SPT_1233,SPT_0948
SPT_1167,SPT_1168
SPT_1992,SPT_1066
SPT_1992,SPT_1836
SPT_2071,SPT_1826
SPT_2071,SPT_1835
SPT_2071,SPT_1991
SPT_1352,SPT_0075
SPT_2108,SPT_2006
SPT_2108,SPT_0412
SPT_2108,SPT_0386
SPT_2108,SPT_1329
SPT_2108,SPT_1612
SPT_1019,SPT_1020
SPT_2070,SPT_1825
SPT_1739,SPT_0689
SPT_0733,SPT_0740
SPT_1639,SPT_1638
SPT_1428,SPT_2199
SPT_2069,SPT_1824
SPT_2069,SPT_1829
SPT_0807,SPT_0808
SPT_0082,SPT_0083
SPT_0112,SPT_0111
SPT_0767,SPT_0763
SPT_0767,SPT_0764
SPT_0767,SPT_0765
SPT_0763,SPT_0764
SPT_0763,SPT_0765
SPT_0654,SPT_2108
SPT_0654,SPT_0386
SPT_0654,SPT_1329
SPT_0654,SPT_2006
SPT_0654,SPT_1612
SPT_0654,SPT_0412
SPT_1327,SPT_2069
SPT_1327,SPT_1824
SPT_1327,SPT_1829
SPT_1690,SPT_1006
SPT_1303,SPT_1035
SPT_0923,SPT_0922
SPT_0195,SPT_0645
SPT_1824,SPT_1829
SPT_1889,SPT_2258
SPT_1889,SPT_0980
SPT_0878,SPT_2095
SPT_0878,SPT_2094
SPT_0878,SPT_2097
SPT_0878,SPT_0876
SPT_0878,SPT_2096
SPT_2006,SPT_0412
SPT_2006,SPT_1612
SPT_2095,SPT_2094
SPT_2095,SPT_2097
SPT_2095,SPT_0876
SPT_2095,SPT_2096
SPT_2094,SPT_2097
SPT_2094,SPT_0876
SPT_2094,SPT_2096
SPT_0216,SPT_1635
SPT_0216,SPT_0306
SPT_2064,SPT_1341
SPT_2097,SPT_0876
SPT_2097,SPT_2096
SPT_0278,SPT_0586
SPT_0278,SPT_1244
SPT_0877,SPT_0874
SPT_0877,SPT_0875
SPT_0877,SPT_0878
SPT_0877,SPT_2095
SPT_0877,SPT_2094
SPT_0877,SPT_2097
SPT_0877,SPT_0876
SPT_0877,SPT_2096
SPT_0874,SPT_0875
SPT_0874,SPT_0878
SPT_0874,SPT_2095
SPT_0874,SPT_2094
SPT_0874,SPT_2097
SPT_0874,SPT_0876
SPT_0874,SPT_2096
SPT_1988,SPT_1832
SPT_0875,SPT_0878
SPT_0875,SPT_2095
SPT_0875,SPT_2094
SPT_0875,SPT_2097
SPT_0875,SPT_0876
SPT_0875,SPT_2096
SPT_0769,SPT_1072
SPT_0769,SPT_0476
SPT_1831,SPT_1828
SPT_1831,SPT_2068
SPT_0772,SPT_1622
SPT_0772,SPT_1047
SPT_1588,SPT_1590
SPT_1589,SPT_1588
SPT_1589,SPT_1590
SPT_2184,SPT_2182
SPT_2184,SPT_2183
SPT_2182,SPT_2183
SPT_1833,SPT_1889
SPT_1833,SPT_2258
SPT_1833,SPT_0980
SPT_1746,SPT_2037
SPT_1746,SPT_2038
SPT_1746,SPT_1744
SPT_0887,SPT_0889
SPT_0886,SPT_0888
SPT_0886,SPT_0887
SPT_0886,SPT_0889
SPT_0886,SPT_1880
SPT_1830,SPT_1831
SPT_1830,SPT_1828
SPT_1830,SPT_2068
SPT_0888,SPT_0887
SPT_0888,SPT_0889
SPT_1745,SPT_1746
SPT_1745,SPT_2037
SPT_1745,SPT_2038
SPT_1745,SPT_1744
SPT_0473,SPT_0474
SPT_0473,SPT_0475
SPT_2215,SPT_2217
SPT_0386,SPT_1329
SPT_0386,SPT_2006
SPT_0386,SPT_1612
