Gene.NewLT,mean_CTRL,Total_CTRL,sd_CTRL,se_CTRL,M_CTRL,mean.EXPT,Total_EXPT,sd_EXPT,se_EXPT,M_EXPT,Value,Df,tstat,pval,Sig,Gene
SPT_RS04280,0.627255106,29,0.414740492,0.077015376,NA,0.796899777,29,0.376562419,0.069925886,NA,-0.16964467,56,1.154506693,0.253195517,FALSE,SPT_0862
SPT_RS04285,0.700828762,11,0.455113022,0.137221739,NA,0.915991471,11,0.306685882,0.092469272,NA,-0.215162709,20,0.936748492,0.360062685,FALSE,SPT_0863
SPT_RS04290,0.809741849,6,0.397447892,0.162257422,NA,0.853842698,6,0.419067847,0.171083732,NA,-0.044100849,10,0.132299442,0.897371613,FALSE,SPT_0864
SPT_RS04295,0.587286283,33,0.5169158,0.089983491,NA,0.639309415,33,0.493905139,0.085977849,NA,-0.052023132,64,0.29565092,0.768453807,FALSE,SPT_0865
SPT_RS04300,0.495382089,26,0.509016598,0.099826368,NA,0.58930224,26,0.51775881,0.101540857,NA,-0.093920152,50,0.466412306,0.642946203,FALSE,SPT_0866
SPT_RS04305,0.767106696,23,0.423082845,0.088218872,NA,0.788416856,23,0.426580513,0.088948186,NA,-0.02131016,44,0.120282857,0.904806661,FALSE,SPT_0867
SPT_RS04310,0.435239099,10,0.463788535,0.146662812,NA,0.498664425,10,0.52605852,0.166354311,NA,-0.063425326,18,0.20262574,0.841700277,FALSE,SPT_0868
SPT_RS04315,0.76577501,4,0.54054281,0.270271405,NA,0.760410753,4,0.520675203,0.260337602,NA,0.005364256,6,-0.010109622,0.992261587,FALSE,SPT_0869
SPT_RS04320,0.827789488,7,0.376475837,0.142294491,NA,0.687345437,7,0.475673897,0.179787834,NA,0.140444051,12,-0.436050166,0.670541697,FALSE,SPT_0870
SPT_RS04325,0.795830087,18,0.457803664,0.107905358,NA,0.761488946,18,0.486836844,0.114748545,NA,0.034341141,34,-0.154235522,0.878335933,FALSE,SPT_0871
SPT_RS04330,0.661458817,20,0.506778178,0.113319045,NA,0.656828584,20,0.496243259,0.110963366,NA,0.004630234,38,-0.020644658,0.98363714,FALSE,SPT_0872
SPT_RS04335,0.714037803,52,0.493545,0.068442377,NA,0.754387939,52,0.442777672,0.061402215,NA,-0.040350136,102,0.310757152,0.756619389,FALSE,SPT_0874
SPT_RS04340,0.436413548,23,0.511054229,0.106562173,NA,0.676114161,23,0.462255106,0.096386853,NA,-0.239700613,44,1.181087776,0.243912808,FALSE,SPT_0875
SPT_RS04345,0.613692908,33,0.512466583,0.089208982,NA,0.663439436,33,0.488245945,0.08499271,NA,-0.049746527,64,0.285568567,0.776130791,FALSE,SPT_0876
SPT_RS04350,0.728790998,25,0.477055409,0.095411082,NA,0.751610396,25,0.443665492,0.088733098,NA,-0.022819398,48,0.123921364,0.901895019,FALSE,SPT_0877
SPT_RS04355,0.556011221,41,0.503980396,0.078708514,NA,0.631836484,41,0.494792518,0.077273609,NA,-0.075825263,80,0.486115086,0.628214506,FALSE,SPT_0878
SPT_RS04360,0.629800754,12,0.471793018,0.136194913,NA,0.681147458,12,0.506446618,0.146198546,NA,-0.051346704,22,0.181826818,0.857383557,FALSE,SPT_0879
SPT_RS04365,0.494119988,23,0.532096493,0.110949788,NA,0.57428919,23,0.516930129,0.107787383,NA,-0.080169201,44,0.366509271,0.715741702,FALSE,SPT_0880
SPT_RS04370,0.591255577,52,0.495001786,0.068644397,NA,0.728965708,52,0.435589236,0.060405359,NA,-0.137710131,102,1.067108807,0.288441909,FALSE,SPT_0881
SPT_RS04375,0.715955448,14,0.49404742,0.132039727,NA,0.791151773,14,0.435806724,0.116474246,NA,-0.075196325,26,0.302583892,0.764614559,FALSE,SPT_0882
SPT_RS04380,0.475021303,21,0.468863499,0.102314404,NA,0.521565726,21,0.511734,0.111669514,NA,-0.046544423,40,0.217513651,0.828913831,FALSE,SPT_0884
SPT_RS04385,0.315799738,3,0.546981192,0.315799738,NA,0.318046133,3,0.550872062,0.318046133,NA,-0.002246395,4,0.003544071,0.997341954,FALSE,SPT_0885
SPT_RS04390,0.666350142,23,0.465762539,0.097118203,NA,0.788170453,23,0.430564624,0.08977893,NA,-0.121820312,44,0.651804068,0.517918,FALSE,SPT_0886
SPT_RS04395,0.551309972,12,0.412950902,0.119208657,NA,0.698386273,12,0.432852722,0.124953818,NA,-0.147076301,22,0.602370616,0.553086155,FALSE,SPT_0887
SPT_RS04400,0.584108018,14,0.47203608,0.126156949,NA,0.705415594,14,0.466941784,0.124795441,NA,-0.121307577,26,0.483388808,0.632865692,FALSE,SPT_0888
