"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.11L90MIN.C","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.A","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.B","X.ExpOut.181029_NS500751_0096_AH53GNBGX9.Out.Rep.Bams.19F.NDC90MIN.C"
"19","SPT_RS05420",91.5450013666426,-2.36777228129105,0.244300524579027,-9.69204747051258,3.25928162680677e-22,3.47542346100553e-20,21.354819356713,28.0126705595289,30.463805498554,156.445831134595,156.641668406928,156.351213243537
"20","SPT_1056",2964.30367596363,-1.51393198239932,0.158816131242714,-9.53260837266981,1.53380084190494e-21,1.55374025284971e-19,1464.4478043469,1797.81317840976,1229.62996739618,4485.22242990114,4295.84411165302,4512.86456407481
"21","SPT_1486",590.92087598106,-1.41969593007724,0.160767135419737,-8.83075963486348,1.03967194768057e-18,1.00303588857182e-16,272.684616401105,301.136208514935,371.104539709657,812.722834622937,911.954918807459,875.922137830268
"22","SPT_0545",662.655112065152,-1.68460541382567,0.192483145859513,-8.75196322412146,2.09672736071825e-18,1.93089528764326e-16,216.012211185212,319.144353874633,369.719821277905,1036.78508429876,1017.09795650526,1017.17124524914
"23","SPT_1588",2857.73471755558,-1.78943742175464,0.205886580102064,-8.69137474073136,3.58079791050979e-18,3.1542158985621e-16,1554.79511700991,1080.48872158183,995.612552430013,5641.33060574323,4049.79509826496,3824.38621030355
"24","SPT_0565",6417.13048428891,-1.64597739037415,0.193598053876459,-8.502034795373,1.86295949740115e-17,1.57264830905614e-15,2201.1890721535,3294.49014830459,3424.40868172381,10386.4122127832,11105.1075054154,8091.17528535302
"25","SPT_0803",2208.70643847999,-1.34669209270262,0.160073420864149,-8.41296503462324,3.99774165314421e-17,3.23976983570807e-15,1453.77039466854,1058.4787661422,1141.00798776402,3489.53752157842,3200.06769156437,2909.3762691624
"26","SPT_0112",6581.70741063905,1.26566842580958,0.151438878983625,8.35761882486225,6.39968339686604e-17,4.98683021617331e-15,8686.48344294603,8297.75320074045,11123.4431622674,3553.17650373486,3768.69840564431,4060.68974850117
"27","SPT_0688",35557.7775161515,-1.83890771062189,0.2216941052007,-8.29479750468388,1.08770330015079e-16,8.16180328187223e-15,9121.79322214057,15845.1670114935,18501.2229666445,55932.0362548742,63158.0637534254,50788.3818883309
"28","SPT_1621",460.583091768746,-1.25161707166868,0.151800265706592,-8.24515731802386,1.64943067828866e-16,1.19348091221887e-14,260.364528310693,291.131683315104,249.249317715441,715.93854926001,625.851414867864,620.963057143364
"29","SPT_0064",1768.05165929749,1.32768835630659,0.162245514654656,8.18320530544472,2.76391670512966e-16,1.93092939468713e-14,2385.16905430364,2245.01545484224,3026.99449181086,890.945750190235,957.731479437794,1102.45372520016
"30","SPT_0687",1738.67398324158,-1.00194757542837,0.122662474282849,-8.16833005600368,3.12687474889593e-16,2.11168274708772e-14,1078.41837751401,1243.56248233909,1121.62192971949,2310.89053955592,2388.24899913577,2289.30157118519
