"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.c"
"1759","SP_0876",76.9203598637062,-0.1388190139996,0.327570378230584,-0.423783782738386,0.671723506307441,0.81110899795168,45.7520604225993,86.0044497286301,85.3077089753739,100.716085848787,62.2184349985144,81.5234192083327
"1760","SP_0753",386.520748297991,0.0709643382910526,0.167829225937403,0.422836594131233,0.672414486456142,0.811482027973208,403.295940021431,375.482841498166,409.477003081794,376.238251733975,395.21850963845,359.411943814128
"1761","SP_1492",3.28020449787409,-0.315094854692117,0.748716951981567,-0.4208464278232,0.673867226688823,0.812312139322962,3.38904151278513,4.19533901115269,0,9.26124927345168,0,2.83559718985505
"1762","SP_2030",1483.30813581363,-0.0648137054823463,0.153974898147615,-0.420936829717593,0.673801210566597,0.812312139322962,1526.7632015097,1223.9901565038,1599.33409174701,1381.08379790348,1513.39770763992,1655.27985957789
"1763","SP_1812",202.614968212439,0.0910777303407524,0.216850845936977,0.420001729516988,0.674484190240963,0.812594679564268,176.230158664827,253.818010174738,196.578633725861,189.85561010576,197.171096826278,202.036299777172
"1764","SP_1599",65.0713404932915,-0.152164565170107,0.36293952998066,-0.419255971313501,0.675029070392947,0.81278349510141,50.835622691777,48.2463986282559,84.5659028103706,42.833277889714,93.7658104907188,70.1810304489125
"1765","SP_1698",386.442702376215,0.0770289864088683,0.18395426419034,0.418739879436364,0.675406247106398,0.81278349510141,345.682234304084,404.850214576235,436.923831186915,423.702154260415,378.568505906454,328.929274023186
"1766","SP_RS05890",5.80160635455835,0.299377014283597,0.71588289040737,0.418192721596178,0.67580621686135,0.812804306123163,3.38904151278513,13.6348517862462,2.967224660013,8.10359311427022,1.75263197178914,4.96229508224634
"1767","SP_2141",31.1931239662099,0.179403779974602,0.429542825712355,0.417662149698528,0.676194149783607,0.812810624867222,38.973977397029,24.123199314128,37.0903082501625,24.3107793428107,38.557903379361,24.1025761137679
"1768","SP_1697",1246.76241171421,0.0630186198813179,0.151218870289663,0.416737803692121,0.676870199876378,0.813163068177278,1321.7261899862,1366.63168288299,1135.70523861998,1202.80474938954,1359.16609412248,1094.54051528405
"1769","SP_2158",18.2500453338713,0.223422965242874,0.53990532538041,0.413818784034874,0.679006826302943,0.815268795402742,15.2506868075331,10.4883475278817,33.3812774251463,19.6801547060848,12.268423802524,18.4313817340578
"1770","SP_1155",203.870706918882,-0.0891377482455605,0.215963309420756,-0.412744870805326,0.679793546105758,0.81575225532691,176.230158664827,186.692585996295,228.476298821001,184.067329309852,213.821100558275,233.936768163042
"1771","SP_RS06950",24.918195833945,0.224721826462252,0.545266896830435,0.412131797782939,0.68024282327305,0.815830466759999,13.5561660511405,43.0022248643151,25.2214096101105,5.7882807959073,23.6605316191533,38.2805620630432
"1772","SP_0622",699.782352937657,-0.0607262810970242,0.147559420330698,-0.411537812773523,0.68067822049316,0.815891952780741,696.448030877345,642.93570345915,715.101143063134,731.638692602683,688.784364913131,723.786182710502
"1773","SP_RS08375",20.3138309093444,-0.230251486472948,0.560557317439373,-0.410754581752205,0.681252499714983,0.816119745851452,38.973977397029,9.43951277509355,8.15986781503576,16.2071862285404,30.6710595063099,18.4313817340578
"1774","SP_1771",324.387103566525,0.0771907250612556,0.188418399521891,0.409677214418156,0.682042746874086,0.816605859278781,345.682234304084,276.892374736077,376.837531821651,309.09419450145,318.102702879728,319.713583156157
"1775","SP_1752",101.759902362811,0.11119995925585,0.272165170368694,0.408575274731923,0.682851378703676,0.817113424431892,122.005494460265,110.127649042758,86.0495151403771,112.292647440602,92.8894945048243,87.1946135880428
"1776","SP_0638",131.281170544242,0.105743321867177,0.260384855656374,0.40610396330701,0.684666213792604,0.817902721088578,176.230158664827,116.420657559487,118.68898640052,111.13499128142,119.178974081661,146.033255277535
"1777","SP_0745",730.1079955597,-0.0669214012790014,0.164497702155719,-0.406822711819106,0.684138204475819,0.817902721088578,671.030219531457,633.496190684056,832.306517133648,709.643225578235,813.22123491016,720.950585520647
"1778","SP_0968",105.598773605286,0.140311400478772,0.34523355200601,0.406424577401242,0.684430664190399,0.817902721088578,52.5301434481696,135.299683109674,143.910396010631,64.8287449141618,120.055290067556,116.968384081521
"1779","SP_0200",745.188472639829,-0.0594110636044063,0.146757556090623,-0.404824563634189,0.685606471690574,0.818565568224159,750.672695081907,706.914623379228,732.904491023212,714.273850214961,755.384379841118,810.980796298545
"1780","SP_1823",30.1607052370459,-0.19441333253761,0.482110597373073,-0.403254634096265,0.686760911601495,0.819483245079536,10.1671245383554,46.1487291226796,26.705021940117,23.1531231836292,31.5473754922045,43.2428571452895
"1781","SP_0220",3945.51649721273,0.0626440033231302,0.156306164477631,0.400777560709035,0.688583901107541,0.821108766052842,4144.79777013622,4075.77184933484,3878.162630637,3092.09960117368,4613.8036657349,3868.46346625975
"1782","SP_0472",74.4402890435273,0.128770107070745,0.321641202249161,0.400353269948893,0.688896337620605,0.821108766052842,76.2534340376655,92.2974582453592,65.2789425202861,84.5088996202466,48.1973792242013,80.1056206134052
"1783","SP_RS03925",16.5009935558224,-0.218744447979818,0.55075563934312,-0.397171508294881,0.691240991036169,0.823441315177129,11.861645294748,12.5860170334581,20.0287664550878,26.6260916611736,8.76315985894569,19.1402810315216
"1784","SP_0797",6665.15313296172,0.0543164305084842,0.137466173348533,0.395125791206611,0.692750055662971,0.824776411562865,7611.78723771541,6487.04294599485,6278.64738058752,6840.59024460325,6912.38049673636,5860.47049213293
"1785","SP_0374",1520.90924999588,0.0635680762432318,0.161363121802384,0.39394426392594,0.693622189452479,0.825352117869505,1242.08371443575,1849.09566916555,1569.66184514688,1531.57909859707,1459.94243250035,1473.0927401297
"1786","SP_2144",11.5334988712917,0.243793013138513,0.6211189671915,0.392506147801067,0.694684269775526,0.826153073350065,13.5561660511405,10.4883475278817,14.0943171350618,11.5765615918146,16.6500037319968,2.83559718985505
"1787","SP_1236",113.948164765842,-0.100756734093878,0.257739970381467,-0.39092397638113,0.695853430818212,0.826617833924991,130.478098242228,103.834640526029,96.4348014504226,130.815145987505,105.157918307348,116.968384081521
"1788","SP_2059",355.099594111074,-0.0885906031047336,0.226509918045485,-0.391111364434577,0.69571492077244,0.826617833924991,482.938415571882,281.08771374723,272.242862556193,362.346377823797,328.618494710463,403.363700256881
"1789","SP_0525",39.7765988151457,0.158356268554405,0.406821414264395,0.389252539325494,0.697089341253393,0.827623119520518,37.2794566406365,55.5882418977731,34.1230835901495,23.1531231836292,40.3105353511502,48.2051522275359
"1790","SP_0467",107.546535929316,-0.110770979381543,0.285812317528807,-0.387565449730412,0.69833764132671,0.827717159697507,110.143849165517,119.567161817852,80.1150658203511,142.39170757932,105.157918307348,87.9035128855066
"1791","SP_0996",49.0253460148836,-0.150011055416889,0.386265926938003,-0.388362122970701,0.697748070250664,0.827717159697507,50.835622691777,41.9533901115269,45.9919822302016,70.6170257100691,28.0421115486262,56.711943797101
"1792","SP_1235",162.514139913865,0.0913920466036496,0.235506203459331,0.388066408702614,0.697966889745126,0.827717159697507,184.70276244679,168.862395198896,149.844845330657,191.013266264941,148.097401616182,132.564168625724
"1793","SP_0197",452.788881501438,0.082156420084649,0.212723470290493,0.386212296990347,0.699339447270523,0.827774026636875,332.126068252943,458.340786968431,603.088412147643,488.530899174576,387.331665765399,447.315456699634
"1794","SP_1106",4320.37362500194,-0.0671723200102999,0.174056942719974,-0.385921520627695,0.69955479181412,0.827774026636875,3080.63873512169,4860.30024442039,4710.46914777064,3916.35078651088,4700.55894833847,4653.9238878496
"1795","SP_1582",136.637879412921,-0.115487530998021,0.298965202600047,-0.386290879318552,0.699281254545657,0.827774026636875,76.2534340376655,144.739195884768,169.131805620741,165.544830762949,102.528970349665,161.629039821738
"1796","SP_RS06655",297.246257382783,-0.0951725641371193,0.248141629644632,-0.383541303703928,0.701318451371812,0.829398881243724,230.454822869389,398.557206059506,230.701717316011,385.499501007426,297.947435204153,240.316861840216
"1797","SP_1516",158.058448254384,0.100469981063885,0.262928609183608,0.382118862514976,0.702373201276712,0.830184017535747,122.005494460265,185.643751243507,182.4843165908,143.549363738501,118.302658095767,196.365105397462
"1798","SP_1944",87.2558009711768,-0.126314988480736,0.332769874438844,-0.379586609796764,0.704252302001707,0.831942096469202,50.835622691777,75.5161022007484,121.656211060533,69.4593695508876,99.0237064060862,107.043793917028
"1799","SP_2103",96.5391803517438,-0.115501666540292,0.305227402915788,-0.378411851088477,0.705124665716107,0.832509610884386,64.3917887429175,98.5904667620882,113.496343245497,78.7206188243393,92.8894945048243,131.146370030796
"1800","SP_2100",1891.6306033642,0.049559567084297,0.131377941190464,0.37722898254623,0.706003443622148,0.833084063474134,1887.69612262132,1822.87480034584,2060.73752637903,1935.6010981514,1787.68461122492,1855.18946146267
"1801","SP_0854",73.1394744466763,-0.137117096982392,0.364861565057597,-0.375805812708024,0.707061266136733,0.833869033467196,35.5849358842439,71.3207631895957,99.4020261104356,85.6665557794281,52.5789591536741,94.2836065626804
"1802","SP_0057",257.692629955093,-0.0733386886787371,0.19567733625601,-0.374793985251241,0.707813687839461,0.833892131638489,211.815094549071,282.136548500018,257.406739256128,260.472635815829,269.905323655527,264.419437953984
"1803","SP_RS08765",23.1830237942951,-0.180925825777697,0.482824781040181,-0.374723570293797,0.707866060896514,0.833892131638489,11.861645294748,30.416207830857,21.5123787850943,31.2567162978994,22.7842156332588,21.2669789239129
"1804","SP_0014",48.631037886569,0.132058649621625,0.3531844113264,0.373908489125193,0.708472400408606,0.834143779638514,40.6684981534216,60.832415661714,51.1846253852243,39.3603094121697,50.826327181885,48.9140515249996
"1805","SP_1425",5.76721443933567,0.267632213100637,0.717429652419633,0.373043143948691,0.709116333614423,0.834439386480351,11.861645294748,5.24417376394086,2.967224660013,3.47296847754438,9.63947584484025,1.41779859492753
"1806","SP_0925",108.662225876885,0.11194129178174,0.300917618078156,0.371999793487218,0.709893003107813,0.834890774419155,150.812347318938,108.029979537182,83.0822904803641,71.7746818692506,119.178974081661,119.095081973912
"1807","SP_1796",3.73293240118123,0.275945772000019,0.74883435750987,0.368500415656185,0.712500135265933,0.837030026164182,3.38904151278513,0,9.64348014504226,2.31531231836292,3.50526394357827,3.54449648731881
"1808","SP_1927",26.2716096929576,0.167779440718281,0.455228518251534,0.36856091828934,0.712455030491313,0.837030026164182,30.5013736150662,17.8301907973989,35.606695920156,20.8378108652663,28.0421115486262,24.8114754112317
"1809","SP_0204",65.2147921689394,-0.11874419865782,0.323743030300052,-0.366785343757873,0.713779140865683,0.837606019446802,52.5301434481696,77.6137717063248,57.1190747052503,55.5674956407101,68.3526468997763,80.1056206134052
"1810","SP_1688",10.2329435847388,0.233334227637801,0.635879394411813,0.366947301152342,0.713658327550957,0.837606019446802,20.3342490767108,10.4883475278817,3.70903082501625,9.26124927345168,10.5157918307348,7.08899297463763
"1811","SP_1419",171.255308089246,0.0801104586301209,0.220250952872873,0.363723550727883,0.716064455259368,0.839823800646547,171.146596395649,172.00889945726,183.967928920806,187.540297787397,168.252669291757,144.615456682608
"1812","SP_1470",136.670550964862,0.0900111020725312,0.248437426355142,0.362308945930956,0.717121173782265,0.84059899178451,147.423305806153,166.764725693319,109.787312420481,138.918739101775,128.818449926502,128.310772840941
"1813","SP_1489",60989.6469011277,-0.0431463237999783,0.119620271904552,-0.36069407896352,0.718328151476156,0.841549362236821,63359.8256022745,58591.0557950057,58267.3906486753,58986.054278773,65578.2304884341,61155.3245936039
"1814","SP_0475",37.7722853112066,-0.143073344816475,0.398537492524378,-0.358995947684204,0.719598120773603,0.842572441302719,50.835622691777,26.2208688197043,31.1558589301365,42.833277889714,39.4342193652556,36.1538641706519
"1815","SP_RS01465",41.9362606233309,0.137663135541842,0.384195683900921,0.358315153736459,0.720107478929771,0.842704289392195,50.835622691777,39.8557206059506,42.2829514051853,27.7837478203551,52.5789591536741,38.2805620630432
"1816","SP_0889",129.778547504258,-0.0922837137551088,0.261370146172951,-0.353076719381884,0.72403092558151,0.846829122210974,144.034264293368,114.322988053911,118.68898640052,162.071862285404,99.9000223919808,139.653161600361
"1817","SP_1603",668.245307752079,-0.0580758818291891,0.164809821512182,-0.352381194860383,0.724552403034831,0.846972649447431,540.552121289229,724.744814176627,695.814182773049,659.864010733432,670.381729209345,718.114988330792
"1818","SP_1082",284.623701987513,-0.0791082082862075,0.224843086831776,-0.351837405369706,0.724960204464216,0.846983209176015,262.650717240848,307.308582566935,260.373963916141,294.044664432091,211.192152600591,372.172131168475
"1819","SP_RS05880",5.48299714451231,0.256506846490171,0.733978797962022,0.349474463298385,0.726733139054309,0.848587788538401,3.38904151278513,9.43951277509355,5.93444932002601,1.15765615918146,12.268423802524,0.708899297463763
"1820","SP_RS03855",12.7259207771598,0.212702287022536,0.610470731736712,0.348423398477147,0.727522232676802,0.848754690712325,5.0835622691777,13.6348517862462,22.2541849500975,17.3648423877219,5.25789591536741,12.7601873543477
"1821","SP_RS11485",28.1589317032116,0.150758309589464,0.433208840377083,0.348003769863601,0.727837352310878,0.848754690712325,25.4178113458885,37.7580511003742,25.9632157751138,26.6260916611736,29.7947435204153,23.3936768163042
"1822","SP_1042",26.6296630114417,0.173207474529335,0.498169970125304,0.347687506105132,0.728074880639292,0.848754690712325,37.2794566406365,9.43951277509355,38.573920580169,30.099060138718,24.5368476050479,19.8491803289854
"1823","SP_RS11470",128.161461401547,0.0853816148734265,0.248784113858334,0.343195606621594,0.731451309606421,0.851848757891835,145.728785049761,129.006674592945,123.13982339054,101.873742007969,125.313185982923,143.906557385144
"1824","SP_1113",1271.40421013616,0.0607552349437144,0.177082762699714,0.343089491136635,0.731531136720672,0.851848757891835,945.542582067052,1520.81039154285,1425.00964297124,1268.79115046288,1197.92395271788,1270.34754105506
"1825","SP_RS07295",7.40400968907014,0.239179813375168,0.700162431392124,0.341606179725481,0.732647285951741,0.852681005677533,10.1671245383554,8.39067802230538,6.67625548502926,0,11.3921078166294,7.79789227210139
"1826","SP_1071",115.186882024707,0.097043962926933,0.284566415138736,0.34102394999642,0.733085551824411,0.852723829175821,145.728785049761,123.762500829004,90.5003521303966,79.8782749835208,131.447397884185,119.803981271376
"1827","SP_0629",532.568733267736,0.0560762503947577,0.16646436913837,0.336866385791819,0.736217626032931,0.855898323860944,476.160332546311,591.542800572529,558.580042247448,574.197454954004,491.613268086853,503.318501199272
"1828","SP_0586",18.5466593293448,0.181484428618168,0.54521375871125,0.332868394677259,0.739233627646425,0.858934477637312,32.1958943714588,11.5371822806699,16.3197356300715,27.7837478203551,11.3921078166294,12.051288056884
"1829","SP_0888",32.414965430175,-0.161445790436205,0.487811889273282,-0.330959113515496,0.740675369435289,0.859735160077539,8.47260378196284,40.9045553587387,40.0575329101755,49.7792148448028,33.3000074639936,21.9758782213766
"1830","SP_1918",7.99588704578065,-0.232111348529634,0.701489040224304,-0.330883784663857,0.740732270688275,0.859735160077539,0,14.6836865390344,5.93444932002601,15.049530069359,8.76315985894569,3.54449648731881
"1831","SP_0038",120.129238086214,-0.0938656739671343,0.284379240316953,-0.330072173561322,0.741345428327576,0.859823050802548,84.7260378196283,144.739195884768,117.947180235517,92.6124927345168,155.984245489233,124.766276353622
"1832","SP_1606",1127.48136488242,0.0511565468533557,0.155155269786548,0.329711951928758,0.741617621972819,0.859823050802548,1264.11248426885,1190.42744441458,990.31123027934,1198.17412475281,1128.6949898322,993.167915746732
"1833","SP_1094",1533.95685001748,-0.0589118184458954,0.179292123558125,-0.328580069647045,0.742473114461692,0.860345278296036,1745.35637908434,1584.78931146293,1178.72999619017,1741.11486340892,1683.40300890347,1270.34754105506
