"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.c"
"1773","SP_0834",1253.96022205838,0.11436028248142,0.1275903852343,0.896307995868301,0.370088289803305,0.461947535322254,1302.45458640029,1279.15895115633,1328.46976753044,1260.80447624098,1241.19630975293,1111.67724126931
"1774","SP_1631",6883.27117745552,0.164707481696327,0.183760293051098,0.896317038689786,0.370083461515949,0.461947535322254,5537.31960754383,7597.51348682433,8708.91153290415,7257.31357055783,5762.08740772507,6436.48145917793
"1775","SP_1770",304.308109154213,-0.211313771656029,0.235807224697652,-0.896129335846145,0.37018369083386,0.461947535322254,316.175569887026,276.273217702703,250.581086425926,380.843378376731,375.602734725782,226.372667807109
"1776","SP_1527",3525.68157177567,-0.17036777893283,0.190551569398409,-0.894077017946894,0.37128068471207,0.463055583692137,4336.79624964444,2930.51932060658,2678.39005607789,3515.11341781256,3706.51607768033,3986.75430883221
"1777","SP_0749",3134.51578654645,0.149773256301954,0.168041993933118,0.89128468900199,0.372776460543747,0.464659459822397,3489.25696081295,3218.30392238022,3191.74002496213,3103.51871074702,2323.61509982632,3480.66000055007
"1778","SP_RS05270",32.8680890571616,0.370477455928006,0.416556209807603,0.88938166616006,0.373797994752929,0.465670730246197,43.4151528800096,41.5107486194718,28.2756867951434,21.2893813999415,32.4384179990448,30.2791466493585
"1779","SP_0234",20739.5540159948,-0.147221882831931,0.165873040740075,-0.887557629468128,0.374778753738746,0.466630095295852,22552.2843058224,17555.5583678332,18893.52140941,26034.5479653062,18778.4294511313,20622.9825964655
"1780","SP_0144",216.911312328303,0.285796752954894,0.322863515135193,0.885193710522611,0.376052163934414,0.467794119693769,150.065419737424,298.947156024263,267.644000871271,248.37611633265,114.388105575579,222.047075428629
"1781","SP_0184",2701.28449490386,-0.17855964181112,0.201753603127161,-0.885038180451123,0.37613603935648,0.467794119693769,1767.75176835343,2830.05633235105,2991.86017003094,2994.7063169251,2569.46416255592,3053.86821920673
"1782","SP_RS09730",12.6564822360541,0.515910120774239,0.583255377254013,0.884535558340091,0.376407176121184,0.467868628006971,16.0447304121775,16.046171735258,15.1128670801628,2.36548682221572,11.9509961049112,14.4186412615993
"1783","SP_0925",347.818294593361,-0.245278026845062,0.277929316973394,-0.882519446009153,0.377495968589615,0.468473908956065,213.30053371483,400.805463561118,335.408146811356,347.726562865711,507.063691879806,282.605368727346
"1784","SP_RS05880",29.5747297661055,0.392128494370425,0.444144390242758,0.882885167492709,0.377298318343534,0.468473908956065,29.2580378104412,38.0224504161548,35.1008525732814,23.6548682221572,15.3655664206002,36.0466031539983
"1785","SP_RS07290",6.85385360967382,0.593553394281689,0.672612989328642,0.882459012387101,0.37752863543412,0.468473908956065,9.43807671304556,7.67425604729731,10.2377486672071,0,5.12185547353339,8.65118475695959
"1786","SP_RS01980",0.72157068082183,0.448656377657714,0.508699201783564,0.881967921484186,0.377794154750693,0.468483053729729,1.88761534260911,2.44180874232187,0,0,0,0
"1787","SP_2102",308.899619033617,-0.23102191184495,0.262029689781005,-0.881663112443595,0.377959014453736,0.468483053729729,383.18591454965,185.22863459613,284.21940347532,316.975234176906,317.55503935907,366.233488044622
"1788","SP_1310",74.7823991330944,-0.279542690897699,0.317520448570355,-0.880392718504739,0.378646599728462,0.469072829081959,50.0218065791415,71.5101131679976,78.4894064485876,89.8884992441973,93.9006836814455,64.8838856771969
"1789","SP_1635",37.0609909622184,-0.410000262986588,0.469610243107722,-0.873064991669145,0.382627654240446,0.473739661342978,39.6399221947914,26.5110663452089,26.3256394299611,78.0610651331187,27.3165625255114,24.5116901447188
"1790","SP_RS03195",186.706715262716,-0.224728306290165,0.259350821476591,-0.866503159738204,0.386214294355258,0.477913218992679,218.963379742657,131.160012444718,165.2665141992,243.645142688219,180.972226731513,180.233015769991
"1791","SP_2039",207.914148460715,0.219568096434718,0.253677820087587,0.865539195972704,0.386742912328759,0.47830014003808,180.26726521917,223.948744652949,269.594048236453,156.122130266237,172.435800942291,245.116901447188
"1792","SP_0811",92.487525991083,0.290219834147167,0.33554339359417,0.864924894030783,0.38708001311915,0.47844990460877,68.8979600052326,139.88075795301,97.502368259115,70.9646046664716,104.144394628512,73.5350704341565
