"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC30min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN30min.c"
"16","SP_1722",507.071326389212,0.478653929932729,0.0880056915293042,5.43889743509766,5.36113050628089e-08,5.83358013214689e-06,460.945920524219,366.829932401957,392.682077947775,631.071631354695,600.107088148153,590.791307958473
"17","SP_0871",1535.77445500784,-0.347284932083754,0.0698562721052596,-4.97142091350743,6.64639761463954e-07,6.80669308652202e-05,1639.45512395874,1817.40940715811,1764.01741751669,1370.56075529221,1366.2012432309,1257.00278289037
"18","SP_0268",3638.36921012587,0.309878954815909,0.0636186996272963,4.8708784780466,1.11103160124319e-06,0.000107461445431355,3430.14555866539,3105.68119356974,3106.86804676815,3917.34902445459,4152.2303205485,4117.94111674885
"19","SP_1161",1892.93860008141,-0.325553322120644,0.0671665011183995,-4.84695967036852,1.2536790055635e-06,0.000114876586772951,2220.2630726821,1998.64086185669,2162.80336196106,1648.76413248585,1611.35137285738,1715.80879864535
"20","SP_1884",2165.27195522657,0.31917738754464,0.0669708512504249,4.76591504490716,1.87998466686681e-06,0.000163652665250756,1951.57906316188,1767.91647977054,1991.89510005633,2449.62164845137,2345.52493814502,2485.09450177426
"21","SP_1420",652.216386235903,0.396017530620965,0.084339287517819,4.69552852859108,2.65918249835558e-06,0.000220458891887479,545.412450463212,570.624339291933,524.932518707389,797.78909636412,814.613451571323,659.926461017443
"22","SP_0285",1617.94725595885,0.341894187974319,0.0731978514295266,4.67082272631306,2.99995756564561e-06,0.000237405732808591,1370.77111443852,1395.99168719634,1442.54711536255,1707.06410491246,2036.53362892831,1754.77588491495
"23","SP_1088",487.187212733933,0.422594602374492,0.0909033075813399,4.64883636930764,3.33812894022175e-06,0.000252681847170699,411.874888845376,387.937210258419,399.803255527139,513.448879967677,538.819555741533,671.239486063457
"24","SP_0350",934.943849336009,-0.424303595493594,0.0920677371663398,-4.60860241114648,4.05384686483495e-06,0.000294072807986569,1228.38467825564,1123.78058656472,956.272417800282,660.733020834899,735.450388879439,905.042003681065
"25","SP_1471",407.160060579017,0.399029695729814,0.0879350923570791,4.53777536400905,5.68507710089478e-06,0.000395908769306313,355.563868886047,335.532934200996,326.556857567969,439.806809534066,486.469788477545,499.030104807476
"26","SP_0869",1588.91451934755,-0.291053630776414,0.0665125432016915,-4.37592094311938,1.20920838475557e-05,0.000779715480688682,1685.30838306848,1816.68156999064,1790.46750566861,1385.90285329921,1407.05959816865,1448.0672058897
