"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.c"
"26","SP_1035",927.668041410857,-0.346537452700523,0.081348719417,-4.25990052681893,2.0451790272122e-05,0.00157321463631707,989.754064538376,1077.29921728976,1086.21242659429,799.95824608567,816.294035102759,796.490258854284
"27","SP_0868",2944.47058360293,-0.319002495097094,0.075962712491078,-4.19946161262425,2.67550382482325e-05,0.00191107416058804,3199.47397761377,3324.16005335003,3380.82415150783,2780.72973232425,2580.99905896653,2400.6365278552
"28","SP_1572",16207.4752675676,-0.311142241705186,0.074059327007956,-4.20125667185392,2.65437441493966e-05,0.00191107416058804,19585.2283720205,17245.8328101147,17523.7140283334,13905.276247066,15161.6000479419,13823.200099929
"29","SP_1883",1074.66281460489,0.340918236037748,0.0815676587560614,4.17957608734741,2.92052994249369e-05,0.00201415858103013,952.168467150843,972.373348939124,875.512230470155,1204.41322910152,1171.35834805931,1272.15126390838
"30","SP_1651",592.718485894645,-0.386475993539741,0.0957769445558638,-4.03516728719949,5.45634080102122e-05,0.00363756053401415,781.467212349129,615.987209886087,664.812034346018,490.717011586632,534.365892921315,468.961554278691
"31","SP_0385",308.630142088547,0.40452371172652,0.102584880077536,3.94330735114934,8.03655528126856e-05,0.00518487437501197,264.665248270547,228.846937006138,274.198885367026,376.786030455407,357.423544271873,349.860207160293
"32","SP_1649",2548.52103508418,-0.300808605275966,0.0771656455527765,-3.8982192544509,9.69026598443324e-05,0.00605641624027077,2820.48587062281,2962.34671420989,2739.10254961377,2316.05408785332,2379.28478150616,2073.8522066991
"33","SP_0742",2429.93065137805,0.286016718769191,0.073607603507967,3.88569529692994,0.000102037424834429,0.00618408635360178,2162.73791634098,2245.95630271241,2090.64623825456,2561.00569728546,2765.01910156195,2754.21865211295
"34","SP_2189",2929.43312474434,-0.321062964095287,0.0830729348152892,-3.86483232847332,0.000111165538510322,0.00653914932413656,3190.07757826689,3369.38672074255,3325.98437443442,2824.674539332,2619.9263756694,2246.54916002078
"35","SP_1809",392.31093453515,0.383888477131197,0.0995928740667557,3.85457775697769,0.000115929534996103,0.00662454485692018,308.515111889336,318.395738443322,359.825905709712,423.986008352629,445.894718596594,497.24812421931
"36","SP_0217",4871.17530196881,0.280696331294933,0.0731900282443992,3.83517178539159,0.000125476564091487,0.00697092022730482,4085.86764933643,4663.77394151639,4309.25195634706,5471.94226518824,5205.64389726658,5490.57210215813
"37","SP_0520",1119.82054023327,0.483989821120657,0.129863789046884,3.72690358623314,0.00019384656687901,0.010202450888369,905.186470416426,551.765342188712,817.786149340254,1247.54424338691,1390.76686038461,1805.8741756827
"38","SP_0729",303.144617031033,0.379350153217884,0.101664222922757,3.73140267354534,0.000190416575199328,0.010202450888369,258.400982039291,251.460270702397,254.956858323726,373.530859565944,323.214690199647,357.304041355193
"39","SP_1580",1152.95540085987,0.312303431417805,0.084095082139013,3.71369435018273,0.000204255468409613,0.0103409160798817,1050.83066029312,1059.20855033276,926.5036021349,1342.75799190372,1331.78607750147,1206.64552299327
