"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.KAN45min.c","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.a","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.b","X.ExpOut.181113_NS500751_0099_AHC5NGBGX9.Out.Rep.Bams.WT4.NDC45min.c"
"31","SP_1767",442.674351579405,1.00855656482567,0.268632334040241,3.75441239577135,0.000173748598461376,0.0118821622173586,407.902045459634,507.239747884508,947.631742937628,227.512972301796,274.944179737047,290.815421155816
"32","SP_1898",4129.48824363108,0.772378884536253,0.207000313605129,3.73129330620064,0.000190499273360996,0.012620576860166,5229.49585462595,3797.79503544298,6930.09718391469,2877.63895117398,3123.96035571499,2817.9420809139
"33","SP_0253",84.9852368750061,1.15529665101799,0.314972069330216,3.6679336471793,0.000244518615584394,0.0132016347477086,86.9187244519691,117.777890178312,180.501284369072,53.7342195888665,34.182249372714,36.7970532891032
"34","SP_0981",2653.80663748062,0.798474236375758,0.218187056081912,3.65958572756026,0.000252623321218414,0.0132016347477086,2989.45660162363,2661.92483077853,4707.43509181681,1580.01471216624,1894.88556305262,2089.12302544586
"35","SP_RS05970",1790.76914901357,1.00493347673764,0.275541458526466,3.647122585878,0.000265193423517941,0.0132016347477086,2218.13847203804,1300.61473816541,4037.27606793589,884.899701314524,1095.31816468218,1208.36774994539
"36","SP_1269",19831.1238758561,0.882917816420083,0.241526707541941,3.65557012475221,0.00025661104893826,0.0132016347477086,22840.4613475241,17770.7327058,39167.8185948739,11794.0895591223,11503.0700062959,15910.5710415206
"37","SP_1516",584.125297753943,0.788481580927702,0.21265859251712,3.70773440938779,0.000209121811592377,0.0132016347477086,833.598475452743,557.819209924274,879.463704691862,428.730475443083,396.811329674549,408.328591337145
"38","SP_1661",7639.8613929651,0.596918944307448,0.161538744403285,3.69520604182255,0.000219708543929707,0.0132016347477086,9403.64782653586,7805.13355647928,10658.2167967078,6061.67728213127,5873.40215308546,6037.09074285093
"39","SP_1683",1927.34697398142,0.55377514377468,0.150439382594344,3.68105169155021,0.000232273904557684,0.0132016347477086,2336.53956912616,2135.89842556497,2460.7701693507,1475.97611679206,1538.20122177213,1616.69634128254
"40","SP_1810",212.554983684646,0.960297887952657,0.261937793493584,3.66612956131578,0.000246249200127721,0.0132016347477086,259.38737454564,246.394236508002,374.444153744352,96.0356264992507,147.132290778204,151.936220032426
