,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC60MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF60MIN.C
138,SP_0420,3241.720461,-1.299209201,0.117799467,11.02899046,2.77E-28,4.45E-27,4946.031414,4450.846892,4462.393763,1900.434698,1993.423853,1697.192144
139,SP_0336,1942.84998,-1.300691701,0.11823816,11.00060843,3.80E-28,6.05E-27,2779.64937,2825.889813,2705.283768,1170.842526,1171.718617,1003.715784
140,SP_1895,325.1134333,2.210709139,0.201244907,-10.98516811,4.50E-28,7.13E-27,156.1904657,95.08851565,85.58015436,572.314817,461.1764301,580.330217
141,SP_2088,209.5834072,2.008296003,0.183122691,-10.96694236,5.51E-28,8.66E-27,93.30858991,72.54901565,78.78807862,322.2001355,301.9428744,388.7117491
142,SP_1219,2499.955326,-1.390715691,0.127529319,10.90506638,1.09E-27,1.70E-26,3983.871099,3450.656579,3451.732892,1403.481946,1503.705559,1206.283879
143,SP_0216,9209.447115,-1.702589056,0.156150819,10.90349105,1.11E-27,1.72E-26,18364.21233,11991.014,12067.48097,4177.679723,4524.636506,4131.659155
144,SP_1852,135.4758485,2.359258557,0.216420018,-10.90129544,1.14E-27,1.75E-26,52.06348857,43.67028126,32.60196357,247.9302738,235.8459268,200.7431568
145,SP_2022,471.4435824,1.514930878,0.139060294,-10.89405781,1.23E-27,1.88E-26,250.851354,231.7342344,243.8355192,670.6131634,666.9782898,764.6489337
146,SP_0852,1643.729345,-1.487400771,0.13656421,10.89158553,1.26E-27,1.92E-26,2841.855097,2304.663876,2144.258312,884.6851179,880.2911662,806.6225029
147,SP_1600,2009.075593,1.317869811,0.121085236,-10.88381919,1.38E-27,2.07E-26,1052.764308,1234.037625,1147.181593,3015.574828,2639.371295,2965.523908
148,SP_0588,3455.250264,-1.281603952,0.117802773,10.8792342,1.45E-27,2.17E-26,5441.648779,4648.067517,4628.799619,2083.924944,1945.353345,1983.707377
149,SP_2214,9308.936627,-1.182531222,0.109146782,10.83432055,2.37E-27,3.52E-26,13176.79565,12614.37205,13044.86067,5857.489244,5951.729694,5208.372451
150,SP_1317,89.15017572,2.688994743,0.248697843,-10.81229622,3.01E-27,4.45E-26,27.04596809,21.83514063,19.01781208,150.7241312,175.7577926,140.5202098
151,SP_RS08485,1265.212976,-1.495506761,0.138458026,10.8011562,3.40E-27,4.99E-26,2094.710228,1855.986954,1665.416972,620.3717864,608.3923589,746.3995558
152,SP_1119,793.5945158,1.42055912,0.131795804,-10.77848519,4.35E-27,6.34E-26,397.5757309,438.8158908,450.9938293,1188.317788,1243.824378,1042.039478
153,SP_0877,511.2849715,1.48320691,0.137948953,-10.75185335,5.81E-27,8.41E-26,269.1073825,243.0039844,290.0216342,782.0179561,722.5598139,760.9990581
154,SP_0422,6118.096033,-1.353188353,0.126144569,10.72728195,7.58E-27,1.09E-25,9624.983893,8434.703518,8386.17592,3767.011076,3530.177885,2965.523908
155,SP_1768,248.1884591,1.846203003,0.172507829,-10.70214038,9.95E-27,1.42E-25,101.4223803,109.8800625,106.6355892,325.4767471,429.6301596,416.085816
156,SP_0499,6451.742096,-1.269207,0.119214174,10.64644377,1.81E-26,2.57E-25,10284.22937,8467.808409,8662.613402,3939.579284,3746.495168,3609.726947
