,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.C
71,SP_0065,645.6312673,1.247080524,0.125368607,-9.947311024,2.59E-23,8.08E-22,377.8935871,399.3197552,357.7304865,862.2364877,982.9244402,893.682847
72,SP_0955,332.519701,1.43688982,0.144575842,-9.938657774,2.83E-23,8.69E-22,188.4456084,166.5925184,172.8457399,485.676632,460.9657578,520.5919497
73,SP_0225,36161.71262,1.063846618,0.107065488,-9.936410273,2.89E-23,8.77E-22,23241.95916,22143.41058,24355.7706,44047.34028,53727.72901,49454.06609
74,SP_RS00615,969.1283714,1.145184348,0.115313222,-9.931075828,3.05E-23,9.13E-22,614.4529679,560.0522353,619.1489189,1267.680196,1378.20551,1375.2304
75,SP_0066,352.902604,1.446480755,0.145719404,-9.926480007,3.19E-23,9.43E-22,200.4740515,197.5670068,160.8067331,526.8628663,521.9586825,509.7462841
76,SP_1539,16418.65832,-0.98955342,0.100212931,9.874508264,5.37E-23,1.56E-21,20504.48599,22464.03839,22718.46568,10407.81487,11591.00157,10826.14342
77,SP_1378,813.3085608,-1.134310215,0.115042746,9.859902109,6.21E-23,1.79E-21,1128.66891,1126.801657,1107.588622,489.9557213,514.9210373,511.9154172
78,SP_1155,280.0552959,-1.496943576,0.153205521,9.77082007,1.50E-22,4.27E-21,430.0168405,395.1340136,424.8049527,148.1634659,132.5423171,149.6701855
79,SP_1176,24052.34593,-1.000993649,0.102655238,9.751023558,1.83E-22,5.12E-21,31360.15588,34632.82657,30511.14277,15704.25762,17019.37187,15086.32088
80,SP_0230,57287.72957,1.0571505,0.108437698,-9.748920543,1.86E-22,5.16E-21,37824.44167,34279.54997,38714.00601,69120.66385,81427.90034,82359.81557
81,SP_0057,977.5201236,1.17348615,0.120389207,-9.747436468,1.89E-22,5.17E-21,602.4245248,555.0293453,631.1879257,1468.262505,1365.30316,1242.91328
82,SP_1164,545.0537219,-1.283295293,0.131806143,9.736232782,2.11E-22,5.71E-21,768.8179875,842.1712238,718.9006892,303.8153381,330.7693224,305.8477704
83,SP_0226,41433.42294,1.155137766,0.119511358,-9.665506176,4.23E-22,1.13E-20,26281.14578,25914.76382,24144.22805,64266.57196,60073.33906,47920.48897
84,SP_0220,18254.91218,0.937486285,0.097351697,-9.62989151,5.98E-22,1.58E-20,12133.69197,12440.86139,12826.70177,24491.90232,25161.92732,22474.38829
85,SP_0233,3570.78773,1.02114962,0.106416569,-9.595776555,8.33E-22,2.17E-20,2539.003862,2169.888481,2320.948517,4980.325023,4555.702298,4858.858197
86,SP_1156,821.9414216,-1.263973232,0.132317713,9.552562572,1.27E-21,3.26E-20,1171.770831,1303.439956,1031.914865,512.9558261,482.0786932,429.4883585
87,SP_0806,3018.829048,-1.01105357,0.106199166,9.520353232,1.73E-21,4.39E-20,4119.741758,4173.184444,3858.501665,2073.218751,2074.93238,1813.395291
88,SP_1482,1006.332634,-1.092015979,0.114879415,9.505758541,1.99E-21,5.00E-20,1404.320731,1411.432091,1313.971595,644.002935,672.0951125,592.1733428
89,SP_0227,21207.775,0.995917067,0.104836912,-9.499679493,2.11E-21,5.24E-20,13965.02243,13768.57865,14517.32229,27358.89213,31448.89032,26187.9442
90,SP_0822,506.194768,-1.371762607,0.144749278,9.476818306,2.62E-21,6.31E-20,714.6899936,841.3340755,653.5460811,284.5594364,297.9269783,245.112043
91,SP_1471,601.7186055,-1.22799204,0.129573237,9.477204295,2.61E-21,6.31E-20,900.1284912,791.1051755,858.2091959,382.4436034,353.0551987,325.3699686
92,SP_1649,7824.292428,1.130263334,0.119258265,-9.477442372,2.61E-21,6.31E-20,5595.230777,4264.433612,4731.329655,10920.23581,10007.53141,11426.9933
93,SP_1472,1872.92825,-1.096737974,0.11742585,9.339834207,9.65E-21,2.30E-19,2751.506357,2631.157213,2313.209155,1274.09883,1191.707913,1075.890029
94,SP_0282,17719.84037,-0.923334686,0.099291007,9.299278073,1.41E-20,3.33E-19,22208.51543,22331.76895,25244.93724,12148.86932,12042.5838,12342.36747
95,SP_1073,4869.034797,1.003660804,0.108017029,-9.291690507,1.52E-20,3.54E-19,3508.295901,3256.507019,2898.820841,6812.845003,6312.767706,6424.972312
96,SP_1600,2834.726297,1.036829846,0.112186358,-9.242031462,2.42E-20,5.58E-19,1779.207207,1847.586373,1902.163067,3370.852572,4034.916556,4073.632006
97,SP_2108,1993.350062,-1.065277766,0.115850506,9.195279338,3.74E-20,8.54E-19,2734.466062,2407.638608,2977.074385,1264.470879,1231.587902,1344.862537
98,SP_1018,605.7659448,-1.215202589,0.132403149,9.178049,4.39E-20,9.92E-19,899.126121,876.4943055,784.2552973,369.6063356,390.5893062,314.5243029
99,SP_0681,8608.109954,-0.95857852,0.104995713,9.129691977,6.87E-20,1.54E-18,12063.52605,11939.40954,10197.89865,5826.514926,5918.659577,5702.650982
100,SP_1180,6516.808268,0.895319554,0.098199606,-9.117343674,7.70E-20,1.71E-18,4547.753858,4671.287703,4395.097395,8708.481549,8780.635274,7997.593827
101,SP_0771,1199.029683,-1.020350164,0.112163258,9.097008939,9.29E-20,2.04E-18,1715.055511,1611.510543,1510.895348,793.2361733,799.9456661,763.5348595
102,SP_RS09410,354.4953675,1.582216248,0.174055266,-9.090309538,9.88E-20,2.14E-18,207.4906433,189.1955234,122.1099257,570.1886451,547.7633814,490.224086
103,SP_0045,1532.346258,1.115961225,0.123487261,-9.037055473,1.61E-19,3.46E-18,1025.424773,1023.832412,828.111679,2055.032622,2294.272321,1967.403743
104,SP_2088,283.9898873,1.417406116,0.156948775,-9.031011032,1.70E-19,3.62E-18,149.3531684,140.6409201,161.6666622,385.6529204,389.4163653,477.2092872
105,SP_1587,1177.306239,1.284111543,0.142619544,-9.003755771,2.18E-19,4.60E-18,693.6402182,700.6931554,625.1684223,1334.00608,1727.741886,1982.587675
106,SP_1582,1889.076401,1.110359491,0.123840205,-8.966066314,3.07E-19,6.42E-18,1121.652318,1045.598269,1387.065564,2665.337729,2490.153445,2624.65108
107,SP_0419,2787.815852,-0.972961883,0.108762284,8.945765441,3.69E-19,7.65E-18,3804.997497,3901.948384,3414.778274,2003.68355,1794.599515,1806.887892
108,SP_0268,2090.826487,-1.0748497,0.120600744,8.912463249,4.99E-19,1.02E-17,2744.489765,2643.714438,3156.799557,1467.192733,1198.745558,1334.016871
109,SP_0271,13158.20964,-1.173073376,0.13164758,8.910709788,5.07E-19,1.03E-17,19113.19607,21397.51141,14457.98719,7999.757389,7827.034355,8153.771412
110,SP_1356,1355.199709,0.979728804,0.110003222,-8.906364625,5.27E-19,1.06E-17,941.2256718,945.1404689,832.4113243,1805.775672,1791.080692,1815.564425
111,SP_RS08485,1530.349007,-0.992363321,0.111575243,8.894117529,5.89E-19,1.18E-17,2058.868509,1896.140976,2170.460932,985.2603042,991.1350262,1080.228296
112,SP_0766,4001.312548,1.06774042,0.120410768,-8.867482831,7.48E-19,1.48E-17,2571.079711,2881.464565,2237.535399,5871.98025,4970.923362,5474.892004
113,SP_0805,475.1345445,-1.219805045,0.137573043,8.866599288,7.54E-19,1.48E-17,651.5406674,610.2811354,743.8386317,286.698981,272.1222794,286.3255723
114,SP_2208,51.15815312,2.705726389,0.305244171,-8.864137774,7.71E-19,1.50E-17,12.02844309,13.39437334,6.879432432,96.27950856,78.58703758,99.78012369
115,SP_0224,22748.78699,0.926286299,0.104885988,-8.831363606,1.03E-18,1.99E-17,15778.31022,14391.41701,16636.18748,27593.70715,30625.48584,31467.61423
116,SP_0896,4589.937495,-1.225296083,0.139278172,8.797473895,1.40E-18,2.67E-17,6996.544397,7429.691463,4978.989223,2919.94354,2618.003998,2596.452349
117,SP_1884,1279.370512,-0.988553975,0.112433773,8.792322374,1.46E-18,2.77E-17,1683.982033,1669.273778,1766.294277,801.7943518,921.9315155,832.9471195
118,SP_1072,6040.530495,0.901519971,0.103071696,-8.746532771,2.20E-18,4.13E-17,4376.348544,4337.265518,3864.521169,8216.386283,7975.997844,7472.663611
119,SP_1154,3788.807329,-0.915516406,0.104833634,8.733040866,2.48E-18,4.61E-17,4582.836817,4927.455093,5388.315452,2616.663088,2644.981638,2572.591885
120,SP_1575,808.4003635,-1.041335667,0.11934246,8.725609206,2.65E-18,4.89E-17,1117.642837,1016.298077,1139.405997,511.3511677,512.5751556,553.1289465
