,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.C
70,SPT_1897,11218.63448,1.589828213,0.09237084,-17.2113646,2.18E-66,6.72E-65,5843.647691,5316.088558,5564.771748,16060.45113,15924.3495,18602.49823
71,SPT_1243,3255.619909,-1.897496337,0.110773927,17.12944907,8.95E-66,2.72E-64,4792.759667,4613.362794,6021.252932,1420.617186,1394.150977,1291.575895
72,SPT_0945,2602.682764,-1.791131169,0.105723343,16.94168114,2.22E-64,6.64E-63,4105.08179,3841.638277,4185.093191,995.3666466,1201.817649,1287.099029
73,SPT_0788,3624.36389,-1.682630688,0.099956208,16.83367861,1.38E-63,4.08E-62,5632.985806,5373.410599,5599.570762,1951.479397,1616.237528,1572.499248
74,SPT_1598,3719.532487,-1.492316773,0.089016983,16.76440522,4.44E-63,1.29E-61,5504.651554,5169.598897,5808.364846,1993.537143,1851.075459,1989.96702
75,SPT_1734,633.307371,2.282910232,0.136365652,-16.74109424,6.58E-63,1.89E-61,215.5046869,237.7803189,186.2770752,952.3742844,972.292793,1235.615068
76,SPT_0860,3901.801368,-1.432663717,0.085917158,16.67494315,1.99E-62,5.65E-61,5970.367676,5515.654183,5611.852767,2012.229474,2130.543224,2170.160884
77,SPT_0191,1479.90302,1.780629743,0.106960983,-16.64746983,3.16E-62,8.83E-61,715.9275555,649.6497998,623.3117518,2182.32969,2149.670295,2558.529026
78,SPT_1401,820.8045169,1.706133129,0.102554559,-16.63634603,3.80E-62,1.05E-60,399.5311612,377.900864,371.5306501,1273.882384,1250.697942,1251.284099
79,SPT_1152,6202.935833,-1.520843427,0.091534827,16.61491565,5.44E-62,1.48E-60,9584.7122,9233.094704,8814.385561,3392.658148,3296.23196,2896.532423
80,SPT_0744,297.5692613,2.419225485,0.145919855,-16.57913853,9.86E-62,2.66E-60,89.59183615,94.47521599,93.13853762,475.7198339,535.5579974,496.9321468
81,SPT_RS06655,629.5909409,-2.102706596,0.127269473,16.52168862,2.56E-61,6.81E-60,903.1825644,1067.888396,1100.262944,223.3733601,264.5911535,218.2472266
82,SPT_1241,1805.297121,-1.892646633,0.114812174,16.48472086,4.72E-61,1.24E-59,3230.956037,2456.355616,2861.707156,811.2471824,698.1381038,773.3786339
83,SPT_2219,784.3671772,1.944248007,0.118038792,-16.47126323,5.90E-61,1.53E-59,349.4888743,338.6246506,274.2981108,1304.724731,1276.200704,1162.865992
84,SPT_1400,2971.866752,1.655569948,0.100622322,-16.45330688,7.94E-61,2.04E-59,1608.617382,1303.545677,1362.27905,4714.205977,4524.614986,4317.937438
85,SPT_0941,4862.079997,-1.631268511,0.099397118,16.41162789,1.58E-60,4.00E-59,7360.251836,6762.939338,7958.739215,2215.04127,2265.495338,2610.012987
86,SPT_1085,372.9613315,-2.312735708,0.142031294,16.28328263,1.30E-59,3.25E-58,626.3357194,676.1877819,565.9957286,128.9770866,132.8268843,107.4447885
87,SPT_1164,1813.22279,-1.607271931,0.098950741,16.24315211,2.50E-59,6.19E-58,2856.446019,2585.860968,2760.380615,971.0666158,821.4014524,884.1810721
88,SPT_1133,1914.158834,-1.494361642,0.09230099,16.19009339,5.92E-59,1.45E-57,2725.690366,2753.581014,3007.044215,983.2166312,1034.987082,980.4336951
89,SPT_1278,2526.030854,-1.422791083,0.088593169,16.05982836,4.88E-58,1.18E-56,3712.814831,3503.013627,3835.056049,1407.532554,1378.211751,1319.556309
90,SPT_1083,789.1331217,-1.983700765,0.12402783,15.99399718,1.41E-57,3.37E-56,1347.106077,1324.776062,1116.638951,353.2850633,318.7845223,274.208054
91,SPT_0119,8785.549382,-1.554000303,0.097934738,15.86771286,1.06E-56,2.51E-55,12538.82139,12123.61171,14710.77144,4490.832617,4167.576321,4681.682816
92,SPT_1277,2765.490842,-1.598629021,0.100865319,15.84914462,1.43E-56,3.34E-55,3874.241563,4424.412362,4194.304694,1394.447922,1484.473259,1221.065253
93,SPT_1590,10948.19165,1.388878664,0.0878887,-15.80269883,2.98E-56,6.91E-55,5641.057143,6096.30523,6368.219573,15341.73099,16882.8283,15359.00867
94,SPT_0747,768.3166184,-1.728783807,0.110315288,15.67129845,2.38E-55,5.45E-54,1281.72825,1144.317785,1120.732953,348.6119805,369.7900458,344.7186964
95,SPT_1248,426.2572101,2.087496422,0.133379165,-15.65084334,3.28E-55,7.44E-54,144.476925,185.7658741,153.525062,731.804774,692.8250284,649.1455972
96,SPT_2190,3064.687526,1.435780903,0.092083488,-15.59216456,8.23E-55,1.85E-53,1707.894822,1509.480417,1728.692198,4470.271052,4304.653666,4667.133001
97,SPT_0280,15748.34392,-1.357074641,0.087352474,15.53561772,1.99E-54,4.42E-53,21605.35378,21980.87975,24443.23687,8963.907519,9140.614869,8356.070739
98,SPT_0069,459.4611543,1.889948919,0.121859775,-15.50921059,3.01E-54,6.61E-53,200.9762811,198.5041055,181.1595732,692.5508781,744.8931671,738.682921
99,SPT_1163,956.6933927,-1.595586601,0.10291969,15.50321997,3.30E-54,7.18E-53,1441.540715,1368.298353,1509.66311,489.7390825,446.2983312,484.6207648
100,SPT_0277,1995.488752,-1.608841775,0.103972336,15.47374853,5.22E-54,1.12E-52,3299.562398,2842.748634,2887.294666,1027.14361,880.9078966,1035.275306
101,SPT_0431,693.0438292,1.623033209,0.106789804,-15.19839112,3.62E-52,7.73E-51,342.2246714,323.7633806,347.9901406,1064.528273,1066.865535,1012.890975
102,SPT_0465,1544.34835,1.508665552,0.099470893,-15.16690466,5.86E-52,1.24E-50,887.0398912,750.4941315,760.4608072,2340.27989,2279.309334,2248.506043
103,SPT_2169,4262.374634,1.233945667,0.081514713,-15.1377049,9.13E-52,1.91E-50,2484.357402,2500.939426,2629.372562,5930.142134,5965.521027,6063.915251
104,SPT_0248,5041.862808,1.197685158,0.079201311,-15.12203699,1.16E-51,2.40E-50,3050.965231,3017.899315,3099.159252,7056.355101,7066.390244,6960.407705
105,SPT_0081,8742.544005,1.384391059,0.091562937,-15.1195572,1.20E-51,2.47E-50,4756.438652,5149.430031,4580.16435,11696.72637,12690.81183,13581.6928
106,SPT_1334,1399.966323,-1.526406983,0.101088137,15.09976372,1.63E-51,3.30E-50,1968.598994,2011.579037,2263.982915,723.3932249,679.0110325,753.2327361
