Gene,Value,padj
Rv0200,-0.09,0.442
Rv0201c,-0.63,0.002
Rv0202c,-0.80,0.000
Rv0203,-1.59,0.008
Rv0206c,-0.85,0.001
Rv0207c,-0.58,0.000
Rv0208c,-1.11,0.000
Rv0211,1.07,0.000
Rv0214,-0.55,0.000
Rv0216,0.04,0.779
Rv0217c,-0.26,0.487
Rv0221,-0.18,0.223
Rv0222,0.19,0.396
Rv0223c,0.34,0.095
Rv0226c,-0.29,0.443
Rv0227c,0.19,0.308
Rv0229c,-0.29,0.035
Rv0230c,0.12,0.438
Rv0231,-0.37,0.017
Rv0233,1.04,0.000
Rv0234c,0.13,0.479
Rv0236A,0.77,0.127
Rv0236c,-0.49,0.019
Rv0237,-0.53,0.003
Rv0238,1.08,0.141
Rv0241c,-0.04,0.932
Rv0242c,0.18,0.294
Rv0243,0.60,0.011
Rv0244c,3.28,0.000
Rv0245,0.83,0.001
Rv0247c,0.04,0.559
Rv0248c,-0.09,0.141
Rv0249c,-0.44,0.282
Rv0250c,-0.50,0.029
Rv0251c,1.08,0.005
Rv0262c,-0.17,0.339
Rv0263c,0.54,0.005
Rv0264c,0.22,0.169
Rv0266c,-0.12,0.505
Rv0267,0.13,0.747
Rv0270,0.28,0.001
Rv0271c,0.47,0.016
Rv0272c,-0.45,0.120
Rv0274,0.96,0.000
Rv0275c,0.53,0.069
Rv0281,0.07,0.519
Rv0282,-0.57,0.004
Rv0283,-1.06,0.001
Rv0284,-0.55,0.006
Rv0286,-0.29,0.115
Rv0287,-1.93,0.000
Rv0289,-0.37,0.007
Rv0290,-0.77,0.001
Rv0291,-0.77,0.000
Rv0292,-0.70,0.000
Rv0293c,0.21,0.569
Rv0295c,-0.67,0.001
Rv0296c,0.10,0.560
Rv0298,-0.36,0.144
Rv0299,-0.51,0.012
Rv0300,0.17,0.351
Rv0301,0.14,0.052
Rv0303,-0.41,0.018
Rv0306,-0.54,0.165
Rv0307c,-0.08,0.805
Rv0308,0.25,0.581
Rv0309,-1.11,0.000
Rv0310c,0.06,0.750
Rv0311,0.90,0.001
Rv0312,-1.63,0.000
Rv0313,-0.25,0.395
Rv0314c,-0.45,0.021
Rv0315,-0.73,0.001
Rv0316,0.13,0.392
Rv0317c,-0.67,0.010
Rv0319,-0.09,0.642
Rv0321,0.31,0.054
Rv0324,0.29,0.120
Rv0328,0.01,0.969
Rv0329c,0.48,0.037
Rv0331,-0.01,0.969
Rv0332,-0.02,0.821
Rv0333,-0.02,0.911
Rv0334,0.05,0.789
Rv0337c,-0.78,0.000
Rv0338c,0.25,0.050
Rv0339c,0.11,0.354
Rv0342,0.12,0.694
Rv0343,-0.60,0.199
Rv0344c,-1.32,0.001
Rv0346c,-0.80,0.050
Rv0347,0.49,0.001
Rv0348,-0.11,0.726
Rv0349,-0.67,0.207
Rv0350,0.19,0.280
Rv0351,0.05,0.777
Rv0352,0.38,0.017
Rv0353,-0.20,0.416
Rv0356c,-0.16,0.222
Rv0357c,0.03,0.637
Rv0360c,-0.33,0.069
Rv0361,-0.20,0.411
Rv0363c,0.36,0.003
Rv0364,-0.48,0.195
Rv0365c,0.20,0.167
Rv0366c,0.32,0.076
Rv0367c,-0.05,0.914
Rv0376c,-0.04,0.872
Rv0379,0.17,0.286
Rv0382c,0.48,0.008
Rv0383c,-0.13,0.254
Rv0384c,-0.19,0.088
Rv0386,0.24,0.464
Rv0389,0.26,0.009
Rv0390,0.38,0.021
Rv0391,0.14,0.484
Rv0392c,-0.31,0.068
Rv0394c,0.28,0.104
Rv0397A,-0.18,0.547
Rv0398c,0.71,0.342
Rv0400c,-0.03,0.802
Rv0404,-0.56,0.030
Rv0405,-1.02,0.003
Rv0406c,-0.10,0.519
Rv0407,0.01,0.927
Rv0408,-0.29,0.022
Rv0409,-0.14,0.326
Rv0410c,-0.04,0.794
Rv0411c,-0.18,0.023
Rv0412c,-0.24,0.115
Rv0413,-0.06,0.759
Rv0414c,0.52,0.006
Rv0415,0.04,0.797
Rv0417,0.10,0.605
Rv0418,-0.47,0.002
Rv0419,0.20,0.319
Rv0420c,-0.29,0.444
Rv0421c,-0.11,0.500
Rv0422c,-0.57,0.102
Rv0423c,-0.06,0.686
Rv0424c,-0.33,0.221
Rv0426c,1.66,0.001
Rv0427c,-0.29,0.081
Rv0428c,-0.15,0.194
Rv0429c,0.00,0.987
Rv0430,-1.22,0.001
Rv0431,-0.22,0.290
Rv0432,-0.25,0.084
Rv0433,-0.17,0.097
Rv0434,-0.67,0.021
Rv0435c,0.16,0.332
Rv0436c,0.77,0.006
Rv0437c,0.00,0.985
Rv0438c,1.22,0.003
Rv0439c,0.14,0.062
Rv0440,-0.11,0.263
Rv0441c,0.50,0.008
Rv0443,0.30,0.003
Rv0444c,-0.02,0.826
Rv0445c,0.22,0.154
Rv0450c,-0.07,0.609
Rv0451c,-0.25,0.112
Rv0452,0.23,0.772
Rv0455c,-0.22,0.169
Rv0456c,-0.13,0.700
Rv0457c,0.36,0.006
Rv0458,0.14,0.594
Rv0461,0.10,0.483
Rv0462,-0.14,0.015
Rv0464c,-0.02,0.880
Rv0465c,-0.58,0.444
Rv0466,0.13,0.060
Rv0467,2.55,0.000
Rv0468,0.29,0.003
Rv0469,0.14,0.029
Rv0470c,-0.25,0.135
Rv0472c,-0.68,0.002
Rv0473,0.45,0.004
Rv0474,0.11,0.191
Rv0475,0.17,0.642
Rv0476,0.14,0.642
Rv0478,-1.59,0.002
Rv0479c,0.00,0.978
Rv0480c,-0.08,0.732
Rv0482,-0.22,0.164
Rv0483,-0.05,0.757
Rv0484c,0.04,0.645
Rv0485,0.54,0.135
Rv0486,0.13,0.521
Rv0487,-2.53,0.006
Rv0489,0.60,0.008
Rv0490,0.19,0.060
Rv0491,0.20,0.339
Rv0492c,1.21,0.000
Rv0493c,-0.32,0.034
Rv0495c,0.01,0.971
Rv0496,-0.04,0.663
Rv0497,-0.64,0.004
Rv0498,0.12,0.795
Rv0500,0.18,0.066
Rv0500A,-0.22,0.395
Rv0501,-0.85,0.000
Rv0502,-0.70,0.000
Rv0503c,-0.43,0.079
Rv0504c,0.26,0.185
Rv0505c,-0.09,0.202
Rv0508,-0.77,0.028
Rv0509,0.43,0.051
Rv0510,-0.18,0.146
Rv0511,-0.43,0.080
Rv0512,-0.11,0.581
Rv0513,-0.91,0.000
Rv0516c,-1.21,0.001
Rv0517,-0.14,0.697
Rv0518,-0.05,0.789
Rv0523c,-0.08,0.691
Rv0524,0.28,0.009
Rv0525,0.17,0.169
Rv0526,-0.17,0.154
Rv0528,-0.54,0.026
Rv0529,-0.32,0.010
Rv0530,-0.15,0.103
Rv0531,-0.05,0.815
Rv0533c,0.35,0.043
Rv0535,-0.66,0.119
Rv0536,-0.08,0.315
Rv0537c,-0.75,0.107
Rv0538,-0.12,0.363
Rv0539,-1.10,0.001
Rv0540,-0.03,0.844
Rv0543c,0.69,0.001
Rv0544c,-1.55,0.001
Rv0546c,0.05,0.779
Rv0547c,-0.05,0.813
Rv0548c,0.16,0.166
Rv0549c,0.26,0.072
Rv0550c,-0.01,0.938
Rv0551c,-0.19,0.120
Rv0552,0.20,0.123
Rv0553,0.21,0.303
Rv0554,0.34,0.076
Rv0555,-0.15,0.187
Rv0556,-0.53,0.293
Rv0558,-0.49,0.094
Rv0559c,-0.70,0.002
Rv0560c,0.15,0.264
Rv0562,0.09,0.345
Rv0563,-0.38,0.084
Rv0564c,-0.08,0.278
Rv0565c,-0.99,0.000
Rv0566c,0.18,0.143
Rv0567,-0.54,0.003
Rv0568,-0.56,0.077
Rv0569,6.71,0.000
Rv0570,1.87,0.000
Rv0571c,2.00,0.000
Rv0572c,1.05,0.011
Rv0573c,1.38,0.000
Rv0574c,1.79,0.000
Rv0575c,1.06,0.005
Rv0576,0.14,0.119
Rv0577,0.37,0.008
Rv0580c,-0.36,0.053
Rv0581,-0.24,0.125
Rv0582,0.51,0.114
Rv0583c,-0.21,0.163
Rv0585c,0.22,0.479
Rv0586,-0.46,0.119
Rv0587,1.29,0.000
Rv0595c,-0.05,0.663
Rv0597c,0.23,0.101
Rv0598c,-0.26,0.031
Rv0599c,-0.56,0.000
Rv0613c,-0.46,0.009
Rv0617,0.14,0.368
Rv0624,0.10,0.512
Rv0626,0.27,0.542
Rv0630c,-0.27,0.034
Rv0631c,-0.04,0.888
Rv0632c,0.16,0.300
Rv0633c,-0.69,0.007
Rv0634A,-0.74,0.001
Rv0634B,-0.53,0.005
Rv0634c,0.24,0.024
Rv0635,-0.17,0.117
Rv0636,-0.35,0.004
Rv0637,-0.34,0.000
Rv0638,-0.42,0.008
Rv0639,0.23,0.062
Rv0640,-0.16,0.113
Rv0641,-0.07,0.469
Rv0642c,-0.52,0.000
Rv0643c,-0.85,0.000
Rv0644c,-0.47,0.008
Rv0645c,0.23,0.090
Rv0646c,-0.37,0.112
Rv0647c,0.07,0.642
Rv0651,-0.16,0.255
Rv0652,-0.37,0.094
Rv0654,0.83,0.000
Rv0655,-0.98,0.000
Rv0660c,-0.77,0.003
Rv0667,-0.40,0.000
Rv0668,-0.77,0.000
Rv0669c,-0.41,0.003
Rv0670,0.78,0.000
Rv0672,0.12,0.154
Rv0673,0.14,0.174
Rv0675,0.45,0.033
Rv0676c,0.26,0.400
Rv0677c,-0.22,0.224
Rv0678,0.16,0.478
Rv0679c,-0.13,0.342
Rv0681,0.17,0.070
Rv0682,0.59,0.270
Rv0683,-0.78,0.029
Rv0684,-0.13,0.077
Rv0685,0.22,0.461
Rv0686,0.24,0.115
Rv0687,0.32,0.014
Rv0688,-0.22,0.089
Rv0690c,-0.20,0.113
Rv0692,-1.17,0.006
Rv0694,-0.05,0.703
Rv0700,-0.14,0.377
Rv0701,-0.14,0.731
Rv0702,-0.45,0.006
Rv0703,-0.15,0.551
Rv0704,1.22,0.078
Rv0705,0.05,0.871
Rv0706,1.11,0.249
Rv0707,-0.49,0.051
Rv0708,-0.19,0.730
Rv0709,-0.17,0.315
Rv0710,-0.15,0.778
Rv0711,0.20,0.322
Rv0712,-0.16,0.483
Rv0713,-0.97,0.000
Rv0714,-0.42,0.005
Rv0715,-0.20,0.120
Rv0716,-0.36,0.122
Rv0717,0.09,0.868
Rv0718,-0.68,0.012
Rv0719,-0.73,0.053
Rv0720,-0.93,0.131
Rv0721,-0.66,0.002
Rv0722,-0.42,0.430
Rv0723,-0.11,0.872
Rv0724,0.44,0.033
Rv0726c,-0.71,0.008
Rv0729,-0.71,0.058
Rv0730,0.22,0.154
Rv0731c,0.36,0.011
Rv0732,-0.17,0.145
Rv0733,0.02,0.830
Rv0734,-0.17,0.342
Rv0738,0.02,0.911
Rv0743c,-0.38,0.319
Rv0748,-1.54,0.012
Rv0751c,0.48,0.002
Rv0752c,0.39,0.010
Rv0753c,0.82,0.000
Rv0756c,0.27,0.402
Rv0757,0.19,0.257
Rv0758,-0.03,0.878
Rv0759c,0.06,0.631
Rv0760c,-1.26,0.000
Rv0761c,-0.37,0.056
Rv0763c,-0.73,0.020
Rv0767c,0.49,0.071
Rv0768,0.22,0.020
Rv0769,-0.13,0.156
Rv0772,-0.65,0.004
Rv0773c,0.10,0.640
Rv0774c,-0.44,0.008
Rv0777,0.00,1.000
Rv0778,-0.52,0.001
Rv0779c,-0.26,0.354
Rv0780,-0.02,0.876
Rv0785,-0.54,0.009
Rv0786c,0.63,0.001
Rv0787,0.62,0.267
Rv0787A,-0.19,0.268
Rv0788,-0.15,0.200
Rv0791c,-0.06,0.672
Rv0792c,-0.47,0.174
Rv0794c,-0.13,0.417
Rv0795,-0.14,0.602
Rv0798c,-0.20,0.105
Rv0799c,-0.35,0.044
Rv0800,0.13,0.458
Rv0801,-0.25,0.246
Rv0802c,-0.30,0.258
Rv0803,-0.18,0.102
Rv0806c,-1.01,0.005
Rv0807,-0.94,0.075
Rv0808,-0.54,0.017
Rv0809,0.12,0.167
Rv0810c,0.70,0.032
Rv0811c,0.22,0.050
Rv0812,-0.84,0.003
Rv0813c,-0.10,0.666
Rv0814c,-0.37,0.001
Rv0815c,0.14,0.106
Rv0817c,-0.03,0.787
Rv0818,-0.11,0.546
Rv0819,-0.22,0.255
Rv0820,-0.26,0.016
Rv0821c,0.54,0.000
Rv0822c,-1.70,0.000
Rv0823c,0.57,0.000
Rv0824c,2.34,0.000
Rv0825c,-0.90,0.000
Rv0830,-0.04,0.733
Rv0831c,0.25,0.052
Rv0839,0.09,0.820
Rv0840c,-0.34,0.011
Rv0844c,0.33,0.014
Rv0845,-0.27,0.189
Rv0846c,0.90,0.000
Rv0852,0.32,0.227
Rv0853c,-0.15,0.364
Rv0854,0.18,0.215
Rv0855,-0.13,0.370
Rv0857,0.93,0.062
Rv0858c,0.07,0.494
Rv0859,1.12,0.000
Rv0860,0.75,0.000
Rv0861c,-0.18,0.198
Rv0862c,-0.47,0.022
Rv0863,-0.03,0.868
Rv0864,0.00,0.983
Rv0865,-0.17,0.725
Rv0866,0.25,0.542
Rv0870c,-1.22,0.009
Rv0871,0.05,0.690
Rv0873,0.41,0.039
Rv0875c,0.33,0.414
Rv0876c,0.31,0.174
Rv0877,0.12,0.369
Rv0880,-0.06,0.835
Rv0881,0.16,0.469
Rv0883c,-0.74,0.000
Rv0884c,0.11,0.589
Rv0885,1.17,0.001
Rv0886,-0.34,0.438
Rv0887c,0.69,0.004
Rv0888,-0.35,0.014
Rv0889c,0.38,0.087
Rv0890c,-0.89,0.001
Rv0896,0.14,0.260
Rv0898c,0.15,0.627
Rv0899,-0.11,0.205
Rv0901,-0.17,0.483
Rv0902c,0.25,0.006
Rv0903c,0.12,0.505
Rv0904c,-0.20,0.397
Rv0905,0.18,0.235
Rv0906,0.42,0.016
Rv0908,0.62,0.021
Rv0909,-1.73,0.000
Rv0910,-0.17,0.293
Rv0911,-0.07,0.525
Rv0913c,0.51,0.006
Rv0914c,0.02,0.903
Rv0920c,-0.28,0.080
Rv0923c,-0.54,0.093
Rv0925c,-0.15,0.146
Rv0926c,-0.22,0.173
Rv0927c,-0.18,0.215
Rv0928,-0.18,0.138
Rv0931c,0.25,0.007
Rv0932c,-0.12,0.261
Rv0933,-0.71,0.003
Rv0934,-0.58,0.005
Rv0936,-0.22,0.243
Rv0937c,0.19,0.118
Rv0938,-0.18,0.207
Rv0939,0.66,0.003
Rv0940c,0.26,0.058
Rv0941c,-0.52,0.002
Rv0945,-0.39,0.427
Rv0946c,0.26,0.037
Rv0948c,-1.33,0.002
Rv0949,-0.46,0.015
Rv0951,-0.04,0.697
Rv0952,0.17,0.057
Rv0953c,0.09,0.563
Rv0954,-0.09,0.439
Rv0956,-0.51,0.013
Rv0957,-0.32,0.015
Rv0958,-0.15,0.309
Rv0959,-0.22,0.146
Rv0959A,-1.30,0.001
Rv0960,-0.50,0.072
Rv0966c,-0.99,0.004
Rv0967,1.63,0.001
Rv0968,0.37,0.017
Rv0969,0.49,0.013
Rv0971c,0.97,0.000
Rv0972c,1.08,0.000
Rv0973c,0.46,0.003
Rv0974c,0.85,0.000
Rv0975c,0.55,0.017
Rv0979A,0.80,0.151
Rv0981,0.26,0.012
Rv0982,0.14,0.129
Rv0983,-0.49,0.000
Rv0984,0.14,0.213
Rv0985c,-0.41,0.093
Rv0986,-0.09,0.522
Rv0987,0.31,0.246
Rv0988,-0.66,0.024
Rv0989c,0.02,0.929
Rv0991c,-1.41,0.004
Rv0992c,-0.49,0.054
Rv0993,-0.67,0.001
Rv0994,-0.59,0.003
Rv0998,0.48,0.004
Rv0999,-0.46,0.002
Rv1001,-0.02,0.730
Rv1003,-0.09,0.574
Rv1004c,-2.93,0.000
Rv1006,0.11,0.303
Rv1007c,0.08,0.234
Rv1008,-0.27,0.004
Rv1010,-0.06,0.699
Rv1011,0.08,0.551
Rv1013,-0.47,0.003
Rv1014c,-0.25,0.206
Rv1015c,-0.23,0.021
Rv1017c,-0.73,0.000
Rv1018c,-0.20,0.131
Rv1019,1.00,0.001
Rv1020,0.10,0.541
Rv1021,0.04,0.691
Rv1022,-0.66,0.055
Rv1023,-0.11,0.077
Rv1025,0.17,0.371
Rv1026,-0.32,0.121
Rv1027c,0.34,0.139
Rv1031,0.25,0.532
Rv1033c,-0.66,0.008
Rv1035c,-0.76,0.146
Rv1045,0.15,0.462
Rv1050,-0.28,0.437
Rv1056,0.23,0.034
Rv1058,0.01,0.971
Rv1059,-0.10,0.421
Rv1060,-0.13,0.268
Rv1061,0.91,0.004
Rv1062,0.14,0.643
Rv1063c,0.45,0.012
Rv1066,0.14,0.642
Rv1069c,0.10,0.520
Rv1070c,0.10,0.254
Rv1071c,-0.22,0.044
Rv1072,0.23,0.265
Rv1074c,0.10,0.453
Rv1077,0.30,0.027
Rv1078,0.00,1.000
Rv1079,-0.08,0.521
Rv1080c,-0.35,0.084
Rv1082,0.54,0.002
Rv1084,0.27,0.007
Rv1085c,-3.07,0.000
Rv1086,0.71,0.002
Rv1092c,-0.21,0.024
Rv1093,0.34,0.002
Rv1094,2.26,0.000
Rv1095,1.24,0.001
Rv1096,-0.80,0.000
Rv1097c,-0.22,0.166
Rv1098c,-0.35,0.011
Rv1099c,0.07,0.503
Rv1100,0.06,0.562
Rv1101c,-0.09,0.489
Rv1103c,-0.25,0.371
Rv1106c,-0.21,0.174
Rv1107c,-1.58,0.021
Rv1108c,-0.50,0.037
Rv1109c,-0.28,0.230
Rv1110,0.64,0.009
Rv1111c,-0.92,0.003
Rv1112,0.01,0.969
Rv1113,-0.19,0.220
Rv1117,-0.25,0.196
Rv1118c,-0.34,0.021
Rv1121,0.08,0.589
Rv1122,0.08,0.344
Rv1123c,-1.87,0.002
Rv1124,0.06,0.680
Rv1126c,0.18,0.141
Rv1127c,0.44,0.020
Rv1129c,0.47,0.086
Rv1130,0.36,0.166
Rv1131,0.40,0.285
Rv1132,0.17,0.034
Rv1133c,-0.47,0.000
Rv1140,-0.01,0.942
Rv1141c,-0.28,0.015
Rv1142c,-0.63,0.002
Rv1143,-0.63,0.070
Rv1144,-0.06,0.540
Rv1151c,0.14,0.397
Rv1152,0.17,0.537
Rv1155,0.46,0.117
Rv1156,0.29,0.188
Rv1157c,-1.29,0.000
Rv1159A,0.54,0.003
Rv1160,-0.58,0.181
Rv1161,0.21,0.138
Rv1162,0.11,0.488
Rv1165,-0.16,0.102
Rv1166,-0.06,0.559
Rv1167c,-0.76,0.000
Rv1170,-0.21,0.113
Rv1173,0.10,0.642
Rv1174c,0.13,0.894
Rv1175c,-1.22,0.001
Rv1177,0.84,0.006
Rv1178,0.77,0.000
Rv1179c,0.11,0.428
Rv1180,-0.30,0.342
Rv1181,-0.25,0.202
Rv1182,-0.73,0.001
Rv1184c,-0.69,0.027
Rv1185c,-0.71,0.000
Rv1187,0.79,0.004
Rv1188,0.23,0.310
Rv1191,-0.32,0.035
Rv1192,-0.49,0.101
Rv1193,-0.26,0.006
Rv1194c,0.88,0.005
Rv1196,-0.45,0.100
Rv1198,-3.21,0.000
Rv1201c,-0.09,0.261
Rv1202,0.04,0.521
Rv1204c,-0.40,0.094
Rv1206,-0.49,0.031
Rv1207,-0.59,0.000
Rv1208,-0.46,0.169
Rv1209,-0.65,0.071
Rv1210,-0.33,0.166
Rv1211,-0.45,0.024
Rv1213,0.72,0.008
Rv1215c,-0.16,0.370
Rv1216c,0.03,0.879
Rv1218c,0.51,0.000
Rv1219c,0.53,0.344
Rv1220c,0.29,0.018
Rv1221,0.47,0.003
Rv1222,-0.41,0.326
Rv1223,-0.16,0.180
Rv1224,0.12,0.824
Rv1225c,0.37,0.017
Rv1226c,-0.20,0.102
Rv1229c,0.07,0.429
Rv1230c,-1.23,0.000
Rv1231c,-0.08,0.484
Rv1232c,0.00,0.999
Rv1234,0.16,0.133
Rv1235,-0.30,0.002
Rv1237,-0.32,0.754
Rv1238,-0.31,0.006
Rv1239c,0.06,0.703
Rv1240,0.14,0.263
Rv1241,-0.63,0.005
Rv1242,-0.36,0.182
Rv1244,-0.94,0.000
Rv1245c,0.45,0.017
Rv1247c,0.43,0.012
Rv1248c,-0.37,0.003
Rv1249c,0.95,0.009
Rv1251c,-1.15,0.001
Rv1252c,-1.15,0.003
Rv1253,0.03,0.947
Rv1257c,-0.01,0.971
Rv1259,0.20,0.705
Rv1260,0.00,0.992
Rv1261c,-0.69,0.039
Rv1263,0.04,0.821
Rv1264,0.90,0.004
Rv1265,0.45,0.008
Rv1266c,-0.02,0.839
Rv1267c,0.02,0.851
Rv1269c,-0.23,0.487
Rv1270c,-0.44,0.036
Rv1273c,-0.87,0.077
Rv1274,-0.42,0.088
Rv1275,-0.10,0.339
Rv1276c,-0.06,0.609
Rv1277,0.10,0.711
Rv1278,-0.38,0.253
Rv1279,0.19,0.450
Rv1280c,0.20,0.293
Rv1281c,0.05,0.569
Rv1284,1.33,0.000
Rv1285,0.29,0.003
Rv1286,-0.23,0.172
Rv1287,0.10,0.603
Rv1288,0.24,0.088
Rv1290c,0.25,0.339
Rv1292,0.26,0.010
Rv1293,0.07,0.462
Rv1294,0.10,0.278
Rv1295,0.19,0.066
Rv1296,0.05,0.538
Rv1297,-0.84,0.002
Rv1298,-0.71,0.001
Rv1299,-0.13,0.194
Rv1301,-0.03,0.837
Rv1302,-0.42,0.213
Rv1303,0.66,0.091
Rv1304,0.26,0.169
Rv1306,0.23,0.065
Rv1307,0.11,0.608
Rv1308,0.23,0.011
Rv1309,-0.24,0.023
Rv1310,0.21,0.036
Rv1311,-0.38,0.175
Rv1312,0.75,0.005
Rv1314c,0.32,0.013
Rv1315,-0.08,0.517
Rv1316c,0.56,0.027
Rv1320c,-0.47,0.099
Rv1322A,-0.36,0.067
Rv1323,0.42,0.001
Rv1324,0.37,0.019
Rv1326c,0.64,0.007
Rv1327c,0.45,0.002
Rv1328,-0.17,0.011
Rv1329c,0.01,0.981
Rv1330c,0.16,0.393
Rv1331,0.04,0.837
Rv1332,0.05,0.623
Rv1333,-0.17,0.129
Rv1334,-0.30,0.024
Rv1335,-1.16,0.000
Rv1336,0.04,0.496
Rv1338,-0.20,0.007
Rv1339,0.47,0.020
Rv1340,-0.09,0.363
Rv1341,0.11,0.416
Rv1342c,1.33,0.058
Rv1345,-0.51,0.005
Rv1350,-0.01,0.971
Rv1352,-0.52,0.244
Rv1360,-0.36,0.076
Rv1362c,-0.35,0.220
Rv1363c,0.14,0.320
Rv1364c,-0.27,0.053
Rv1366A,-0.10,0.673
Rv1367c,-0.10,0.532
Rv1368,-0.69,0.001
Rv1377c,0.27,0.052
Rv1379,0.01,0.911
Rv1380,0.07,0.442
Rv1381,0.16,0.203
Rv1382,-0.44,0.059
Rv1383,0.16,0.254
Rv1384,-0.09,0.697
Rv1385,-0.27,0.008
Rv1386,-1.10,0.013
Rv1387,-1.19,0.001
Rv1388,-0.23,0.113
Rv1389,-0.78,0.052
Rv1390,-0.85,0.013
Rv1391,0.84,0.002
Rv1392,-0.04,0.590
Rv1397c,-0.25,0.293
Rv1398c,0.12,0.584
Rv1399c,0.07,0.197
Rv1400c,-0.34,0.000
Rv1404,0.39,0.006
Rv1405c,1.22,0.001
Rv1406,0.20,0.034
Rv1407,0.04,0.767
Rv1408,0.96,0.003
Rv1409,0.20,0.126
Rv1410c,0.04,0.802
Rv1411c,-0.09,0.522
Rv1412,0.26,0.077
Rv1415,0.13,0.060
Rv1416,0.45,0.000
Rv1417,0.07,0.872
Rv1419,0.24,0.280
Rv1420,0.30,0.404
Rv1421,0.09,0.321
Rv1422,-0.42,0.007
Rv1423,-0.11,0.519
Rv1424c,-0.03,0.868
Rv1425,0.43,0.010
Rv1426c,0.02,0.885
Rv1427c,-0.43,0.002
Rv1428c,-0.15,0.123
