Gene,Value,padj
Rv2953,-0.58,0.020
Rv2954c,-0.92,0.003
Rv2955c,-0.24,0.005
Rv2956,-0.35,0.138
Rv2957,-0.14,0.506
Rv2958c,-0.40,0.479
Rv2959c,0.09,0.666
Rv2962c,-0.41,0.142
Rv2964,0.18,0.417
Rv2965c,0.15,0.330
Rv2966c,-0.78,0.045
Rv2967c,-0.33,0.045
Rv2969c,-0.17,0.139
Rv2970c,-0.16,0.292
Rv2971,0.08,0.609
Rv2976c,-0.25,0.030
Rv2977c,-0.01,0.966
Rv2980,-0.21,0.324
Rv2981c,-0.09,0.429
Rv2982c,0.11,0.417
Rv2983,0.26,0.049
Rv2984,-0.15,0.110
Rv2985,-0.07,0.754
Rv2986c,0.63,0.547
Rv2987c,-0.40,0.040
Rv2988c,-0.29,0.011
Rv2989,-0.33,0.153
Rv2991,0.04,0.715
Rv2992c,-0.03,0.718
Rv2993c,-0.18,0.425
Rv2994,-0.39,0.272
Rv2995c,0.46,0.003
Rv2996c,0.60,0.001
Rv2999,-0.27,0.124
Rv3000,-0.09,0.815
Rv3001c,-0.11,0.201
Rv3002c,-0.33,0.134
Rv3003c,-0.27,0.097
Rv3005c,-0.29,0.325
Rv3006,0.04,0.800
Rv3009c,-0.07,0.571
Rv3010c,0.10,0.318
Rv3011c,-0.06,0.534
Rv3012c,-0.37,0.180
Rv3013,0.19,0.033
Rv3014c,-0.12,0.383
Rv3015c,0.12,0.480
Rv3024c,-0.78,0.249
Rv3025c,-0.15,0.210
Rv3028c,0.44,0.018
Rv3029c,0.15,0.288
Rv3030,-0.82,0.173
Rv3031,0.13,0.655
Rv3032A,0.04,0.887
Rv3033,-0.09,0.361
Rv3034c,-0.40,0.112
Rv3035,0.06,0.560
Rv3036c,0.04,0.864
Rv3038c,-1.62,0.000
Rv3039c,-0.06,0.730
Rv3040c,0.04,0.760
Rv3041c,-0.16,0.124
Rv3042c,-0.06,0.725
Rv3043c,-0.35,0.033
Rv3044,-0.16,0.213
Rv3045,0.20,0.237
Rv3046c,0.20,0.324
Rv3048c,0.57,0.031
Rv3049c,-1.15,0.001
Rv3050c,0.03,0.838
Rv3051c,0.16,0.146
Rv3052c,-0.86,0.004
Rv3053c,0.10,0.918
Rv3054c,-0.27,0.356
Rv3055,0.33,0.167
Rv3057c,0.16,0.778
Rv3058c,-0.18,0.307
Rv3059,0.60,0.001
Rv3061c,0.19,0.024
Rv3062,0.40,0.554
Rv3068c,0.02,0.924
Rv3071,-0.66,0.035
Rv3075c,0.22,0.064
Rv3076,-0.24,0.510
Rv3077,-0.90,0.003
Rv3079c,0.19,0.066
Rv3080c,0.51,0.034
Rv3084,0.38,0.126
Rv3085,0.08,0.714
Rv3086,0.98,0.005
Rv3087,1.04,0.002
Rv3088,0.63,0.030
Rv3089,0.40,0.060
Rv3090,-0.25,0.135
Rv3091,-0.09,0.393
Rv3092c,0.19,0.483
Rv3093c,0.38,0.036
Rv3094c,0.76,0.031
Rv3095,0.15,0.684
Rv3098A,0.13,0.759
Rv3099c,0.19,0.042
Rv3101c,-0.07,0.809
Rv3102c,-0.25,0.038
Rv3104c,-0.28,0.070
Rv3105c,0.16,0.165
Rv3106,-0.14,0.337
Rv3107c,-0.19,0.095
Rv3116,-0.29,0.076
Rv3119,-0.64,0.000
Rv3120,-0.71,0.002
Rv3121,-0.82,0.000
Rv3127,5.40,0.000
Rv3130c,3.54,0.000
Rv3131,4.00,0.000
Rv3132c,2.16,0.000
Rv3133c,3.80,0.000
Rv3134c,3.74,0.000
Rv3136,0.36,0.231
Rv3137,0.23,0.089
Rv3139,0.41,0.236
Rv3140,1.18,0.000
Rv3141,0.12,0.282
Rv3142c,-0.09,0.711
Rv3143,-0.18,0.338
Rv3144c,-1.34,0.004
Rv3145,-0.62,0.002
Rv3146,-0.46,0.009
Rv3147,-0.12,0.337
Rv3148,-0.46,0.003
Rv3149,-0.36,0.012
Rv3150,-0.11,0.461
Rv3151,-0.25,0.082
Rv3152,0.08,0.900
Rv3153,-0.33,0.086
Rv3154,-0.60,0.044
Rv3156,-0.87,0.003
Rv3157,-0.40,0.009
Rv3158,-0.28,0.094
Rv3160c,-0.35,0.360
Rv3161c,0.76,0.036
Rv3168,-0.12,0.279
Rv3169,-0.06,0.819
Rv3173c,-0.30,0.068
Rv3181c,-0.10,0.614
Rv3182,0.45,0.425
Rv3188,0.30,0.190
Rv3190A,-0.55,0.066
Rv3190c,-0.52,0.094
Rv3193c,-0.14,0.366
Rv3194c,-0.34,0.063
Rv3196,2.88,0.000
Rv3196A,-0.11,0.791
Rv3197,-0.02,0.915
Rv3198A,-1.18,0.000
Rv3198c,-0.54,0.026
Rv3199c,-0.42,0.147
Rv3200c,-0.01,0.911
Rv3203,-0.17,0.231
Rv3205c,0.30,0.008
Rv3206c,0.13,0.245
Rv3207c,-0.48,0.021
Rv3208,-0.35,0.057
Rv3208A,-0.08,0.686
Rv3210c,0.00,0.986
Rv3211,-0.32,0.149
Rv3212,-0.02,0.911
Rv3213c,-0.68,0.006
Rv3214,-0.08,0.591
Rv3215,-0.18,0.271
Rv3218,-0.06,0.782
Rv3220c,-0.28,0.084
Rv3221A,-0.08,0.712
Rv3223c,-0.08,0.318
Rv3224,0.15,0.343
Rv3225c,-0.56,0.010
Rv3226c,-0.22,0.190
Rv3227,-0.12,0.156
Rv3228,-0.18,0.187
Rv3231c,0.01,0.946
Rv3232c,-0.39,0.022
Rv3237c,0.09,0.686
Rv3240c,0.25,0.050
Rv3241c,1.08,0.000
Rv3244c,0.02,0.951
Rv3245c,0.08,0.556
Rv3246c,0.75,0.002
Rv3247c,0.03,0.845
Rv3248c,0.41,0.006
Rv3249c,-0.43,0.057
Rv3250c,-0.79,0.009
Rv3252c,0.24,0.392
Rv3254,-0.02,0.946
Rv3255c,0.25,0.206
Rv3256c,-0.06,0.706
Rv3257c,0.11,0.275
Rv3259,0.29,0.366
Rv3260c,-0.58,0.045
Rv3261,0.16,0.236
Rv3262,-0.10,0.256
Rv3264c,0.11,0.082
Rv3265c,0.24,0.261
Rv3266c,0.04,0.930
Rv3267,-0.92,0.000
Rv3268,0.03,0.947
Rv3269,0.51,0.122
Rv3270,0.07,0.558
Rv3272,-0.45,0.028
Rv3273,-0.40,0.003
Rv3274c,0.11,0.601
Rv3275c,0.34,0.223
Rv3276c,0.06,0.576
Rv3278c,-0.19,0.303
Rv3279c,-0.24,0.314
Rv3280,-0.22,0.125
Rv3281,-0.33,0.047
Rv3282,-0.01,0.982
Rv3283,0.23,0.098
Rv3284,-0.04,0.836
Rv3285,-0.11,0.190
Rv3286c,-0.34,0.563
Rv3287c,0.40,0.096
Rv3288c,0.53,0.021
Rv3290c,2.33,0.000
Rv3291c,0.16,0.166
Rv3292,0.04,0.666
Rv3293,0.19,0.330
Rv3295,0.02,0.933
Rv3296,-0.23,0.465
Rv3299c,-0.42,0.018
Rv3301c,-0.01,0.952
Rv3302c,-0.31,0.001
Rv3303c,-0.57,0.001
Rv3304,0.03,0.872
Rv3305c,-0.11,0.279
Rv3306c,0.19,0.336
Rv3307,-0.02,0.932
Rv3309c,0.36,0.013
Rv3310,0.29,0.007
Rv3311,0.17,0.226
Rv3312A,0.12,0.859
Rv3313c,-0.01,0.947
Rv3314c,0.07,0.778
Rv3315c,-0.03,0.895
Rv3317,0.02,0.979
Rv3318,0.14,0.108
Rv3319,-0.03,0.857
Rv3321c,0.15,0.637
Rv3328c,-0.07,0.729
Rv3329,-0.01,0.979
Rv3330,-0.51,0.001
Rv3334,0.15,0.310
Rv3336c,0.15,0.312
Rv3339c,0.17,0.195
Rv3340,0.78,0.000
Rv3341,0.06,0.845
Rv3342,0.16,0.472
Rv3354,-0.58,0.166
Rv3356c,0.20,0.048
Rv3357,0.56,0.237
Rv3359,0.09,0.858
Rv3360,0.01,0.926
Rv3362c,-0.46,0.265
Rv3364c,-0.46,0.105
Rv3365c,-0.67,0.000
Rv3368c,-0.06,0.640
Rv3369,0.30,0.040
Rv3372,0.00,0.998
Rv3373,-1.04,0.001
Rv3376,-0.18,0.347
Rv3377c,0.14,0.430
Rv3382c,-0.66,0.343
Rv3384c,-0.65,0.034
Rv3385c,-0.26,0.359
Rv3389c,-0.28,0.052
Rv3390,-0.77,0.002
Rv3392c,0.35,0.060
Rv3393,-0.03,0.926
Rv3396c,0.06,0.640
Rv3399,-0.14,0.091
Rv3400,0.21,0.044
Rv3401,-0.23,0.028
Rv3404c,0.10,0.221
Rv3406,-0.01,0.984
Rv3407,0.07,0.787
Rv3408,0.09,0.757
Rv3409c,-0.15,0.582
Rv3410c,0.18,0.225
Rv3411c,0.54,0.000
Rv3412,-0.34,0.265
Rv3417c,0.54,0.001
Rv3418c,0.39,0.136
Rv3419c,-0.10,0.624
Rv3422c,-0.01,0.945
Rv3423c,0.23,0.164
Rv3432c,-0.06,0.795
Rv3433c,0.03,0.817
Rv3435c,-0.56,0.090
Rv3436c,-0.27,0.066
Rv3437,-0.18,0.417
Rv3438,-0.51,0.021
Rv3441c,-0.45,0.007
Rv3442c,-0.35,0.343
Rv3443c,-0.90,0.047
Rv3446c,-0.07,0.832
Rv3449,0.10,0.601
Rv3455c,-0.97,0.001
Rv3456c,-0.15,0.586
Rv3457c,0.03,0.814
Rv3458c,-0.39,0.168
Rv3459c,0.04,0.890
Rv3460c,0.32,0.634
Rv3461c,-0.33,0.139
Rv3462c,-0.23,0.097
Rv3463,-0.06,0.822
Rv3464,-0.02,0.887
Rv3465,0.16,0.394
Rv3472,-0.19,0.392
Rv3477,-1.36,0.001
Rv3478,-0.67,0.109
Rv3480c,-0.42,0.004
Rv3482c,-0.19,0.188
Rv3483c,-0.04,0.964
Rv3484,0.08,0.661
Rv3485c,-0.17,0.054
Rv3487c,-1.12,0.000
Rv3488,0.11,0.650
Rv3489,-0.30,0.137
Rv3490,-0.19,0.373
Rv3492c,-0.38,0.054
Rv3493c,-0.42,0.058
Rv3494c,-0.38,0.036
Rv3496c,-0.32,0.016
Rv3497c,-0.33,0.052
Rv3498c,-0.12,0.569
Rv3499c,-0.52,0.003
Rv3502c,0.15,0.119
Rv3503c,0.46,0.071
Rv3504,0.39,0.083
Rv3505,0.42,0.081
Rv3509c,0.03,0.800
Rv3510c,0.08,0.546
Rv3515c,0.00,0.976
Rv3516,0.53,0.007
Rv3517,-0.31,0.193
Rv3518c,-0.06,0.703
Rv3519,-0.80,0.005
Rv3520c,0.10,0.293
Rv3524,-0.70,0.018
Rv3525c,0.23,0.306
Rv3526,0.59,0.002
Rv3528c,-0.58,0.013
Rv3534c,0.60,0.003
Rv3535c,0.47,0.004
Rv3536c,0.47,0.003
Rv3537,0.24,0.103
Rv3538,0.56,0.046
Rv3542c,0.06,0.778
Rv3544c,0.26,0.166
Rv3545c,-0.34,0.020
Rv3546,0.18,0.097
Rv3547,0.26,0.154
Rv3548c,0.67,0.013
Rv3550,0.02,0.926
Rv3552,0.55,0.221
Rv3554,-0.75,0.004
Rv3556c,0.18,0.088
Rv3560c,-0.21,0.399
Rv3561,0.00,0.994
Rv3562,0.42,0.048
Rv3563,-0.03,0.857
Rv3564,0.25,0.124
Rv3565,0.21,0.137
Rv3566c,-0.01,0.971
Rv3568c,-0.24,0.191
Rv3569c,0.20,0.063
Rv3570c,0.03,0.751
Rv3572,-0.26,0.343
Rv3573c,-0.46,0.118
Rv3574,0.24,0.206
Rv3575c,-0.26,0.092
Rv3576,-0.27,0.073
Rv3579c,0.39,0.528
Rv3580c,-0.09,0.240
Rv3581c,0.14,0.728
Rv3582c,0.26,0.167
Rv3583c,0.53,0.046
Rv3584,-0.18,0.366
Rv3585,-0.28,0.465
Rv3586,0.00,0.975
Rv3587c,-0.18,0.191
Rv3588c,-0.32,0.236
Rv3589,-0.33,0.102
Rv3591c,-0.18,0.221
Rv3592,0.02,0.936
Rv3593,-1.23,0.009
Rv3596c,-0.08,0.568
Rv3597c,0.64,0.024
Rv3598c,-0.22,0.119
Rv3600c,0.08,0.576
Rv3602c,-0.43,0.048
Rv3603c,-0.14,0.287
Rv3604c,0.06,0.753
Rv3605c,-0.16,0.425
Rv3606c,-0.38,0.545
Rv3607c,-0.45,0.081
Rv3608c,0.11,0.425
Rv3609c,0.02,0.928
Rv3610c,0.17,0.363
Rv3614c,0.35,0.164
Rv3615c,1.19,0.001
Rv3616c,0.54,0.060
Rv3617,0.36,0.023
Rv3618,0.56,0.006
Rv3623,-0.15,0.463
Rv3624c,-0.15,0.244
Rv3625c,-0.06,0.709
Rv3626c,0.30,0.180
Rv3627c,-0.19,0.180
Rv3628,0.20,0.202
Rv3632,-0.87,0.000
Rv3633,-0.39,0.063
Rv3634c,0.11,0.276
Rv3644c,-0.02,0.895
Rv3645,-0.11,0.286
Rv3646c,-0.31,0.030
Rv3647c,-0.16,0.135
Rv3648c,0.10,0.787
Rv3651,0.08,0.773
Rv3661,-0.54,0.053
Rv3662c,-0.11,0.699
Rv3666c,-0.32,0.130
Rv3667,0.11,0.450
Rv3668c,0.01,0.986
Rv3669,-0.12,0.360
Rv3671c,-0.16,0.318
Rv3672c,-0.37,0.035
Rv3673c,-0.58,0.011
Rv3674c,-0.40,0.030
Rv3676,0.00,0.990
Rv3677c,-0.24,0.053
Rv3678A,-0.30,0.067
Rv3678c,0.03,0.868
Rv3679,-0.28,0.102
Rv3680,-0.16,0.188
Rv3682,-0.33,0.004
Rv3683,-0.48,0.058
Rv3684,-0.21,0.236
Rv3685c,0.12,0.686
Rv3687c,0.07,0.814
Rv3688c,0.05,0.818
Rv3690,0.04,0.807
Rv3691,-0.46,0.019
Rv3692,0.02,0.791
Rv3693,-0.40,0.011
Rv3694c,-0.54,0.154
Rv3695,-0.21,0.234
Rv3696c,-0.17,0.088
Rv3699,0.31,0.044
Rv3700c,-0.10,0.338
Rv3701c,-0.28,0.359
Rv3702c,-0.81,0.314
Rv3704c,-0.33,0.033
Rv3707c,-0.28,0.060
Rv3708c,0.17,0.216
Rv3709c,-0.04,0.739
Rv3710,0.32,0.001
Rv3711c,-0.83,0.001
Rv3712,-1.37,0.044
Rv3713,0.22,0.091
Rv3714c,-0.65,0.025
Rv3715c,-0.61,0.012
Rv3716c,-0.20,0.173
Rv3717,-0.61,0.113
Rv3718c,-0.13,0.325
Rv3719,-0.08,0.464
Rv3720,0.11,0.436
Rv3721c,-0.18,0.193
Rv3722c,-0.20,0.191
Rv3723,0.70,0.030
Rv3726,-0.13,0.328
Rv3729,1.47,0.005
Rv3730c,-0.55,0.050
Rv3731,0.07,0.586
Rv3732,-0.17,0.314
Rv3734c,0.19,0.315
Rv3747,0.33,0.338
Rv3754,0.07,0.500
Rv3755c,0.26,0.097
Rv3758c,0.18,0.118
Rv3759c,-0.25,0.373
Rv3761c,-0.22,0.021
Rv3762c,-0.12,0.437
Rv3763,-0.51,0.108
Rv3764c,-0.03,0.908
Rv3765c,0.29,0.218
Rv3766,0.14,0.568
Rv3767c,0.18,0.038
Rv3768,0.06,0.806
Rv3772,-0.06,0.445
Rv3773c,0.04,0.894
Rv3774,0.02,0.939
Rv3775,-0.18,0.580
Rv3777,-0.33,0.138
Rv3778c,-0.04,0.666
Rv3779,0.15,0.462
Rv3780,0.31,0.060
Rv3781,-0.27,0.021
Rv3782,-0.15,0.319
Rv3784,-0.26,0.545
Rv3786c,0.14,0.578
Rv3788,0.06,0.761
Rv3790,-0.33,0.010
Rv3791,-0.34,0.013
Rv3792,-0.20,0.506
Rv3793,-0.24,0.086
Rv3794,-0.20,0.279
Rv3795,-0.12,0.432
Rv3796,-0.22,0.166
Rv3797,0.06,0.845
Rv3799c,-0.43,0.002
Rv3800c,-0.21,0.064
Rv3801c,-0.52,0.011
Rv3802c,-0.37,0.096
Rv3803c,-0.28,0.274
Rv3804c,-0.55,0.028
Rv3805c,-0.42,0.043
Rv3806c,0.15,0.769
Rv3807c,-0.18,0.433
Rv3808c,-0.39,0.003
Rv3809c,-0.15,0.172
Rv3813c,0.03,0.837
Rv3814c,-0.70,0.072
Rv3815c,0.05,0.903
Rv3816c,-0.70,0.034
Rv3817,-0.57,0.037
Rv3818,0.09,0.181
Rv3819,-0.47,0.156
Rv3820c,-0.75,0.021
Rv3824c,-1.21,0.000
Rv3825c,-0.68,0.001
Rv3826,-0.15,0.359
Rv3834c,0.13,0.265
Rv3835,-0.44,0.009
Rv3836,-0.27,0.139
Rv3837c,-0.28,0.192
Rv3838c,0.02,0.850
Rv3841,1.66,0.000
Rv3842c,-0.70,0.003
Rv3843c,-0.33,0.190
Rv3846,0.02,0.933
Rv3849,-0.06,0.786
Rv3850,0.55,0.138
Rv3852,-0.70,0.050
Rv3853,-0.12,0.373
Rv3854c,0.62,0.005
Rv3855,0.91,0.002
Rv3856c,0.12,0.180
Rv3858c,-0.28,0.237
Rv3859c,-0.52,0.039
Rv3863,0.07,0.653
Rv3864,0.18,0.310
Rv3865,-0.13,0.325
Rv3866,0.20,0.482
Rv3867,0.09,0.871
Rv3868,0.10,0.639
Rv3869,0.05,0.821
Rv3870,0.23,0.279
Rv3871,0.02,0.925
Rv3872,-1.04,0.022
Rv3873,-0.18,0.363
Rv3874,1.29,0.001
Rv3875,0.74,0.001
Rv3876,0.57,0.035
Rv3877,-0.34,0.240
Rv3878,-0.08,0.600
Rv3879c,0.00,0.971
Rv3880c,0.03,0.905
Rv3881c,0.06,0.206
Rv3882c,-0.33,0.153
Rv3883c,-0.05,0.849
Rv3885c,-0.60,0.007
Rv3886c,-0.13,0.267
Rv3888c,-0.41,0.001
Rv3890c,-0.89,0.004
Rv3891c,-0.62,0.091
Rv3894c,-0.43,0.211
Rv3895c,-0.29,0.198
Rv3898c,-1.34,0.003
Rv3902c,0.08,0.579
Rv3907c,-0.14,0.189
Rv3908,0.31,0.395
Rv3909,-0.10,0.429
Rv3910,0.07,0.703
Rv3913,0.00,0.993
Rv3914,0.12,0.270
Rv3915,-0.49,0.002
Rv3916c,0.43,0.016
Rv3917c,-0.43,0.040
Rv3918c,-0.37,0.001
Rv3919c,-0.92,0.008
Rv3920c,-0.38,0.036
Rv3921c,-0.11,0.307
Rv3922c,-1.27,0.001
Rv3924c,0.61,0.328
