Gene,Value,padj
Rv0434,-0.75,0.020
Rv0435c,0.19,0.305
Rv0436c,-0.08,0.778
Rv0437c,-0.12,0.379
Rv0438c,0.03,0.947
Rv0439c,0.12,0.123
Rv0440,0.22,0.054
Rv0441c,0.32,0.068
Rv0443,0.22,0.022
Rv0444c,-0.16,0.139
Rv0445c,0.14,0.381
Rv0450c,-0.10,0.504
Rv0451c,-0.19,0.241
Rv0452,-0.40,0.639
Rv0455c,-0.10,0.577
Rv0456c,-0.29,0.404
Rv0457c,0.13,0.239
Rv0458,-0.21,0.437
Rv0461,-0.07,0.652
Rv0462,-0.01,0.845
Rv0464c,-0.01,0.928
Rv0465c,-1.00,0.216
Rv0466,0.24,0.007
Rv0467,2.42,0.000
Rv0468,0.39,0.001
Rv0469,0.32,0.001
Rv0470c,-0.32,0.088
Rv0472c,-0.69,0.003
Rv0473,0.37,0.015
Rv0474,0.26,0.013
Rv0475,-0.25,0.510
Rv0476,-0.27,0.384
Rv0478,-0.45,0.276
Rv0479c,-0.14,0.146
Rv0480c,0.09,0.743
Rv0482,-0.06,0.723
Rv0483,0.11,0.554
Rv0484c,0.16,0.116
Rv0485,0.53,0.172
Rv0486,0.23,0.289
Rv0487,-0.28,0.746
Rv0489,0.42,0.055
Rv0490,0.19,0.075
Rv0491,0.36,0.119
Rv0492c,0.94,0.000
Rv0493c,-0.47,0.010
Rv0495c,0.09,0.602
Rv0496,-0.09,0.296
Rv0497,-0.42,0.041
Rv0498,0.00,0.997
Rv0500,0.22,0.047
Rv0500A,-0.05,0.872
Rv0501,-0.93,0.000
Rv0502,-0.61,0.001
Rv0503c,0.20,0.436
Rv0504c,0.07,0.761
Rv0505c,-0.02,0.800
Rv0508,-0.51,0.144
Rv0509,0.24,0.272
Rv0510,-0.04,0.777
Rv0511,-0.17,0.504
Rv0512,0.06,0.810
Rv0513,-0.54,0.013
Rv0516c,-0.24,0.388
Rv0517,-0.14,0.723
Rv0518,-0.29,0.175
Rv0523c,-0.06,0.801
Rv0524,0.37,0.003
Rv0525,0.14,0.269
Rv0526,0.30,0.035
Rv0528,-0.68,0.014
Rv0529,-0.15,0.178
Rv0530,-0.16,0.113
Rv0531,-0.34,0.145
Rv0533c,0.33,0.070
Rv0535,-0.37,0.393
Rv0536,-0.07,0.412
Rv0537c,-0.94,0.066
Rv0538,0.10,0.459
Rv0539,-0.72,0.013
Rv0540,-0.09,0.586
Rv0543c,0.28,0.088
Rv0544c,-1.42,0.004
Rv0546c,0.04,0.843
Rv0547c,-0.29,0.209
Rv0548c,0.08,0.528
Rv0549c,-0.01,0.959
Rv0550c,0.08,0.624
Rv0551c,-0.10,0.417
Rv0552,0.05,0.738
Rv0553,-0.01,0.957
Rv0554,-0.05,0.826
Rv0555,-0.10,0.394
Rv0556,-0.08,0.894
Rv0558,-0.51,0.108
Rv0559c,-0.23,0.217
Rv0560c,0.05,0.778
Rv0562,0.17,0.119
Rv0563,-0.05,0.857
Rv0564c,-0.10,0.205
Rv0565c,-0.86,0.001
Rv0566c,0.13,0.318
Rv0567,-0.59,0.003
Rv0568,-0.12,0.740
Rv0569,6.32,0.000
Rv0570,1.43,0.000
Rv0571c,1.65,0.000
Rv0572c,1.51,0.003
Rv0573c,0.95,0.000
Rv0574c,1.23,0.000
Rv0575c,0.48,0.141
Rv0576,0.16,0.091
Rv0577,0.26,0.059
Rv0580c,-0.56,0.011
Rv0581,-0.24,0.139
Rv0582,0.33,0.324
Rv0583c,-0.10,0.525
Rv0585c,-0.09,0.820
Rv0586,-0.61,0.064
Rv0587,1.07,0.001
Rv0595c,-0.24,0.064
Rv0597c,-0.15,0.287
Rv0598c,0.10,0.417
Rv0599c,-0.32,0.016
Rv0613c,-0.32,0.055
Rv0617,0.16,0.351
Rv0624,-0.13,0.418
Rv0626,0.01,0.991
Rv0630c,-0.33,0.022
Rv0631c,-0.91,0.013
Rv0632c,0.11,0.509
Rv0633c,-0.18,0.427
Rv0634A,-0.38,0.047
Rv0634B,-0.33,0.061
Rv0634c,0.20,0.064
Rv0635,-0.18,0.118
Rv0636,-0.13,0.229
Rv0637,-0.08,0.207
Rv0638,-0.28,0.068
Rv0639,0.26,0.056
Rv0640,0.07,0.486
Rv0641,0.08,0.446
Rv0642c,-0.07,0.503
Rv0643c,-0.36,0.052
Rv0644c,-0.18,0.255
Rv0645c,0.20,0.170
Rv0646c,-0.26,0.283
Rv0647c,-0.10,0.554
Rv0651,-0.06,0.711
Rv0652,-0.31,0.179
Rv0654,0.65,0.000
Rv0655,-0.85,0.002
Rv0660c,-0.52,0.027
Rv0667,-0.13,0.093
Rv0668,-0.57,0.003
Rv0669c,-0.18,0.123
Rv0670,0.58,0.002
Rv0672,0.19,0.048
Rv0673,0.01,0.924
Rv0675,0.12,0.561
Rv0676c,-0.30,0.353
Rv0677c,0.06,0.771
Rv0678,0.16,0.476
Rv0679c,-0.18,0.231
Rv0681,0.23,0.027
Rv0682,0.75,0.195
Rv0683,-1.07,0.011
Rv0684,0.05,0.528
Rv0685,-0.22,0.481
Rv0686,0.03,0.880
Rv0687,0.10,0.418
Rv0688,0.03,0.850
Rv0690c,-0.24,0.078
Rv0692,-0.73,0.064
Rv0694,-0.32,0.049
Rv0700,0.02,0.911
Rv0701,-0.02,0.974
Rv0702,-0.13,0.354
Rv0703,0.22,0.405
Rv0704,1.08,0.134
Rv0705,0.16,0.594
Rv0706,1.16,0.258
Rv0707,-0.70,0.017
Rv0708,-0.67,0.231
Rv0709,-0.13,0.469
Rv0710,0.12,0.841
Rv0711,-0.14,0.525
Rv0712,-0.21,0.391
Rv0713,-0.62,0.003
Rv0714,-0.22,0.103
Rv0715,0.08,0.558
Rv0716,-0.50,0.059
Rv0717,0.10,0.872
Rv0718,-0.49,0.068
Rv0719,-0.56,0.141
Rv0720,-0.38,0.561
Rv0721,-0.46,0.021
Rv0722,-0.21,0.729
Rv0723,0.34,0.624
Rv0724,0.71,0.006
Rv0726c,-0.52,0.048
Rv0729,-1.24,0.008
Rv0730,0.10,0.520
Rv0731c,0.32,0.031
Rv0732,-0.14,0.239
Rv0733,0.06,0.646
Rv0734,0.12,0.535
Rv0738,0.10,0.481
Rv0743c,-0.31,0.438
Rv0748,-1.00,0.089
Rv0751c,0.23,0.086
Rv0752c,0.23,0.105
Rv0753c,0.61,0.002
Rv0756c,0.55,0.125
Rv0757,0.34,0.067
Rv0758,-0.35,0.124
Rv0759c,0.03,0.851
Rv0760c,-0.68,0.020
Rv0761c,-0.36,0.077
Rv0763c,-0.38,0.208
Rv0767c,0.50,0.084
Rv0768,0.21,0.034
Rv0769,-0.24,0.029
Rv0772,-0.23,0.230
Rv0773c,0.01,0.961
Rv0774c,-0.04,0.828
Rv0777,-0.45,0.028
Rv0778,-0.55,0.001
Rv0779c,-0.27,0.370
Rv0780,0.02,0.907
Rv0785,-0.52,0.016
Rv0786c,0.39,0.023
Rv0787,0.66,0.269
Rv0787A,-0.24,0.200
Rv0788,-0.04,0.753
Rv0791c,-0.06,0.686
Rv0792c,0.03,0.949
Rv0794c,-0.21,0.216
Rv0795,0.04,0.889
Rv0798c,-0.44,0.006
Rv0799c,-0.32,0.077
Rv0800,-0.04,0.833
Rv0801,-0.20,0.361
Rv0802c,-0.39,0.176
Rv0803,-0.11,0.361
Rv0806c,-0.81,0.023
Rv0807,-0.90,0.105
Rv0808,-0.23,0.284
Rv0809,-0.11,0.221
Rv0810c,0.49,0.136
Rv0811c,0.31,0.019
Rv0812,-0.40,0.093
Rv0813c,-0.07,0.778
Rv0814c,-0.26,0.014
Rv0815c,0.27,0.012
Rv0817c,0.21,0.095
Rv0818,0.13,0.502
Rv0819,-0.18,0.367
Rv0820,-0.19,0.075
Rv0821c,0.32,0.005
Rv0822c,-1.55,0.000
Rv0823c,0.54,0.001
Rv0824c,2.37,0.000
Rv0825c,-0.63,0.000
Rv0830,0.07,0.558
Rv0831c,0.26,0.064
Rv0839,-0.05,0.917
Rv0840c,0.02,0.888
Rv0844c,0.16,0.194
Rv0845,-0.07,0.772
Rv0846c,0.64,0.003
Rv0852,0.08,0.807
Rv0853c,-0.38,0.046
Rv0854,-0.04,0.824
Rv0855,-0.30,0.071
Rv0857,0.18,0.747
Rv0858c,0.02,0.867
Rv0859,1.03,0.000
Rv0860,0.60,0.000
Rv0861c,-0.21,0.169
Rv0862c,-0.70,0.005
Rv0863,-0.18,0.331
Rv0864,-0.07,0.537
Rv0865,-0.19,0.723
Rv0866,-0.28,0.520
Rv0870c,0.04,0.941
Rv0871,0.11,0.426
Rv0873,0.29,0.148
Rv0875c,-0.30,0.489
Rv0876c,0.10,0.686
Rv0877,0.09,0.521
Rv0880,0.03,0.920
Rv0881,0.08,0.759
Rv0883c,-0.56,0.004
Rv0884c,-0.08,0.740
Rv0885,1.18,0.002
Rv0886,-0.19,0.697
Rv0887c,0.31,0.144
Rv0888,-0.17,0.207
Rv0889c,0.22,0.329
Rv0890c,-0.62,0.006
Rv0896,0.07,0.596
Rv0898c,0.23,0.491
Rv0899,-0.07,0.473
Rv0901,-0.56,0.045
Rv0902c,0.17,0.046
Rv0903c,0.18,0.343
Rv0904c,-0.45,0.083
Rv0905,0.41,0.026
Rv0906,0.27,0.116
Rv0908,0.43,0.110
Rv0909,-1.23,0.000
Rv0910,-0.28,0.121
Rv0911,-0.13,0.251
Rv0913c,0.34,0.052
Rv0914c,-0.11,0.512
Rv0920c,-0.28,0.101
Rv0923c,-0.47,0.159
Rv0925c,-0.17,0.123
Rv0926c,-0.24,0.160
Rv0927c,-0.05,0.793
Rv0928,-0.05,0.687
Rv0931c,0.16,0.063
Rv0932c,-0.06,0.597
Rv0933,-0.44,0.039
Rv0934,-0.14,0.446
Rv0936,-0.19,0.344
Rv0937c,0.12,0.348
Rv0938,-0.11,0.489
Rv0939,0.29,0.119
Rv0940c,0.12,0.391
Rv0941c,-0.81,0.000
Rv0945,-0.89,0.100
Rv0946c,0.16,0.206
Rv0948c,-0.74,0.042
Rv0949,-0.30,0.109
Rv0951,0.09,0.343
Rv0952,-0.02,0.820
Rv0953c,0.22,0.166
Rv0954,-0.19,0.118
Rv0956,-0.30,0.125
