,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.C
42,SP_0786,695.8244597,-2.265560417,0.142373261,15.91282238,5.16E-57,2.72E-55,1132.811084,1213.15278,1115.694671,210.1516987,239.1850723,263.9514521
43,SP_0289,2084.602872,-1.975164371,0.125855059,15.69396084,1.66E-55,8.57E-54,3703.889343,3269.210414,3024.665811,850.4857209,825.125223,834.240721
44,SP_0285,3365.995665,1.944612201,0.127505082,-15.25125247,1.62E-52,8.13E-51,1380.174299,1416.152871,1325.585729,4768.827009,6085.931284,5219.302802
45,SP_1471,502.3149871,2.252004714,0.148623744,-15.15238852,7.31E-52,3.60E-50,175.2156102,188.4568005,149.2381284,826.2374479,784.6282795,890.1136561
46,SP_2063,3043.387882,2.060030065,0.136409711,-15.10178451,1.58E-51,7.59E-50,1326.766332,1008.940749,1154.799849,4573.044657,5397.483245,4799.292462
47,SP_2055,1296.736901,2.114975085,0.140163445,-15.08934861,1.90E-51,8.97E-50,474.1128276,459.3255781,505.1750549,1784.493271,2355.150368,2202.164305
48,SP_1472,1734.076539,2.379044842,0.159005535,-14.96202536,1.30E-50,6.00E-49,697.1145133,472.0509569,476.44472,2814.595828,2801.882276,3142.370937
49,SP_1923,8606.954932,-1.699679153,0.114442587,14.85180643,6.77E-50,3.06E-48,13074.64505,12968.97892,13521.61288,4080.894525,3654.849147,4340.749063
50,SP_1857,122.36696,3.782838089,0.256625221,-14.7407105,3.53E-49,1.56E-47,11.24378247,18.17911259,14.36516744,200.2727727,249.3093082,240.8316169
51,SP_0053,1171.294031,-5.475048648,0.373151321,14.6724622,9.68E-49,4.20E-47,2661.028519,1982.735213,2273.68678,23.35018875,25.31058966,61.65289393
52,SP_1184,132.6970879,3.534590857,0.245303336,-14.40906151,4.54E-47,1.93E-45,23.42454682,20.60299427,14.36516744,281.1003491,210.0778942,246.6115757
53,SP_0239,1656.504481,-1.651271918,0.115633598,14.28020875,2.91E-46,1.22E-44,2537.346911,2501.445892,2513.904302,792.110249,758.0521604,836.1673739
54,SP_0290,1820.725987,-1.749101244,0.123055074,14.21397089,7.50E-46,3.08E-44,3012.396721,2803.219161,2620.844993,774.1485653,839.0460473,874.7004326
55,SP_0981,6589.414056,1.835019751,0.129888506,-14.12765303,2.57E-45,1.03E-43,2926.194389,2741.410178,2906.552212,10820.11823,11412.54488,8729.66445
56,SP_0051,2171.036691,-5.652165846,0.403456622,14.00935202,1.37E-44,5.40E-43,5038.15153,3277.088029,4548.171624,36.82145148,35.43482553,90.55268796
57,SP_1925,1508.476527,-1.782883355,0.128253093,13.90128933,6.22E-44,2.42E-42,2095.091467,2390.553305,2547.423026,693.3209889,673.261685,651.2086921
58,SP_0284,10618.29405,-1.589253347,0.114547666,13.87416607,9.08E-44,3.47E-42,17495.32553,14843.24543,15579.02409,5325.639202,5095.021699,5371.508384
59,SP_RS04870,3334.789658,2.134100679,0.156376542,-13.64719187,2.10E-42,7.88E-41,1085.025009,1145.284093,1419.757382,5877.062891,6106.179756,4375.428816
60,SP_1689,92.40788445,4.025742396,0.29602625,-13.59927504,4.04E-42,1.49E-40,9.369818727,11.51343797,6.384518861,192.1900151,188.563893,146.4256231
61,SP_2167,87.34702837,4.188300684,0.308750283,-13.56533389,6.43E-42,2.33E-40,5.621891236,5.453733776,11.97097287,160.7570687,178.4396571,161.8388466
62,SP_1586,11780.93702,-1.611545287,0.119079904,13.53331023,9.94E-42,3.55E-40,19482.66408,16112.75346,17779.2889,5477.415429,5760.690207,6072.810052
63,SP_2186,206.4328002,2.420842248,0.180059698,-13.44466463,3.31E-41,1.16E-39,61.8408036,69.08062783,58.25873461,342.1700735,375.8622565,331.3843049
64,SP_1688,89.36119807,3.867821422,0.288424685,-13.41016086,5.27E-41,1.82E-39,5.621891236,10.30149713,13.56710258,173.3302472,169.5809507,163.7654995
65,SP_0515,1598.462535,1.539462208,0.114889927,-13.3994533,6.09E-41,2.08E-39,822.6700843,773.8242258,843.5545546,2329.63037,2366.540133,2454.55584
66,SP_1684,522.9961608,2.074003897,0.156482429,-13.25390917,4.28E-40,1.44E-38,157.4129546,213.3015877,219.4678359,864.8550678,794.7525154,888.1870032
67,SP_0626,2429.617892,-1.705381019,0.129187292,13.20084197,8.68E-40,2.87E-38,4030.896017,3538.86725,3617.628,1045.369988,1275.653719,1069.292379
68,SP_0291,1091.063581,-1.610765282,0.122453451,13.15410283,1.61E-39,5.25E-38,1715.613809,1573.70518,1655.98458,536.156257,550.5053251,514.4163337
69,SP_1682,382.6275941,1.960593712,0.152175643,-12.88375504,5.56E-38,1.78E-36,176.1525921,141.1911078,146.8439338,634.9455171,589.7367391,606.8956746
70,SP_RS08365,345.1997406,2.012346226,0.156645054,-12.84653535,8.99E-38,2.85E-36,136.7993534,121.1940839,146.8439338,529.8696677,531.5223829,604.9690217
71,SP_0798,905.364825,1.778258069,0.141468939,-12.56995408,3.09E-36,9.64E-35,346.6832929,429.0270571,434.1472826,1381.253473,1295.902191,1545.175654
72,SP_1924,1755.130973,-1.533527417,0.122027572,12.56705672,3.20E-36,9.86E-35,2784.710126,2546.893674,2517.096561,964.542412,842.8426357,874.7004326
73,SP_2150,158.4621065,2.666447678,0.213072301,-12.51428581,6.24E-36,1.89E-34,55.28193049,32.11643224,38.30711317,283.7946017,265.7611914,275.5113697
74,SP_0501,2745.549183,-1.823701208,0.146064758,12.48556623,8.95E-36,2.68E-34,3511.808059,4330.264618,5044.567965,1131.58607,1212.377245,1242.691143
75,SP_0845,12189.83102,-1.536619372,0.123900441,12.40204923,2.55E-35,7.52E-34,19574.4883,16720.54179,18223.01296,6001.896592,5710.069028,6908.977426
76,SP_0368,1124.536054,1.759096148,0.142431201,-12.35049723,4.84E-35,1.41E-33,580.9287611,465.9912527,474.8485903,1630.920875,1631.267504,1963.259341
77,SP_1124,1040.727045,1.451569453,0.118616211,-12.23753011,1.96E-34,5.64E-33,533.1426856,570.2181648,557.8473355,1512.373763,1567.99103,1502.78929
78,SP_1470,496.5850634,1.832300063,0.150824127,-12.14858725,5.84E-34,1.66E-32,250.17416,186.6388892,209.8910576,799.2949225,737.8036886,795.7076623
79,SP_2148,144.4968179,2.458928594,0.20244286,-12.14628463,6.00E-34,1.68E-32,43.10116615,38.78210685,47.0858266,228.1133824,259.433544,250.4648816
80,SP_0617,1690.257363,1.646816662,0.136885283,-12.03063348,2.45E-33,6.79E-32,864.8342685,821.695889,742.9983825,2340.40738,2400.709429,2970.898826
81,SP_0647,536.6817688,1.704775125,0.141808513,-12.02166983,2.73E-33,7.48E-32,263.2919062,259.3553396,224.256225,809.1738485,771.9729847,892.040309
82,SP_0502,21070.26237,-1.414586778,0.117873856,12.00085267,3.52E-33,9.50E-32,33413.71056,27402.58834,31315.26695,11171.26915,11250.5571,11868.18208
83,SP_1778,4226.244964,-1.392814598,0.116757488,11.92912436,8.34E-33,2.23E-31,5679.047131,6456.614821,6264.809133,2179.650311,2457.658256,2319.690134
84,SP_1676,509.1801086,1.580533679,0.13426337,-11.77189041,5.45E-32,1.44E-30,264.2288881,239.9642862,255.3807545,747.2060399,779.5661616,768.7345212
85,SP_2197,1210.655945,1.375179584,0.118518179,-11.60311096,3.97E-31,1.04E-29,689.6186583,677.4749291,641.6441456,1672.232748,1760.351511,1822.613677
86,SP_1685,154.5296263,2.307122037,0.199771519,-11.54880359,7.49E-31,1.93E-29,52.47098487,48.47763357,49.48002118,224.5210456,263.2301325,288.9979403
87,SP_2157,80.395207,3.296129242,0.285890776,-11.52933049,9.39E-31,2.39E-29,14.99170996,15.14926049,9.576778292,124.8337014,177.1741276,140.6456643
88,SP_2198,492.644434,1.55076832,0.135842263,-11.41594882,3.48E-30,8.76E-29,239.8673594,260.5672804,245.0059113,769.6581444,712.493099,728.2748095
89,SP_2196,885.2232217,1.473465153,0.129601425,-11.36920489,5.95E-30,1.48E-28,415.0829696,484.7763357,494.0021469,1275.279539,1281.981366,1360.216972
90,SP_0338,601.9303549,1.691383737,0.15119071,-11.18708777,4.72E-29,1.16E-27,321.3847824,261.7792213,260.1691436,840.6067949,879.5429907,1048.099197
91,SP_1029,1176.765392,1.343969267,0.120627395,-11.14149294,7.88E-29,1.92E-27,683.0597852,653.8420827,646.4325347,1681.21359,1590.77056,1805.2738
92,SP_1972,2784.07717,1.207913404,0.108640859,-11.11840804,1.02E-28,2.46E-27,1733.416465,1647.0276,1646.407801,3794.405671,3999.073167,3884.132318
93,SP_2185,223.5132078,1.949106707,0.175375187,-11.11392521,1.07E-28,2.56E-27,101.1940423,84.83585874,85.39293977,333.1892317,397.3762577,339.0909166
94,SP_0729,592.0539025,1.578118762,0.142221067,-11.09623768,1.31E-28,3.08E-27,313.8889274,286.018038,283.3130245,814.5623536,1001.033821,853.5072503
95,SP_2016,553.4493411,1.539646275,0.141373848,-10.89060173,1.28E-27,2.98E-26,280.15758,293.2896831,268.1497922,886.4090882,731.4760412,861.2138621
96,SP_1677,245.8375203,1.865234002,0.172497702,-10.81309477,2.98E-27,6.89E-26,111.5008429,115.1343797,85.39293977,403.239798,385.9864923,373.7706694
97,SP_0576,262.4894704,4.710603271,0.437975814,-10.75539589,5.59E-27,1.28E-25,3.747927491,15.75523091,15.96129715,661.8880425,451.7940255,425.7902987
98,SP_0459,51003.21587,1.314497499,0.123429951,-10.64974498,1.75E-26,3.95E-25,31009.41508,25802.82644,30439.7898,70461.88879,68698.00246,79607.37263
99,SP_0282,22636.1269,-1.190161472,0.112143892,10.6128069,2.60E-26,5.81E-25,30916.65387,32189.14869,31493.23541,13410.19301,12800.83072,15006.69971
100,SP_2169,3612.535204,-1.218976939,0.115471542,10.55651389,4.74E-26,1.05E-24,5408.259369,4702.936426,5078.086689,2093.434229,2124.824002,2267.670505
