,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.C
111,SP_0411,2822.594968,-0.226275196,0.086007598,2.630874487,0.008516548,0.143246114,3091.785976,3011.939827,3091.284549,2479.698433,2574.876224,2685.984796
112,SP_0640,92.69719903,0.382009682,0.145236343,-2.630262336,0.0085319,0.143246114,77.70195806,70.4305049,72.55504277,136.9499835,99.38764554,99.1580594
113,SP_0950,2222.299342,-0.236720463,0.089970472,2.631090596,0.008511134,0.143246114,2589.229764,2393.601424,2290.980441,2004.892145,2063.213901,1991.87838
114,SP_1097,868.8774984,-0.264360575,0.100478189,2.63102448,0.00851279,0.143246114,991.326594,922.8467628,966.3012514,758.4387413,847.555755,726.795886
115,SP_0872,1952.2889,0.253483487,0.096568567,-2.624906802,0.008667269,0.144253499,1825.996014,1614.722899,1836.961765,2255.851252,2212.295369,1967.906102
116,SP_0047,622.7559879,-0.316484069,0.121083942,2.613757553,0.008955256,0.14532488,787.0456397,790.2716947,547.4607772,518.6024757,578.8410097,514.3143301
117,SP_0962,2827.671999,-0.220760802,0.08483664,2.602187014,0.009263132,0.14532488,3088.026204,2973.617347,3131.959346,2627.771258,2590.520576,2554.137266
118,SP_RS05450,854.9463999,0.27867275,0.106791142,-2.609511843,0.009067151,0.14532488,684.2785339,717.7697044,872.8591509,982.9811,954.3054484,917.4844617
119,SP_RS05540,209.3047354,0.380543792,0.146137651,-2.604009228,0.009214028,0.14532488,132.8452831,134.6465535,227.5589978,343.4177252,207.0575949,210.3022579
120,SP_1461,997.9004279,-0.243619876,0.093080341,2.617307512,0.008862646,0.14532488,1087.827413,1100.99451,1087.226323,891.2176593,921.1762332,898.9604287
121,SP_RS08940,174.3168802,-0.360172934,0.138390844,2.602577775,0.009252583,0.14532488,213.053756,169.8618059,233.0555919,118.8753664,174.8486357,136.2061256
122,SP_2064,641.0555259,-0.285174209,0.109227128,2.610836843,0.009032097,0.14532488,779.5260954,754.0206995,614.5192259,569.3504391,550.3130744,578.6036214
123,SP_0122,1058.229778,-0.339974886,0.131405501,2.587219594,0.009675391,0.146973795,1175.55543,1489.39803,1008.075367,697.9582917,830.9911474,1147.400402
124,SP_0798,838.5937429,0.270070361,0.104238225,-2.590895631,0.009572652,0.146973795,689.2915634,718.8054471,833.283673,880.7899956,927.618025,981.773753
125,SP_1520,1751.449663,0.280301761,0.10825297,-2.589321657,0.009616522,0.146973795,1540.25333,1518.398826,1597.31026,2303.818505,1882.843729,1666.073328
126,SP_RS07915,199.2980454,0.338834339,0.13090287,-2.588440866,0.00964115,0.146973795,144.1245996,194.7196312,164.8978245,248.8735741,208.8981068,234.274536
127,SP_1748,2517.183928,-0.301681364,0.116751305,2.583965672,0.009767152,0.147199433,2759.672769,3403.450575,2351.442977,1957.620069,2113.82798,2517.0892
128,SP_0338,621.9842715,-0.258470435,0.100232335,2.578713098,0.009916911,0.148193557,676.7589896,692.9118791,687.0742686,560.3131306,543.8712825,570.9760783
129,SP_1993,26231.86106,0.289501736,0.1123735,-2.576245614,0.009987967,0.148193557,19722.51152,28833.00582,20680.38583,29976.05731,29630.40195,28548.80392
130,SP_2174,463.7495688,0.293321251,0.1142702,-2.566909412,0.010260941,0.151072631,375.9772164,378.0460925,466.1111838,538.7626256,483.134388,540.4659062
