,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
52,SPT_0949,907.2763735,-0.8186443,0.089456763,9.151284645,5.63E-20,2.10E-18,666.6618904,622.3129153,656.4368038,1234.428683,1025.26868,1238.549269
53,SPT_0268,17693.18436,-0.596781978,0.065958681,9.047815517,1.46E-19,5.35E-18,13634.84364,13921.34166,14492.35398,21044.91117,20033.83084,23031.82488
54,SPT_1938,32243.8596,-0.494997277,0.055617454,8.900034774,5.58E-19,2.01E-17,26479.60168,27359.26568,26231.56017,38193.31177,36738.56982,38460.84844
55,SPT_0549,3001.207656,-0.630016273,0.071636404,8.794638402,1.44E-18,5.07E-17,2445.006385,2233.963695,2348.273106,3684.515666,3401.844175,3893.642911
56,SPT_0256,10298.50981,-0.583691543,0.067056962,8.704413801,3.19E-18,1.11E-16,7775.693965,8447.781432,8384.68457,12557.38588,11529.89404,13095.61899
57,SPT_0550,22360.3914,-0.648694514,0.075036777,8.645021029,5.38E-18,1.83E-16,17686.96585,16413.69713,17775.61766,25768.42272,25744.88726,30772.75781
58,SPT_0267,10241.95992,-0.559671442,0.065025359,8.606971973,7.50E-18,2.51E-16,8532.750688,7974.45116,8223.814366,12728.5276,11374.95856,12617.25715
59,SPT_0961,4336.242901,0.544887003,0.063443286,-8.588568435,8.81E-18,2.90E-16,5272.452447,5005.661616,5206.148467,3605.017575,3335.828189,3592.349114
60,SPT_1243,9099.832387,-0.516695511,0.060188826,8.584575402,9.12E-18,2.95E-16,7324.588983,7594.235039,7465.888977,10280.64889,10713.45144,11220.18099
61,SPT_0270,12252.39054,-0.587506585,0.069893667,8.405719903,4.25E-17,1.35E-15,9472.335438,9786.297366,9957.757634,14844.06012,13438.96857,16014.92412
