,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.C
88,SPT_1332,776.7551839,-2.110129566,0.129487512,16.29600831,1.05E-59,2.58E-58,1251.496769,1265.023484,1258.686863,306.5143721,275.5448254,303.2647898
89,SPT_0465,1160.548698,2.873031273,0.177557525,-16.18084771,6.88E-59,1.67E-57,303.1507492,255.2430374,259.7068424,1732.657631,1671.486792,2741.047138
90,SPT_1333,885.1384174,-2.172706698,0.134361449,16.17061079,8.13E-59,1.95E-57,1410.657808,1470.084368,1440.097161,319.2858043,285.7923602,384.9130024
91,SPT_0190,261.9273288,2.842697197,0.178382446,-15.93596937,3.57E-57,8.44E-56,70.0639584,68.59430991,55.5765652,442.7429819,561.3371856,373.248972
92,SPT_1302,4178.52253,-1.687269614,0.106092452,15.90376672,5.97E-57,1.40E-55,6448.642597,6239.916066,6421.714816,2107.286308,1777.377985,2076.197407
93,SPT_0119,2835.944288,-1.904821418,0.119819104,15.89747668,6.60E-57,1.53E-55,4285.210999,4123.240071,5023.911771,1162.200328,1161.387281,1259.715281
94,SPT_0316,5761.796361,-2.105255713,0.134466325,15.65637871,3.01E-55,6.89E-54,8577.042215,8886.573361,10597.29751,2452.114977,1870.744414,2187.005695
95,SPT_1435,1591.186861,-1.898902191,0.121483875,15.63089912,4.48E-55,1.02E-53,2390.725699,2399.356756,2725.348923,681.1430491,627.3768545,723.1698833
96,SPT_1248,284.1337556,3.210603813,0.205707089,-15.60764789,6.46E-55,1.45E-53,49.37578171,63.17896966,52.43072188,659.8573289,553.3668808,326.5928505
97,SPT_1656,1108.342611,1.800747108,0.115447452,-15.59798051,7.51E-55,1.67E-53,529.0656387,500.7384624,443.9134453,1796.514792,1641.882803,1737.940526
98,SPT_0277,607.0340533,-2.504449123,0.160746513,15.58011476,9.94E-55,2.18E-53,1127.643551,966.8187471,986.0471095,170.2857623,163.9605573,227.4485923
99,SPT_1817,169.692326,3.016734101,0.193665148,-15.5770624,1.04E-54,2.27E-53,39.72129925,33.57510959,39.84734863,246.9143553,372.3270988,285.7687442
100,SPT_1303,1200.796752,-2.014308856,0.129459759,15.55934345,1.38E-54,2.96E-53,1843.454465,1831.829097,2088.83996,519.371575,437.2281527,484.0572606
101,SPT_0088,112.3634999,3.767897609,0.242368267,-15.54616722,1.69E-54,3.60E-53,19.30896491,12.99681662,13.63198769,204.3429147,266.4359055,157.4644101
102,SPT_2256,4109.248298,2.463175088,0.159306543,-15.46185765,6.28E-54,1.33E-52,1376.453356,1433.621077,939.5585361,6198.401747,7539.908404,7167.546666
103,SPT_1402,4202.759841,-1.532493801,0.099185973,15.45071094,7.46E-54,1.56E-52,6082.59979,6003.085185,6667.789671,2213.71491,2144.012009,2105.357483
104,SPT_0163,7271.836167,-1.923385321,0.127221284,15.11842404,1.22E-51,2.54E-50,11618.48003,11395.68101,11504.69853,3167.315179,2498.121268,3446.720976
105,SPT_1595,964.1193344,-1.853048514,0.123017918,15.06324076,2.83E-51,5.80E-50,1479.89424,1487.77448,1574.669347,451.2572701,417.871698,373.248972
106,SPT_0584,423.8272973,-2.518401293,0.167393756,15.04477435,3.74E-51,7.59E-50,735.3957209,757.0645678,695.9304485,110.6857455,138.9110277,104.9762734
107,SPT_0582,440.2349236,-2.803412529,0.186801132,15.00747081,6.56E-51,1.32E-49,744.774361,701.4670745,862.3106059,140.4857539,99.05950334,93.312243
108,SPT_0281,4486.268932,-1.847641391,0.123355154,14.97822617,1.02E-50,2.03E-49,7212.725923,6346.417758,7514.37106,2217.972054,1777.377985,1848.748814
109,SPT_0920,2427.947721,-2.058259996,0.138131068,14.90077521,3.26E-50,6.44E-49,3653.532004,3573.402524,4508.692544,928.0574045,842.5750859,1061.426764
110,SPT_2084,1849.346517,1.560848291,0.105280615,-14.8256001,1.00E-49,1.96E-48,893.7292332,975.4832915,923.8293196,2673.486468,2608.566921,3020.983867
111,SPT_0945,877.8058887,-1.860147597,0.126569605,14.69663746,6.77E-49,1.31E-47,1402.934222,1306.541093,1429.261479,349.0858127,388.2677085,390.7450176
112,SPT_0327,7010.361891,-1.584567895,0.109245492,14.50465245,1.13E-47,2.18E-46,10550.41843,11107.94593,9877.248926,3652.629601,3141.438732,3732.48972
113,SPT_1740,146.0302923,2.693419458,0.186586325,-14.43524574,3.11E-47,5.92E-46,40.54882632,40.43454058,34.2547383,208.6000588,260.7428306,291.6007594
