"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.d","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.d"
"12","SP_2240",5489.16833525911,2.34437017073901,0.0575907220775046,40.7074279704985,0,0,1804.02910400914,1847.78900454131,1660.25041510857,1902.6543730739,9352.22926924635,8889.90168875038,9219.33612994743,9237.1566973958
"13","SP_0235",8785.56803852393,-2.06313746986975,0.0553851836520542,-37.2507109993708,1.03186355729673e-303,1.75813675339405e-301,13803.5232880412,13936.1931034199,15023.172311147,13972.8056167698,3376.07690938122,3300.11519080187,3273.28194679327,3599.37594183715
"14","SP_2239",7615.11657955324,2.33500775691185,0.0640241221085378,36.4707500862471,3.22651885947522e-291,5.10481376695543e-289,2658.51235027934,2592.84923586306,2386.38815544892,2416.83121206443,11996.7943292812,12986.3450619821,12152.7612622034,13730.4510293035
"15","SP_1382",1125.12302277284,2.63570396590692,0.0722897960526276,36.4602490230862,4.73327739836895e-291,6.98947295825815e-289,300.311431685354,322.991536450653,294.572006100922,327.11250262627,2004.5991380335,1935.24148682031,1936.89582861282,1879.26025185288
"16","SP_0959",3221.58059394975,-2.66658202244712,0.0744155342633681,-35.83367436441,3.30304642375959e-281,4.57265489289218e-279,5475.82247198943,5757.37367581209,5845.30233793034,5196.78731236535,772.579181239544,877.418809702431,875.563318807878,971.797643750951
"17","SP_1586",6342.74242043378,-1.91445888091241,0.0536895598358578,-35.6579358587662,1.77519979915015e-278,2.31298091477505e-276,10118.7668366788,9874.02960818161,9900.45865324256,10219.5147609479,2658.25417066585,2614.94494688056,2841.26057238149,2514.70981449143
"18","SP_0085",9616.45460140558,-2.09224362581024,0.0590777527679992,-35.4150848294208,1.00047392791876e-274,1.23113875018892e-272,14830.8476460728,17051.1789641587,15071.4395314238,15392.2938162398,3536.92395929599,3751.12485934051,3631.85968755505,3665.96834715806
"19","SP_0287",2149.05730066687,-2.92494166217971,0.0835803240703697,-34.9955769460415,2.62682035247662e-268,3.0623195161767e-266,3940.77734815889,3473.64517422082,3467.43192723615,4323.48696131724,508.208232177508,489.277155566153,489.624224333353,500.007382324821
"20","SP_1588",9620.5611208943,1.82110432143175,0.0524980896208365,34.6889636286679,1.15573718086006e-263,1.27997892780252e-261,4250.81109238082,4100.80358702224,4351.85775760181,4251.46219009677,15964.925273455,14719.3155459426,14484.236612779,14841.076907876
"21","SP_0357",3442.468712344,-2.03118855130375,0.0588991068234326,-34.4858973395443,1.30523828067447e-260,1.37671561509236e-258,5724.28157014637,5690.99197967039,5531.56540613129,5188.78456000752,1397.14485378093,1302.0056895792,1381.02832686966,1323.94731256663
"22","SP_0237",11162.4374579584,-2.30837325371912,0.0670390458735768,-34.4332653252894,8.01718677509823e-260,8.07184941220117e-258,19209.1290583776,17775.4329922121,18369.2263756283,18996.5334093971,3599.38052655012,4168.42269406918,3385.60750414033,3795.76710329204
"23","SP_0960",5158.38390964363,-2.29086411134561,0.0674130676745216,-33.9824931629899,4.04146328938568e-253,3.8921048634736e-251,8558.8758030326,8397.77994771697,8915.23950994598,8408.89203998906,1548.58064013685,1806.77206608507,1722.32521265497,1908.60605758752
"24","SP_1848",1223.05534144974,-3.80711677104631,0.113105947256236,-33.65973994649,2.24584518320024e-248,2.07272795032856e-246,2378.72580061565,1988.47856949834,2032.19193606492,2739.94233851178,154.002494599245,151.247686823057,172.808549764713,167.045355720256
"25","SP_0282",10856.4178905452,-2.95854489234599,0.0879425901579233,-33.6417756974541,4.11288785455949e-248,3.64401863913971e-246,17057.2572169487,19859.0256337941,19657.5352697806,20450.0333063879,2584.67520102399,2352.53932154899,2070.82245468047,2819.4547201973
"26","SP_0214",11016.641090789,-1.65421761632523,0.0498306812402195,-33.196769041762,1.19855987154094e-241,1.02108081363969e-239,16655.4016321036,15901.8839264815,17488.3496055772,16861.7992179462,5402.92085219017,5319.18069682533,5204.41749041393,5299.17530477435
"27","SP_1118",1821.09512515916,-2.19100737932009,0.066216498608086,-33.0885417588742,4.34373579443408e-240,3.56347214247092e-238,2963.14480975873,3000.05635697109,3003.21483810362,2993.02938182813,713.544891643167,615.013184370863,666.752987842184,614.004550755537
"28","SP_0283",6264.21089687803,-2.82364798685034,0.0855392103508847,-33.0099842547955,5.84034535329429e-239,4.62013034198102e-237,9385.27236864157,11333.4361517148,10610.9805281992,12623.3415004309,1621.30404036427,1545.27757139701,1402.62939559025,1591.44561868623
"29","SP_1355",8549.26667926842,-2.02736012418999,0.0616604749750712,-32.8794114059231,4.32866389869271e-237,3.30620363296702e-235,13614.4783220522,13144.5666076405,13730.6045446174,14465.975230821,3301.64237032492,3696.45702072976,3205.59859813542,3234.81073982605
"30","SP_0272",13272.665386775,-1.75224367830027,0.0534869079689538,-32.7602350713065,2.17072127960674e-235,1.60271587810964e-233,20156.5144022195,20754.6831459149,21542.7961088265,19451.6899497487,5976.15235986513,5959.70553921454,5960.45489563455,6379.32669277628
"31","SP_1961",11578.0493833959,-1.50812214057008,0.046258961550849,-32.6017292652,3.87620196310622e-233,2.7696088220259e-231,16755.8655283149,17226.5455345629,17212.2327131115,17361.9712403105,6101.92106378785,6203.88855167586,5825.08819831886,5936.88223708479
"32","SP_0095",2991.93018107009,-1.96141003339777,0.0605766204556854,-32.3789940515521,5.42322517244459e-230,3.75388867405149e-228,4749.88980259174,4723.00814190264,4694.69698397951,4886.68065849947,1288.48753814701,1117.9572995897,1213.98006209711,1260.74096175356
"33","SP_1659",5014.96856862821,-1.87946426432053,0.0584750902099581,-32.1412802882767,1.16927455752395e-226,7.84831256035016e-225,7653.6204801825,8022.27751730348,8064.17484653633,7828.69249404644,2171.43517384935,2224.98103145725,1941.21604235694,2213.3509632934
"34","SP_0776",2946.62575272729,-2.66047445869627,0.0832964525699218,-31.9398290877151,7.47898251484512e-224,4.87233713834763e-222,5164.70847081899,5114.3629176634,5161.75332136363,4931.69614051226,900.059023991141,670.592153625118,751.717191476501,878.116802367294
"35","SP_0360",3644.56850653608,-1.95727716320648,0.0619029971557958,-31.618455537467,2.05904020705434e-219,1.30307830246439e-217,5779.37467452031,5751.42904630687,5771.48188338939,5903.03020794378,1463.87926810726,1647.3242034704,1389.6687543579,1450.36001419277
