,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV60min.d,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.a,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.b,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.c,X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V60min.d
113,SP_0847,6194.140149,-1.977080842,0.069511306,-28.44257928,6.02E-178,1.18E-176,8941.035269,9394.936425,9853.625041,11361.04076,2488.547119,2364.156484,2545.557792,2604.222307
114,SP_1284,2858.814149,1.591918418,0.056652111,28.09989566,9.82E-174,1.91E-172,1441.612482,1443.473702,1354.0101,1454.586405,4409.898049,4131.291032,4152.253975,4483.387451
115,SP_2219,1723.58129,-1.739261898,0.062122037,-27.99750273,1.74E-172,3.36E-171,2550.438941,2536.265454,2781.404381,2752.264073,782.772601,812.4032669,756.180403,816.9212022
116,SP_1572,78436.44732,1.452716842,0.052286183,27.7839526,6.78E-170,1.29E-168,39013.29258,45529.20453,41060.60808,42151.19993,113177.616,117654.8861,113769.2134,115135.5579
117,SP_0351,5177.8736,-1.457560596,0.052534064,-27.74505673,2.00E-169,3.78E-168,7281.247718,7654.885989,8016.142684,7419.238823,2689.472707,2885.606022,2663.102667,2813.292188
118,SP_0626,3443.0316,-1.582195327,0.057319121,-27.60327254,1.02E-167,1.91E-166,5448.853308,5166.046094,4928.251426,5114.376691,1801.004875,1602.134815,1792.372163,1691.213432
119,SP_0502,17772.73961,-1.390677116,0.050574195,-27.49776081,1.87E-166,3.48E-165,24655.16366,24859.67643,26060.01798,27382.6951,9985.5831,9697.198065,10137.30956,9404.272986
120,SP_0529,1070.147979,2.218596918,0.081070029,27.36642557,6.89E-165,1.27E-163,393.5436373,371.3888839,352.5318538,392.271844,1903.560643,1852.783265,1659.853419,1635.250282
121,SP_0251,1418.453672,1.937626857,0.070996829,27.29173814,5.32E-164,9.73E-163,524.7248497,610.5205754,591.3901711,617.0330087,2397.502712,2128.622513,2250.572566,2227.262976
122,SP_0920,1643.400705,-1.960539312,0.07216862,-27.16609107,1.63E-162,2.97E-161,2579.436893,2498.191413,2564.129647,2828.598054,748.2385156,631.0295143,610.1851767,687.3964273
123,SP_0980,2167.846691,-1.548989405,0.057070985,-27.14145232,3.19E-162,5.75E-161,3095.876613,3296.410328,3356.966592,3186.943684,1118.695067,1039.120458,1113.307187,1135.453597
124,SP_0224,13972.81505,-2.071139241,0.076371641,-27.11921869,5.84E-162,1.04E-160,26233.48078,22798.33453,20846.86326,20480.83104,5276.389645,5080.984153,5106.089454,5959.54752
125,SP_0545,541.6378984,2.786024642,0.103357711,26.95516969,4.96E-160,8.79E-159,128.4195027,138.9368487,139.573836,135.7048542,974.2798015,943.3954216,1006.244021,866.5489012
126,SP_2206,2303.942768,2.240133752,0.083705793,26.76199193,8.95E-158,1.57E-156,716.6636763,903.0895163,843.1986381,729.4135911,3921.188417,3759.726747,3369.120607,4189.140951
127,SP_0229,11187.12318,-2.033089482,0.075986812,-26.75582017,1.06E-157,1.84E-156,17434.67356,21471.08684,17125.85357,15926.23687,4238.27411,4558.275074,4445.741815,4296.843617
128,SP_0919,1617.138679,-2.037377128,0.076879509,-26.50091232,9.46E-155,1.64E-153,2725.807509,2495.519551,2503.695615,2699.254365,669.7519581,518.9304589,648.3685436,675.7814339
129,SP_RS02600,546.3512866,2.604095931,0.098383766,26.46875628,2.22E-154,3.81E-153,171.2260036,160.3117485,143.8905526,129.3436891,994.1630628,915.6855427,946.348544,909.8411493
130,SP_0359,8815.290695,-1.752895017,0.066351721,-26.41823004,8.46E-154,1.44E-152,13978.39383,11839.02262,13871.04927,14723.97668,4157.694577,4075.871274,4114.819302,3761.498013
131,SP_0617,3430.441781,1.829093999,0.069796644,26.20604499,2.27E-151,3.83E-150,1582.459678,1543.668545,1459.050203,1416.419415,5802.772824,5712.013667,5108.335534,4818.814381
132,SP_0916,1246.192435,-1.802803567,0.069319681,-26.00709552,4.12E-149,6.91E-148,1871.058346,2026.607687,1880.649522,1980.442715,502.3139685,544.1212578,595.2113073,569.1346764
133,SP_RS04870,5387.030971,1.815345602,0.069806292,26.00547241,4.29E-149,7.15E-148,2525.583553,2329.196112,2273.470731,2387.557278,8485.966606,9542.274651,7632.181216,7920.017618
134,SP_0681,19828.68489,-1.325168884,0.051619211,-25.67200981,2.40E-145,3.97E-144,29076.66095,26681.88663,27395.32231,30260.06209,11654.73056,11430.32503,11046.97212,11083.51946
135,SP_1004,2969.59193,-1.95504394,0.076751243,-25.4724726,3.98E-143,6.53E-142,4565.106193,5379.795092,4883.645355,4062.664071,1151.136178,1228.05145,1284.009298,1202.327801
136,SP_0095,6810.983918,-1.979477898,0.077780989,-25.44937942,7.17E-143,1.17E-141,9464.379263,11286.61506,10714.09055,12031.08348,2947.955103,2750.835248,2384.588697,2908.323952
137,SP_0285,5683.606566,1.670608503,0.065727178,25.4173169,1.62E-142,2.62E-141,2430.304567,2961.759553,2607.296813,2845.561161,8241.088546,8949.031335,9092.133479,8341.677075
138,SP_0925,1379.369689,2.159162253,0.085402873,25.28207995,5.03E-141,8.07E-140,454.3012515,437.5174802,535.2728556,608.5514553,2172.507914,2375.492343,2171.959752,2279.354462
