"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.c"
"1819","SPT_1819",1219.41885620649,-0.00298514413382193,0.079752808827369,-0.0374299561070444,0.970142187880555,NA,1262.79415897559,1194.34523635979,1194.25104865394,1061.06296129837,1285.13020013643,1318.92953181485
"1820","SPT_1821",1658.73205463441,0.0337387617260026,0.0705942589199313,0.477925007531696,0.632703581628391,NA,1639.73716251638,1652.54757239076,1755.31679208502,1623.85313815167,1696.21624801054,1584.72141465206
"1821","SPT_1822",1274.67353412497,0.0450823873402826,0.0776772893916498,0.580380542284073,0.561658023669457,NA,1441.08749770811,1218.32093998932,1239.47857045558,1298.28845030708,1255.30376764083,1195.5619786489
"1822","SPT_1823",3582.89787300636,-0.0609999669997692,0.080332702446441,-0.759341652180054,0.447648207305504,NA,3857.17282021726,3012.05876708729,3575.41895323724,3979.23424868584,3667.35439554573,3406.14805326481
"1823","SPT_1846",367.739320715766,0.0323019843708572,0.084965745283418,0.380176555423699,0.703814361087827,NA,364.308042528255,403.147016585387,353.26361623438,373.208300699894,351.433182882918,361.075765363761
"1824","SPT_1847",38.9569555173386,-0.0152907043800511,0.0812166741297164,-0.188270506566537,0.850664604258109,NA,30.8854602528771,34.6315719093174,50.1169836180263,42.6807365162113,36.3104395598587,39.1165412477408
"1825","SPT_1848",1922.35362079042,0.0247244100065252,0.0838390059825945,0.29490342492441,0.768067655530483,NA,1687.46923745265,1825.70543193735,2327.38382460298,1921.62571849733,1946.498920691,1825.43859156124
"1826","SPT_1849",4.15378258322723,0.0526650796671283,0.0349354916134818,1.50749502110354,0.131683819095351,NA,5.61553822779584,3.55195609326332,9.77892363278561,3.97030107127547,0,2.00597647424312
"1827","SPT_RS09210",15.7382651046923,-0.0171633245208642,0.0623299425880623,-0.275362431091849,0.783037804416096,NA,19.6543837972854,14.2078243730533,11.0012890868838,20.8440806241962,11.6712127156689,17.0508000310665
"1828","SPT_1851",186.041223058272,-0.0222552466947313,0.0923071708828127,-0.241099867777175,0.809477715253442,NA,178.293338732518,200.685519269377,171.131163573748,160.797193386657,177.661793560737,227.678329826594
"1829","SPT_RS09220",306.982539710387,0.0655392780303896,0.0870413368178874,0.752967273095937,0.451469580467036,NA,306.046833414873,301.028278904066,345.929423509791,292.809704006566,311.232339084503,284.848659342523
"1830","SPT_1855",4492.91455453366,0.0371937206070176,0.0726556720325406,0.511917646159263,0.608708647609906,NA,4553.49956046395,4498.55239211799,4638.87689830267,4137.05371626904,4901.90934058092,4227.59541946737
"1831","SPT_1856",144.558213963232,0.0371549669509231,0.092485830515337,0.401736857893725,0.687877695899475,NA,136.878744302523,164.277969313428,144.239123583588,147.893714905011,120.602531395245,153.457200279599
"1832","SPT_1857",778.365584209505,-0.0603159705856657,0.0891163746156771,-0.676822535092839,0.498518558350607,NA,643.681069361098,678.423613813294,939.999034201517,853.614730324226,818.281691509673,736.193366047224
"1833","SPT_1858",1407.2813612813,-0.0583009304027727,0.0718008326255141,-0.811981258028695,0.41680238583677,NA,1316.84371441812,1420.78243730533,1380.05059767687,1384.64249860732,1467.97919934857,1473.38972033157
"1834","SPT_1859",820.150545572333,0.0247228325674402,0.0760320671670436,0.325163230313385,0.745057535795274,NA,839.522965055477,792.974197821036,854.433452414643,791.082488451638,845.514521179567,797.375648511639
"1835","SPT_1860",367.436254990752,-0.082215956316764,0.0905857224237744,-0.907603915020346,0.364087525129999,NA,404.3187524013,296.588333787487,349.596519872086,440.703418911577,333.277963102989,380.132541869071
"1836","SPT_1861",339.262468911629,0.0274582356740082,0.0922358697309349,0.297695850368276,0.765935310843632,NA,369.923580756051,320.564037417014,344.707058055693,415.889037216106,339.761970167249,244.72912985766
"1837","SPT_RS09270",2098.544706319,0.0735048118113654,0.0882712120721158,0.8327155602136,0.40500516673626,NA,2423.1047452939,1926.93618059535,2190.47889374398,2319.64840089269,2151.39354392163,1579.70647346646
"1838","SPT_1864",3511.67126857537,0.0708999478611252,0.0691368034379954,1.0255022554624,0.30512626172928,NA,3706.95717262373,3615.00331391874,3520.41250780282,3292.37216335518,3650.49597717865,3284.78647657311
"1839","SPT_1865",1931.32782387434,-0.0687755013831131,0.0778547023144008,-0.883382754523637,0.377029505247889,NA,1639.03522023791,2005.07921464714,1972.8978429145,1998.05401411938,2063.21104784768,1909.68960347945
"1840","SPT_1866",282.229906946737,0.175198443983126,0.0905069629993391,1.93574547390796,0.0528988820129227,NA,364.308042528255,262.844750901486,303.146632616354,261.047295436362,250.282672680455,251.750047517511
"1841","SPT_1867",97.4660887901931,0.00888825306948823,0.0918420576829947,0.0967775907217502,0.92290302039809,NA,110.204937720493,81.6949901450563,102.678698144249,110.175854727894,90.7760988996467,89.2659531038187
"1842","SPT_1868",32.5199762546709,-0.0695145555402228,0.0753540446887427,-0.922505962717191,0.356264721550152,NA,25.9718643035557,30.1916267927382,30.559136352455,23.8218064276528,32.4200353213024,52.1553883303211
"1843","SPT_RS09300",3.14234915349998,-0.0210372915838159,0.0292911449927629,-0.718213357279606,0.472625743239669,NA,4.21165367084688,0,2.4447309081964,0.992575267818868,5.18720565140838,6.01792942272935
"1844","SPT_1870",9.29031236390384,0.0789834655684603,0.0474878682979282,1.6632345986334,0.0962654844616234,NA,7.72136506321927,17.7597804663166,13.4460199950802,10.9183279460075,3.89040423855629,2.00597647424312
"1845","SPT_1873",1287.95799101536,0.0895338373552136,0.0756089290788992,1.18417015617009,0.236345713244436,NA,1368.08550074676,1414.56651414212,1230.92201227689,1181.16456870445,1237.1485478609,1295.86080236105
"1846","SPT_1874",953.213045357944,-0.0551195562077613,0.0814987286248973,-0.676324123551085,0.498834879828509,NA,1012.90270783867,927.948529365042,840.987432419563,1019.37480004998,1037.44113028168,880.623672192729
