"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.NDC20min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.19F.KAN20min.c"
"16","SPT_2209",611.991975445555,-0.450312335933974,0.0957834108899349,-4.70136041043088,2.58433904910308e-06,0.000320942605660488,690.312075202758,739.532587629271,715.406862139852,548.464312838673,510.988149274098,467.247865588681
"17","SPT_1717",2333.54914945602,0.431410438327281,0.0922392578501487,4.67708054446999,2.90987984496035e-06,0.000340113603055071,2019.96550842761,1923.51333137071,1937.63207962697,2348.8580354178,2906.44851784567,2864.87742404739
"18","SPT_0700",738.554225170151,0.473909337626467,0.101990662015822,4.64659536725969,3.37458162924761e-06,0.0003725163165175,630.110440737401,565.578493741105,622.317776463823,761.377477760518,890.160884245005,961.780278073051
"19","SPT_1781",651.740242425505,-0.435676876728516,0.0940120659328467,-4.63426553182781,3.58206970253162e-06,0.00037460907889107,715.195417448439,799.642379234605,759.078285049594,545.057702199923,567.945427059427,523.52224356104
"20","SPT_0278",2275.68224402697,-0.434293247486648,0.0944130176716064,-4.59992973635516,4.22633470178498e-06,0.000399891764402226,2829.47681987177,2398.92713770382,2698.43423663353,2096.76884815033,1746.14740181881,1884.33901998355
"21","SPT_0941",3614.20315568173,0.356744469100538,0.0774085915244445,4.60859010705399,4.05408672866697e-06,0.000399891764402226,3104.79896149334,3332.45041642303,3005.28344497303,3864.79976966133,4276.6778862813,4101.20845525831
"22","SPT_1365",9573.26983241055,-0.417913080179134,0.0913454113556658,-4.57508564444395,4.76025214480315e-06,0.000429937318714721,12068.822333385,10334.3303840263,10756.3863874666,8770.31908946065,8221.37621061383,7288.38458951103
"23","SPT_0088",1999.56596993614,-0.54303939457213,0.119190243215002,-4.55607254356016,5.21189427469009e-06,0.000450262344513444,2267.99624242488,2609.31140832249,2398.48051612188,1929.8449268516,1277.47037318524,1514.29235271076
"24","SPT_0072",1087.62425570721,0.571526473103287,0.12736946109479,4.48715467735197,7.21806719100827e-06,0.000568897119325071,843.224226744764,811.48218667202,860.212106524786,984.510474598612,1578.53027005056,1447.78626965252
"25","SPT_0313",7219.42671042638,0.373786418299339,0.0837196703457645,4.46473829573852,8.0166680126331e-06,0.000568897119325071,6345.25227264861,5980.92426473081,6367.98300902316,7358.27897969897,8478.49763604475,8785.62410041199
"26","SPT_0317",17992.3007615344,0.430230964668849,0.0962264407055666,4.4710264820588,7.78450573233404e-06,0.000568897119325071,15510.7504478843,14899.0315283587,14898.2760760642,17644.5398034031,22210.0836346907,22791.1230788056
"27","SPT_1570",4005.71255404266,0.486287696203472,0.10856639621728,4.47917323542949,7.49327031449818e-06,0.000568897119325071,3321.12350133885,3167.60386671749,3293.74468577159,3808.59069412197,5197.75843560977,5245.45414069629
