"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN20min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN20min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC20min.c"
"14","SPT_1229",4147.97298744253,-0.667554496610915,0.183688252474416,3.63417087167233,0.000278876002597888,0.0283165236866094,3605.70840760436,2521.33389234709,4792.98343121626,5725.69932254738,4094.13988349757
"15","SPT_0860",7863.55700767337,-0.658404444207948,0.183994295078168,3.578395971072,0.00034570941860976,0.0313673679151922,4429.56463130031,7250.67802082855,9422.94830978191,9511.44130883692,8703.15276761914
"16","SPT_0806",18516.1821012547,-0.533362114822461,0.161763878050888,3.29716449215365,0.000976662833751662,0.0830773822960008,14200.8204272786,14996.5302904952,17244.2690876827,25025.2142060104,21114.0764948067
"17","SPT_0543",944.010456658685,-0.503615670787834,0.155969097787802,3.22894520729363,0.00124247697616893,0.0994712449744658,674.732897491245,837.98719034148,1109.00212460118,1001.76194973023,1096.56812112929
"18","SPT_1135",1068.66474806968,-0.568005532871214,0.18455869376869,3.07764170450352,0.00208645612405416,0.157759265824318,704.825048519101,954.715611283475,1395.77198729312,1273.68558120811,1014.3255120446
"19","SPT_0927",19062.4851000566,-0.50462459424876,0.168339412261719,2.99766161393159,0.00272059566043807,0.194880562834538,17791.8171166027,12674.2490738598,18723.3352259652,22790.967225296,23332.0568585596
"20","SPT_1322",2176.98921996259,0.463023382492247,0.159806966440077,-2.89739172707385,0.00376279595756336,0.2502874902463,2280.98504791144,2935.41260663606,1812.24274223991,1735.13174371604,2121.17395930948
"21","SPT_1727",1704.31041170499,-0.470082397381994,0.162701750359966,2.88922765945647,0.00386189367756965,0.2502874902463,1475.1841148322,1291.3849516846,1721.80909259432,2268.38457947138,1764.78931994246
"22","SPT_1365",13885.3891051698,-0.381680411722831,0.140404969517537,2.71842523120351,0.00655934786810734,0.392553024714623,12222.0943185803,11275.9654629967,15130.9774854384,17146.4918446186,13651.4164142151
"23","SPT_1862",13462.2487349796,-0.591564293707966,0.21791269525325,2.71468485587989,0.00663388653081288,0.392553024714623,12638.034717232,8005.11223617997,11136.4279872773,17000.5241809682,18531.1445532404
"24","SPT_0499",991.719475358368,-0.461638318636741,0.171947994086115,2.68475547557445,0.00725828875054965,0.411605457895753,752.303775696384,866.247755411647,985.250814559846,1330.18919294378,1024.60583818018
"25","SPT_1952",6988.48595704736,-0.354081670983921,0.133834266974712,2.64567273380611,0.00815286503282268,0.443841972386867,5780.36785521737,6197.66479190971,8223.51253553514,7812.8014810335,6928.08312154109
"26","SPT_0065",5512.44216326329,-0.427699548750373,0.165807227826444,2.57949882135452,0.00989437961958258,0.498750024527848,5040.10093993213,4090.40961385159,5673.52159881805,7330.16646412469,5428.01219959001
"27","SPT_1214",764.694371199281,0.377483254240191,0.14585168846603,-2.58813084860591,0.00964983167481443,0.498750024527848,909.451675508517,865.019035191205,653.264127045115,680.397657983631,715.339360267938
"28","SPT_1326",711.458177718419,0.446374708602304,0.175516301085526,-2.54320941041706,0.0109839377820159,0.515487562804264,985.016410311798,705.285406533738,602.097720008795,659.208803582757,605.682548155008
"29","SPT_2106",8559.78428530524,-0.344585686818016,0.135364543573493,2.54561259338146,0.0109086177850021,0.515487562804264,8106.82548690423,6624.0307084031,9349.17349033419,9472.59507576865,9246.29666511599
