"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.c"
"1714","SPT_1296",2462.58306256065,-0.148316281125033,0.284085372189938,-0.522083484910548,0.601612204718835,0.755700744900613,2119.55501643183,2618.39026128693,2245.74783591914,2047.35353253514,3741.137933116,2003.31379607487
"1715","SPT_1513",5493.62652447742,-0.106444159356794,0.204928607976762,-0.519420691955629,0.603467404925268,0.757589109506765,5133.29043303089,5370.15171191282,5343.69095085548,5774.45597330982,6787.18417758534,4552.98590017016
"1716","SPT_RS08580",193.120218482933,-0.158930269469664,0.30778651941688,-0.516365270872703,0.605599316882827,0.759822452942149,210.6799860699,153.769135943742,178.788572914152,188.907931929676,259.500897094751,167.074786945375
"1717","SPT_RS10915",45.3237143654305,0.27603223850207,0.535970719085251,0.515013654054048,0.606543478710345,0.760563837893636,47.5019592808959,57.2711577749651,53.0920381496341,5.10561978188313,43.2501495157919,65.7213616894128
"1718","SPT_RS00625",3.48590860753504,-0.297824912227156,0.579198682982367,-0.514201639226142,0.607111021821424,0.76083238066445,0.879665912609184,2.74587742756682,3.63022483074421,5.10561978188313,6.17859278797027,2.37547090443661
"1719","SPT_1735",337.268816268255,-0.190631543960182,0.371873628667494,-0.512624529583498,0.608213991119626,0.761670392463071,297.766911418209,374.616134760902,261.376187813583,331.865285822404,556.073350917324,201.915026877112
"1720","SPT_1794",1558.63500506577,-0.157372511469819,0.307227783833644,-0.512233983222795,0.608487261977001,0.761670392463071,1120.6943726641,1720.09607426864,1555.09756187005,1771.65006431345,2150.15029021365,1034.12166706474
"1721","SPT_1274",6533.75748065814,-0.152694718729233,0.29912104888722,-0.510478013156488,0.609716614371972,0.762765758711712,4762.51125086612,6930.59462717865,6808.94044816461,4722.6982982419,6163.14630600034,9814.65395349725
"1722","SPT_1263",424.263930314579,0.119153200058667,0.235206163318961,0.506590466751862,0.612442198756622,0.765338255151753,452.588112037425,467.191430890297,408.854071562567,347.182145168053,488.108830249651,381.658991979482
"1723","SPT_1638",7139.63401912613,-0.128066399343968,0.252830297775833,-0.506531062418461,0.61248388928308,0.765338255151753,6441.35364508075,7308.74117577499,6683.69769150393,5039.24672471865,8245.33207554632,9119.43280213213
"1724","SPT_1284",1100.213294755,-0.112504007404163,0.22240047873941,-0.505862253722867,0.612953352133013,0.76548060739117,927.16787189008,1198.37936303095,1049.13497608508,924.117180520847,1241.89715038202,1260.58322662103
"1725","SPT_0387",1996.06755100184,-0.171141945244464,0.338787835821532,-0.505159651997124,0.613446706723686,0.765501065714353,1697.75521133573,1798.15744685233,2113.69840770082,1455.10163783669,1473.59437993091,3438.09822235458
"1726","SPT_0413",3148.67754358209,-0.0966627815210276,0.19147730585426,-0.504826308735518,0.613680835774721,0.765501065714353,3331.29481105098,2880.03315331365,2920.51587633372,2777.45716134442,3274.65417762424,3708.11008182554
"1727","SPT_0037",743.060532933728,-0.162898889283382,0.324763747431765,-0.501591974386266,0.615954565975922,0.766035247960308,879.665912609184,543.291462454292,667.961368856935,1026.22957615851,475.75164467371,865.463232849737
"1728","SPT_0404",3150.82524471218,-0.116258480189202,0.23200194912545,-0.501109928720201,0.616293759599128,0.766035247960308,3477.31935254411,2486.58814476372,3084.32977182105,4048.75648703332,2919.38509231595,2888.57261979491
"1729","SPT_0899",3051.18224078107,-0.152258191318696,0.303314074588023,-0.501981952289886,0.615680216255496,0.766035247960308,2391.37178342807,3304.4673499747,2939.12077859128,2481.3312139952,4788.40941067696,2402.39290802022
"1730","SPT_1041",4.83544335378579,0.292700522096259,0.583079797270688,0.501990505358525,0.615674199767595,0.766035247960308,6.15766138826429,4.7072184472574,6.35289345380237,10.2112395637663,0,1.5836472696244
"1731","SPT_1462",254.525267904997,0.152058484419565,0.302494792609631,0.502681329181742,0.615188338668998,0.766035247960308,231.79196797252,295.77022576934,285.426427317264,158.274213238377,281.125971852647,274.762801279834
"1732","SPT_1796",1207.66251291062,-0.158395716360842,0.315224809596969,-0.502484929924642,0.615326450449155,0.766035247960308,925.848373021166,1434.13255359776,1042.78208263127,1352.98924219903,1696.02372029784,794.199105716639
"1733","SPT_2228",133.720523136814,0.20474229329992,0.408932293621907,0.500675286577444,0.616599667772974,0.766035247960308,152.182202881389,162.006768226442,126.150312868361,86.7955362920133,77.2324098496283,197.955908703051
"1734","SPT_0221",3563.10943312385,-0.0912975924680967,0.182866559335053,-0.49925799883848,0.617597640096336,0.766390616211764,3241.56888796484,3683.79070318286,3409.6886722765,3834.32045619423,4056.24616530248,3153.04171382219
"1735","SPT_0464",30349.8177825323,0.107516383991275,0.215344414524893,0.499276399754713,0.617584678702453,0.766390616211764,27019.8181717037,35621.0910632125,31911.0375965531,28096.2256597029,35069.6926645192,24381.0415395025
"1736","SPT_0264",7682.85540918555,-0.108875456110642,0.21839595030227,-0.498523237083624,0.61811529510282,0.766591146518648,8412.68495523793,7553.51653503238,6187.71822400351,7964.76685973769,6608.0049867342,9370.4408943676
"1737","SPT_RS02140",275.888445572122,-0.190807873786491,0.384818497572785,-0.495838622597401,0.620008272855779,0.76805397667347,366.82068555803,140.039748805908,256.838406775153,388.027103423118,219.340043972944,284.264684897581
