"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN60min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC60min.c"
"11","SPT_RS08605",120.60433187258,0.907044690378306,0.254269024426825,3.56726381604276,0.000360728263230661,0.0675873591380357,63.5325835100095,277.6206891356,201.373619183208,42.1454897660113,74.9338718636128,64.0197377770412
"12","SPT_RS05420",42.1552679829461,0.90991844661639,0.257484338134118,3.5338788106888,0.000409508799031763,0.0703331362337052,25.4130334040038,112.891400561364,62.7229305652616,14.9850630279151,21.8557126268871,15.063467712245
"13","SPT_1727",265.452077676928,0.844059832131098,0.241127911004151,3.50046507936847,0.000464447084969411,0.0736327263170735,180.432537168427,527.594504664335,414.851663563222,105.832007634651,220.898809764609,143.102943266327
"14","SPT_1006",63.8598879965093,0.823068356459346,0.240818775282009,3.41779147201251,0.000631314559726637,0.0929385219711857,66.9209879638767,115.19530669527,86.9317809588714,35.5895246912984,48.39479224525,30.12693542449
"15","SPT_0564",274.578907063239,0.827661616553048,0.24479197378002,3.38108151085386,0.000722011213426346,0.09920434072478,176.197031601093,626.662468422266,362.032353613528,125.499902858789,224.021054425593,133.060631458164
"16","SPT_0977",308.149051561849,0.790570632289997,0.237547768217156,3.32804908344704,0.000874564563036784,0.112654847776176,226.175997295634,594.407782547591,453.365743734874,137.67526656897,284.124264149532,153.145255074491
"17","SPT_0514",49.9529120835589,0.838635879083302,0.257499080282252,3.2568499979264,0.00112655949096681,0.132788643931811,33.036943425205,130.170696565655,64.9237351464989,24.3507274203621,29.6613242793467,17.5740456642858
"18","SPT_RS11220",617.498917885241,0.690303676316245,0.215034962188727,3.21019274861171,0.00132645992762602,0.132788643931811,501.483859172342,1134.67377094841,772.482408014275,351.212414716761,569.809650629556,375.331403830104
"19","SPT_0602",287.471735039681,0.724840391304223,0.226773356845666,3.19632077324464,0.00139192271725748,0.132788643931811,213.469480593632,528.746457731287,404.948042947654,160.152861110843,250.560134043955,166.953433810715
"20","SPT_0850",31.6218125674382,0.820983416794355,0.257021153441148,3.19422508926816,0.00140206751503219,0.132788643931811,22.0246289501366,67.965230950209,58.3213214027871,10.3022308316916,21.0751514616411,10.0423118081633
"21","SPT_1561",231.049318208855,0.623389547545208,0.195354066788499,3.19107535252963,0.00141744306962632,0.132788643931811,239.729615111103,327.154671014566,304.811434501359,132.992434372747,214.654320442641,166.953433810715
"22","SPT_2249",497.509100817807,0.714861664725022,0.220661620463179,3.23962845566208,0.00119685542569385,0.132788643931811,426.091860073797,840.925738875468,698.755454542827,239.761008446642,493.314656435451,286.205886532655
"23","SPT_1084",75.0158113432864,0.811215795388286,0.255387590147221,3.17641039222248,0.00149109846886871,0.133615388884278,55.9086734888084,179.704678444621,94.6345969932018,54.3208534761923,42.9308640885282,22.5952015683675
"24","SPT_0037",601.939321848158,0.622042474783097,0.202238706047456,3.07578349832368,0.00209950231919892,0.140775309899971,493.859949151141,933.081984231683,850.610970648197,369.943743501654,567.467967133818,396.671316422451
"25","SPT_0277",3891.41708044291,0.432105039081199,0.138622274525461,3.1171400163531,0.0018261481825861,0.140775309899971,4179.59689384516,4717.24780917129,4659.10329847926,2681.38971555756,3719.37395239703,3391.79081320716
"26","SPT_0545",598.942891327293,0.68081254991527,0.221528785651957,3.07324643121048,0.0021174355200869,0.140775309899971,479.459230222205,1086.29174213639,776.88401717675,304.384092754526,583.859751603983,362.7785140699
"27","SPT_RS11225",332.281461379968,0.654894749617412,0.21224065532527,3.08562348063687,0.00203125862074913,0.140775309899971,284.625974124843,612.839031618834,381.839594844663,208.854315951567,283.343702984286,222.186148755614
