"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.c"
"11","SPT_RS08360",1008.77117549987,0.73819868038201,0.123301499693653,5.98693999842738,2.13825617747113e-09,3.69918318702506e-07,1406.94914131598,1160.41619446558,1348.66671155085,692.987570944506,693.375456591347,750.231978130981
"12","SPT_2056",1495.80150117395,0.774089338406276,0.134447263187868,5.75756858155316,8.53341043625271e-09,1.35325667168241e-06,2082.19061883719,1880.99382410834,1962.31383463771,795.828192203394,1012.92037341903,1240.56216383802
"13","SPT_0435",543.992663112035,0.779554118641867,0.144164987596228,5.40737478384982,6.39552249394544e-08,9.3620610045986e-06,649.361142145836,810.228935199945,722.957728550735,310.104027180646,331.882558404043,439.421587191003
"14","SPT_0141",5258.80638445692,0.601330998178625,0.123385578235103,4.87359225267664,1.0958705764977e-06,0.000148960121933938,5776.02030423198,6410.69969456123,7396.93559180376,3597.83958065709,3718.56517111445,4652.77796437303
"15","SPT_1856",238.337706772833,0.68036308406529,0.156328087724945,4.35214870191702,1.34809773243311e-05,0.00171028665654681,321.151434430821,284.527148153331,342.255275038617,140.812542954477,191.233444433557,150.046395626196
"16","SPT_1291",1088.77866941912,0.509974197480678,0.118729082170773,4.29527617123464,1.74475996243372e-05,0.0020751738803196,1208.14111047785,1353.6084444691,1366.00563517615,814.814153051188,901.881599231805,888.221074108644
"17","SPT_0430",1451.88400462108,0.557923347312524,0.131868073012567,4.23092060547024,2.32736815368773e-05,0.00260528329203985,1538.70357595426,1966.85704633213,1857.5264266413,1143.90414107963,930.25817485743,1274.05466286172
"18","SPT_2234",22838.8395694491,0.521907026701151,0.124229590849615,4.20114904292764,2.65563681606188e-05,0.00280759825609209,25161.5678792704,28033.5002597699,29786.7630557838,14619.1898528019,18216.5277874933,21215.4885815754
"19","SPT_1887",697.569974006258,0.513137056412323,0.123581481388693,4.15221642147487,3.29270644717719e-05,0.00329790545735694,797.584881113907,865.366592608357,862.422983797748,560.085845009943,545.323757675045,554.635783832547
"20","SPT_1799",15021.8746448649,0.526697904630136,0.128128137231672,4.11071226047561,3.94440491359457e-05,0.00375310127528524,17316.297123889,16413.7650836323,21074.3308671906,10314.1232305645,10712.7741807521,14299.9573831609
"21","SPT_1079",7560.52092021894,0.489437127295179,0.120811953652772,4.05123096264033,5.09488850422842e-05,0.00461693943978414,8365.23022065043,10194.574046482,8565.42827090036,5901.46949685618,5315.05599109524,7021.36749532941
"22","SPT_1353",1410.16698288787,-0.50706973233159,0.129889797089524,-3.90384574996373,9.467613462909e-05,0.00818948564541628,1198.73007943226,1246.27941668937,897.854697292935,1716.64729332144,1591.55576335024,1809.93464724099
"23","SPT_0030",1576.40044350996,0.521386149550647,0.134023312068879,3.89026462264036,0.000100134964863987,0.00828507991896377,1755.15729000288,2210.9779722625,1796.46326083045,1409.70759294876,991.946382739222,1294.15016227594
"24","SPT_0241",1861.25974411352,0.524145116681298,0.136493156551441,3.84008348787626,0.000122992476548342,0.00975227845297894,2225.70884228247,2388.1760926361,2215.61289281607,1067.96029768845,1545.90648951772,1724.19384974031
"25","SPT_1732",1436.89779242122,0.518646949371387,0.136330490218553,3.80433568851647,0.000142185254441978,0.0108231415681234,1662.22335842766,1636.03110188166,1964.57543337144,898.668813462282,1370.71197913343,1089.17606825087
"26","SPT_0029",1658.13269570505,0.501627464246377,0.134077983852182,3.74131121183482,0.000183062664931018,0.0129025278282862,1698.69110372932,2346.50717596867,1976.6372932847,1357.49620061732,1093.11504366536,1476.34935696489
"27","SPT_RS09270",3454.00156419686,0.467621679841479,0.12468676970045,3.75037127808268,0.000176572930491747,0.0129025278282862,4312.60497664245,4346.19427785695,3673.59020983079,2370.08077916637,2735.25513747868,3286.28400420589
"28","SPT_0132",2587.46396180761,0.454549105177848,0.122819159610121,3.70096250960173,0.000214783211225416,0.0145975875343559,2636.26507164641,3192.93335191002,3355.45865461869,2243.50770684774,1843.24365150796,2253.37533431484
"29","SPT_2055",2216.97327017781,0.485363312750781,0.131530129500256,3.69013027353429,0.000224139238366268,0.0147081714003796,2522.15632021861,2945.4452407944,2527.71351807155,1664.43590099,1473.1144042172,2168.9742367751
"30","SPT_2261",2413.99624486288,0.494381319276876,0.136045480980949,3.6339415003877,0.000279124175029253,0.0177057768360223,2660.96902814109,3040.56822227761,3062.20468547767,1537.86282867137,1749.47757552763,2432.8951290819
"31","SPT_2260",2201.53541245545,0.494942956298496,0.136740066121364,3.61958985641568,0.000295070335537468,0.0181135112428323,2460.98461842226,2791.81741671752,2746.3347289993,1311.61346190182,1748.24381137,2150.21843732183
"32","SPT_0223",1137.51828802187,0.566406454410158,0.156929900606558,3.60929594819669,0.000307029175245013,0.0182586412653519,1251.66712906371,1575.84266669537,1519.79434907016,498.38147225461,896.946542601262,1082.47756844613
"33","SPT_1385",1175.56376045091,-0.503875707201354,0.141921457078972,-3.55038425881557,0.000384669237590973,0.0221825927010794,1034.0370361344,1041.72291668564,673.956422653135,1370.15350784918,1331.23152608908,1602.28115329402
"34","SPT_0565",17003.044858069,0.390105158238443,0.110603555347817,3.52705803182974,0.000420204652926192,0.0235191016034866,17099.8434098403,21201.4815189047,20465.9608078158,15364.3888160778,14330.1706909404,13556.4239048346
"35","SPT_1243",9382.16939957002,0.389989683102591,0.11188579955979,3.48560482775286,0.000491025790885367,0.026697773715853,9930.99051086077,10429.8561113011,12082.9681681034,7648.17789485329,8721.47883032781,7479.54488197369
"36","SPT_0224",373.234954475943,0.559004534579834,0.160724484815408,3.47802971788556,0.000505113921114299,0.026700883107792,321.151434430821,610.302314825933,501.32105264467,232.578020385485,288.700812886789,285.356091681962
"37","SPT_2057",1104.22185366181,0.548730901424038,0.16132696445474,3.40135886941568,0.000670517406702128,0.034486341214977,1242.25609801812,1334.24712965394,1657.75187182801,495.217145446645,715.583211428792,1180.27566559535
"38","SPT_RS04190",455.293606333527,0.568640464532554,0.167797767898602,3.38884403323038,0.000701879204571124,0.0351493717447066,543.487042882928,538.749629639444,719.942263572421,177.202301246084,271.428114679887,480.952285980397
"39","SPT_0244",7064.61795198686,0.424953050185904,0.127566067241624,3.33123893661311,0.000864603553035597,0.0421882195237626,7327.66404787394,8051.3606760726,9522.08453527042,4960.08227148636,5597.58798319385,6928.92819802399
"40","SPT_0379",617.641818868115,0.507153635840286,0.154762547045006,3.27697912397889,0.00104924126830096,0.0499176533394182,652.890278787933,1003.42118520346,641.540174136262,566.414498625875,465.129087428715,376.455689026439
"41","SPT_1446",22235.6867553113,-0.325199894410511,0.0995130834283643,-3.26791094403793,0.00108344451312619,0.050287680694613,19823.1605186585,19209.3705836833,19425.6253902975,26977.4682013123,23811.6482423719,24166.8475955442
"42","SPT_0542",1559.59210088918,0.430507455753449,0.132955812931161,3.23797392729528,0.00120381810545409,0.0545444251114077,1742.21712231519,1723.99881484622,2061.07031267749,1048.97433684066,1247.33556336984,1533.95645528567
"43","SPT_0564",3245.18237948951,0.488627497615749,0.151449578195158,3.22633779135458,0.00125385281197151,0.0554902767716695,2548.03665559399,4965.33545379416,4430.47191938756,2200.7892949402,2373.76223929137,2952.69871392979
"44","SPT_0513",141.094470932791,0.528433955926546,0.164685556705479,3.20874499560147,0.00133315674385976,0.0576590291719346,164.693043297857,176.356324077287,201.282287302446,91.7654774310076,99.9348967685037,112.534796719647
"45","SPT_1481",584.100949106799,-0.408385306989555,0.128361266179934,-3.18153068400782,0.00146499003342709,0.0619528007469278,517.60670750755,468.880537045579,471.166402861532,715.137858600266,684.739107487896,647.075081137971
"46","SPT_RS10905",740.931180189856,0.406407807356968,0.129746284142065,3.13232714173127,0.00173426516379402,0.0702192895042557,759.94075693154,883.465212979057,953.640799391741,588.564786281635,600.843144768658,659.132380786505
"47","SPT_2208",22823.7823573929,0.438888708440907,0.1400365837918,3.13410036546897,0.00172381884049242,0.0702192895042557,23766.3825267615,28598.7664727432,29170.8543339632,13951.5168963211,17199.9061216014,24255.2677929668
"48","SPT_1288",436.555237316137,0.423817451709312,0.135695675300351,3.12329372893592,0.00178839172150875,0.0709022801256488,527.017738553142,519.388314824276,499.813320155513,352.822439088185,333.116322561679,387.173288714024
"49","SPT_0031",1691.2439875902,0.42430858578903,0.137656944482784,3.08236237106147,0.00205364670831697,0.0766453883208023,1592.81700446642,2399.11944448815,2003.77647808952,1545.77364569128,1432.40018701522,1173.57716579061
"50","SPT_0149",846.486033921622,0.389497602502791,0.125955502017421,3.0923429009788,0.00198583313483069,0.0766453883208023,871.696750597943,978.588194462271,1093.10605463875,723.048675620181,697.076749064255,715.399779146328
