"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN120min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC120min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC120min.b"
"20","SPT_0432",687.606359568086,0.958571119201369,0.148239436912782,6.46637048254137,1.00384788698812e-10,1.03848063908921e-08,773.054461771303,865.108532018658,922.250627982111,452.795512698041,424.822663370317
"21","SPT_0548",12441.3493098603,1.52830377240821,0.237599759355719,6.4322614490536,1.25719247194055e-10,1.23863391640238e-08,16645.2123395678,14031.253188684,19848.0328535567,4028.05200659484,7654.19616089824
"22","SPT_0892",1652.97132615816,0.700981869402986,0.13071274788659,5.3627659179132,8.19571860719246e-08,7.70770081740055e-06,1818.51859102392,2052.21993548848,1992.35085215418,1282.45188689632,1119.31536522788
"23","SPT_2261",827.363308863124,0.880141878486379,0.164532127547001,5.34936180312232,8.82649305766756e-08,7.94000614622356e-06,962.023330204288,889.675508587139,1184.8645960398,539.97974185108,560.273367633317
"24","SPT_0133",356.475517390921,0.881931493331448,0.171913298935584,5.13009463951889,2.8959654388058e-07,2.49656353870383e-05,436.837124429498,397.458585197213,475.60009963203,244.678320526271,227.80345716959
"25","SPT_0240",3693.27877691775,0.930982767050378,0.182286806049799,5.10724164422544,3.26895596972756e-07,2.70538796054653e-05,4295.97408041481,4771.25780640716,4610.21922665049,1868.13303919052,2920.80973192578
"26","SPT_0431",1281.28041595513,0.806128325212249,0.160668378540051,5.01734275616219,5.23910501970003e-07,4.16911857144591e-05,1352.23177281266,1514.3786270428,1773.16124101942,957.620323439025,809.010115461735
"27","SPT_0553",391.793477329222,1.24856086055172,0.251702759333433,4.96045758043415,7.03273182892923e-07,5.38915635335354e-05,635.622557456405,367.627256506915,525.227936115373,179.290148661491,251.199487905927
"28","SPT_1289",97.7557389835966,1.59127050770334,0.322057596066228,4.94095008824483,7.77428095127545e-07,5.74463831721032e-05,105.528069384654,129.854019004829,163.358295091002,35.8580297322983,54.1802817051999
"29","SPT_0497",1693.73329361859,0.628056712143898,0.127310443114368,4.933269390789,8.08645029909313e-07,5.7692640237323e-05,1854.10363767689,1973.25465366122,2086.43695882052,1201.59554534309,1353.27567259124
"30","SPT_1659",972.837758306702,0.666952148080625,0.135752209616875,4.91301136064689,8.9688077881435e-07,6.18548777122297e-05,1092.09281107375,1113.41047376438,1222.0854734023,759.346511978081,677.253521314999
"31","SPT_0745",3000.55798105273,0.802108767664893,0.166310095878572,4.82297098938922,1.41435548414911e-06,9.4396822474339e-05,3938.89654331092,3373.57231806465,3545.28856877877,2428.50264108546,1716.52983402383
"32","SPT_0241",720.167991291369,0.645948247798566,0.134574662148769,4.79992472196947,1.58725280930094e-06,0.000102625814451364,797.595873256106,877.392020302899,849.876699777237,542.792136339888,533.183226780717
"33","SPT_0609",1157.91236851353,-0.580987592223174,0.122743773181003,-4.73333658536328,2.20858788683402e-06,0.000138471767813927,936.254848145245,941.44163778501,1020.47238768873,1422.3685127145,1469.02445623417
"34","SPT_1858",2500.50945511203,0.66948650695521,0.142555410376171,4.69632478478781,2.64884247746739e-06,0.00016118985546706,2778.08778007973,2811.16403305049,3223.74154489711,2033.36121540797,1656.19270212486
"35","SPT_0132",1541.89870462625,0.747577579148406,0.161682668204155,4.62373356063403,3.76893924168571e-06,0.0002177928537889,1600.10002880917,1953.07463719425,1967.53693391251,1228.31329298677,960.468630228544
"36","SPT_0433",203.408297816715,0.931535356426133,0.201517459708809,4.62260370774916,3.78953249705191e-06,0.0002177928537889,240.505832551072,257.953253969052,256.410488497269,142.729020306991,119.442893759191
"37","SPT_1660",1760.92524428469,0.763593783608449,0.165951700710954,4.60130134453057,4.1985947684227e-06,0.000234780880428826,1965.76705993274,2190.84787469634,2169.15001962609,1451.89865484698,1026.96261232129
"38","SPT_0031",941.712510734936,0.649172706195674,0.146512220401092,4.43084340963846,9.38652349812933e-06,0.000511071503095515,977.97524766941,1223.96186832254,1101.11762197416,702.395523579725,703.112292128844
