Gene,Value,AveExpr,t,P.Value,padj,B
Rv0672,-2.511914838,10.73238592,-4.980693904,0.001008223,0.003327394,-0.875579632
Rv1123c,-1.073446815,9.109342767,-4.980632923,0.001008301,0.003327394,-0.875662355
Rv3381c,1.474075277,11.70089034,4.979037368,0.001010353,0.003331433,-0.877826934
Rv2119,-1.231850698,8.189137149,-4.977553729,0.001012264,0.003332053,-0.879840019
Rv2224c,-1.038957883,11.86330665,-4.976430557,0.001013714,0.003332053,-0.881364216
Rv2725c,-2.117680586,11.21400406,-4.976169467,0.001014051,0.003332053,-0.881718553
Rv2228c,-1.34317854,9.635765784,-4.976054059,0.001014201,0.003332053,-0.881875182
Rv3611,-1.443441649,10.57301072,-4.975683994,0.001014679,0.003332053,-0.882377439
Rv3141,-1.081208513,12.08240493,-4.973722545,0.001017219,0.003337672,-0.885039873
Rv3753c,-1.676484706,11.05339818,-4.970228238,0.001021761,0.003349844,-0.889784371
Rv3498c,-1.268914464,10.04640121,-4.967655687,0.001025119,0.003358119,-0.893278468
Rv3179,1.144073797,7.401840831,4.957387998,0.001038641,0.00339965,-0.907233906
Rv2386c,1.173365497,7.528555974,4.955960723,0.001040536,0.003401366,-0.909175022
Rv2077A,0.979053896,7.400663074,4.955720773,0.001040855,0.003401366,-0.909501385
Rv0456A,1.130557832,7.796420223,4.950721681,0.001047525,0.003420385,-0.916302747
Rv1193,-1.403514753,10.14143181,-4.948282082,0.001050796,0.003428287,-0.919623195
Rv0222,-1.668995825,10.80523733,-4.944710936,0.001055605,0.003441188,-0.924485316
Rv0289,-1.786870947,13.01768244,-4.941332398,0.001060177,0.003453295,-0.929086916
Rv0372c,1.811903665,8.16096105,4.939623394,0.001062498,0.003458057,-0.93141523
Rv1581c,1.875190065,9.006311355,4.938836353,0.001063569,0.003458745,-0.932487624
Rv3886c,-1.947698001,9.763856673,-4.935915144,0.001067553,0.0034689,-0.936468748
Rv0226c,-1.101224027,8.640325278,-4.93189166,0.001073067,0.003484005,-0.941954131
Rv2099c,1.97830912,9.213142005,4.931187781,0.001074035,0.003484338,-0.942914002
Rv0465c,3.096625017,8.693329372,4.928779753,0.001077353,0.003492288,-0.946198345
Rv3788,1.689074765,9.220413442,4.927240193,0.00107948,0.003496369,-0.948298615
Rv3103c,-2.353257238,9.556753091,-4.926331719,0.001080737,0.003497628,-0.949538121
Rv3419c,-2.666353103,11.41175911,-4.918557144,0.001091564,0.003528211,-0.960150536
Rv1564c,-1.48187849,9.40076429,-4.918288569,0.00109194,0.003528211,-0.960517302
Rv1446c,-1.62056861,11.15079913,-4.917257609,0.001093385,0.003530047,-0.961925283
Rv2482c,-1.517136718,10.32730102,-4.915793931,0.00109544,0.003533848,-0.963924492
Rv3148,-3.738029453,10.98217633,-4.914262174,0.001097595,0.003535769,-0.966017023
Rv3038c,-1.32265483,11.63591815,-4.914122424,0.001097792,0.003535769,-0.966207952
Rv0467,1.387283387,11.48633247,4.906834695,0.001108112,0.003566153,-0.976168554
Rv2935,-1.588706283,12.31162872,-4.905874623,0.001109479,0.003567701,-0.977481324
Rv0711,-1.439233312,10.57630982,-4.902289028,0.001114602,0.003581314,-0.982385333
Rv2710,1.142456153,13.9968005,4.901255958,0.001116082,0.003583211,-0.983798609
Rv1949c,1.325479972,7.621790059,4.897321335,0.001121741,0.003598511,-0.989182739
Rv3269,1.380748093,13.16759495,4.895819701,0.001123909,0.003602595,-0.991238169
Rv2085,-1.770952782,8.9488275,-4.891035067,0.001130848,0.003621951,-0.997789547
